date,industry,industry_close_52_week__high
2026-09-04,abrasives and grinding wheels,33.3333
2026-09-04,air-conditioners,20
2026-09-04,aluminium and aluminium products,12.5
2026-09-04,aquaculture,0
2026-09-04,auto ancillaries,46.3768
2026-09-04,automobiles - lcvs / hcvs,20
2026-09-04,automobiles - motorcycles / mopeds,50
2026-09-04,automobiles - passenger cars,0
2026-09-04,automobiles - scooters and 3 - wheelers,66.6667
2026-09-04,automobiles - tractors,0
2026-09-04,banks - private sector,62.963
2026-09-04,banks - public sector,20
2026-09-04,bearings,28.5714
2026-09-04,breweries & distilleries,21.4286
2026-09-04,cables - power,38.4615
2026-09-04,cables - telephone,100
2026-09-04,castings & forgings,40
2026-09-04,cement - north india,6.6667
2026-09-04,cement - south india,0
2026-09-04,cement products,33.3333
2026-09-04,ceramics - tiles / sanitaryware,50
2026-09-04,chemicals,36.2637
2026-09-04,chlor alkali / soda ash,50
2026-09-04,cigarettes,0
2026-09-04,compressors / drilling equipment,66.6667
2026-09-04,computers - education,0
2026-09-04,computers - hardware,50
2026-09-04,computers - software - large,27.2727
2026-09-04,computers - software - medium / small,6.383
2026-09-04,construction,16.6667
2026-09-04,couriers,0
2026-09-04,diamond cutting / jewellery,36.3636
2026-09-04,diversified - large,42.8571
2026-09-04,diversified - medium / small,33.3333
2026-09-04,diversified - mega,0
2026-09-04,domestic appliances,16.6667
2026-09-04,dry cells,0
2026-09-04,dyes and pigments,35.7143
2026-09-04,electric equipment,24.1379
2026-09-04,electrodes - graphites,66.6667
2026-09-04,electrodes - welding equipment,66.6667
2026-09-04,electronics - components,42.8571
2026-09-04,electronics - consumer,0
2026-09-04,engineering,39.3939
2026-09-04,engineering - turnkey services,11.4286
2026-09-04,engines,0
2026-09-04,entertainment / electronic media software,22.7273
2026-09-04,fasteners,0
2026-09-04,fertilizers,13.3333
2026-09-04,finance & investments,22.0126
2026-09-04,finance - housing,21.4286
2026-09-04,finance - term-lending institutions,28.5714
2026-09-04,food - processing - indian,29.4118
2026-09-04,food - processing - mnc,33.3333
2026-09-04,glass & glass products,0
2026-09-04,healthcare,42.4242
2026-09-04,hotels,14.6341
2026-09-04,leather / leather products,9.0909
2026-09-04,mining / minerals / metals,15.625
2026-09-04,miscellaneous,29.0909
2026-09-04,moulded luggage,0
2026-09-04,oil drilling / allied services,72.7273
2026-09-04,packaging,44.8276
2026-09-04,paints / varnishes,14.2857
2026-09-04,paper,33.3333
2026-09-04,personal care - indian,14.2857
2026-09-04,personal care - multinational,0
2026-09-04,pesticides / agrochemicals - indian,0
2026-09-04,pesticides / agrochemicals - multinational,0
2026-09-04,petrochemicals,45.4545
2026-09-04,pharmaceuticals - indian - bulk drugs,28.5714
2026-09-04,pharmaceuticals - indian - bulk drugs & formln,46.9697
2026-09-04,pharmaceuticals - indian - formulations,57.8947
2026-09-04,pharmaceuticals - multinational,25
2026-09-04,photographic and allied products,100
2026-09-04,plastics products,33.3333
2026-09-04,power generation and supply,4.7619
2026-09-04,printing & stationery,0
2026-09-04,pumps,0
2026-09-04,recreation / amusement parks,33.3333
2026-09-04,refineries,25
2026-09-04,refractories / intermediates,20
2026-09-04,shipping,20
2026-09-04,solvent extraction,37.5
2026-09-04,steel - large,46.6667
2026-09-04,steel - medium / small,30.3571
2026-09-04,steel - sponge iron,33.3333
2026-09-04,sugar,35
2026-09-04,tea,7.6923
2026-09-04,telecommunications - equipment,50
2026-09-04,telecommunications - service provider,10
2026-09-04,textile machinery,50
2026-09-04,textiles - composite,33.3333
2026-09-04,textiles - cotton/blended,41.6667
2026-09-04,textiles - jute - yarn / products,0
2026-09-04,textiles - manmade,50
2026-09-04,textiles - processing,11.1111
2026-09-04,textiles - products,22.5
2026-09-04,textiles - spinning - synthetic / blended,62.5
2026-09-04,trading,21.1111
2026-09-04,transmisson line towers / equipment,14.2857
2026-09-04,transport - airlines,33.3333
2026-09-04,travel agencies,16.6667
2026-09-04,tyres,12.5
2026-09-07,abrasives and grinding wheels,0
2026-09-07,air-conditioners,20
2026-09-07,aluminium and aluminium products,25
2026-09-07,aquaculture,0
2026-09-07,auto ancillaries,43.4783
2026-09-07,automobiles - lcvs / hcvs,20
2026-09-07,automobiles - motorcycles / mopeds,50
2026-09-07,automobiles - passenger cars,0
2026-09-07,automobiles - scooters and 3 - wheelers,66.6667
2026-09-07,automobiles - tractors,0
2026-09-07,banks - private sector,62.963
2026-09-07,banks - public sector,20
2026-09-07,bearings,28.5714
2026-09-07,breweries & distilleries,21.4286
2026-09-07,cables - power,30.7692
2026-09-07,cables - telephone,100
2026-09-07,castings & forgings,40
2026-09-07,cement - north india,6.6667
2026-09-07,cement - south india,0
2026-09-07,cement products,16.6667
2026-09-07,ceramics - tiles / sanitaryware,50
2026-09-07,chemicals,36.2637
2026-09-07,chlor alkali / soda ash,50
2026-09-07,cigarettes,0
2026-09-07,compressors / drilling equipment,66.6667
2026-09-07,computers - education,0
2026-09-07,computers - hardware,50
2026-09-07,computers - software - large,18.1818
2026-09-07,computers - software - medium / small,5.3191
2026-09-07,construction,15.6863
2026-09-07,couriers,0
2026-09-07,diamond cutting / jewellery,45.4545
2026-09-07,diversified - large,28.5714
2026-09-07,diversified - medium / small,33.3333
2026-09-07,diversified - mega,0
2026-09-07,domestic appliances,16.6667
2026-09-07,dry cells,0
2026-09-07,dyes and pigments,50
2026-09-07,electric equipment,20.6897
2026-09-07,electrodes - graphites,33.3333
2026-09-07,electrodes - welding equipment,66.6667
2026-09-07,electronics - components,42.8571
2026-09-07,electronics - consumer,0
2026-09-07,engineering,42.4242
2026-09-07,engineering - turnkey services,17.1429
2026-09-07,engines,0
2026-09-07,entertainment / electronic media software,18.1818
2026-09-07,fasteners,0
2026-09-07,fertilizers,13.3333
2026-09-07,finance & investments,21.3836
2026-09-07,finance - housing,21.4286
2026-09-07,finance - term-lending institutions,28.5714
2026-09-07,food - processing - indian,32.3529
2026-09-07,food - processing - mnc,33.3333
2026-09-07,glass & glass products,0
2026-09-07,healthcare,42.4242
2026-09-07,hotels,12.1951
2026-09-07,leather / leather products,18.1818
2026-09-07,mining / minerals / metals,12.5
2026-09-07,miscellaneous,25.7669
2026-09-07,moulded luggage,0
2026-09-07,oil drilling / allied services,72.7273
2026-09-07,packaging,41.3793
2026-09-07,paints / varnishes,14.2857
2026-09-07,paper,40
2026-09-07,personal care - indian,14.2857
2026-09-07,personal care - multinational,0
2026-09-07,pesticides / agrochemicals - indian,0
2026-09-07,pesticides / agrochemicals - multinational,0
2026-09-07,petrochemicals,45.4545
2026-09-07,pharmaceuticals - indian - bulk drugs,50
2026-09-07,pharmaceuticals - indian - bulk drugs & formln,46.1538
2026-09-07,pharmaceuticals - indian - formulations,63.1579
2026-09-07,pharmaceuticals - multinational,25
2026-09-07,photographic and allied products,100
2026-09-07,plastics products,38.0952
2026-09-07,power generation and supply,4.7619
2026-09-07,printing & stationery,0
2026-09-07,pumps,0
2026-09-07,recreation / amusement parks,33.3333
2026-09-07,refineries,25
2026-09-07,refractories / intermediates,0
2026-09-07,shipping,20
2026-09-07,solvent extraction,37.5
2026-09-07,steel - large,40
2026-09-07,steel - medium / small,35.7143
2026-09-07,steel - sponge iron,33.3333
2026-09-07,sugar,47.619
2026-09-07,tea,15.3846
2026-09-07,telecommunications - equipment,50
2026-09-07,telecommunications - service provider,10
2026-09-07,textile machinery,50
2026-09-07,textiles - composite,33.3333
2026-09-07,textiles - cotton/blended,39.1304
2026-09-07,textiles - jute - yarn / products,0
2026-09-07,textiles - manmade,50
2026-09-07,textiles - processing,11.1111
2026-09-07,textiles - products,22.5
2026-09-07,textiles - spinning - synthetic / blended,62.5
2026-09-07,trading,23.3333
2026-09-07,transmisson line towers / equipment,14.2857
2026-09-07,transport - airlines,33.3333
2026-09-07,travel agencies,16.6667
2026-09-07,tyres,12.5
2026-09-08,abrasives and grinding wheels,0
2026-09-08,air-conditioners,20
2026-09-08,aluminium and aluminium products,25
2026-09-08,aquaculture,0
2026-09-08,auto ancillaries,40.5797
2026-09-08,automobiles - lcvs / hcvs,20
2026-09-08,automobiles - motorcycles / mopeds,50
2026-09-08,automobiles - passenger cars,0
2026-09-08,automobiles - scooters and 3 - wheelers,66.6667
2026-09-08,automobiles - tractors,0
2026-09-08,banks - private sector,59.2593
2026-09-08,banks - public sector,20
2026-09-08,bearings,28.5714
2026-09-08,breweries & distilleries,21.4286
2026-09-08,cables - power,46.1538
2026-09-08,cables - telephone,100
2026-09-08,castings & forgings,35
2026-09-08,cement - north india,6.6667
2026-09-08,cement - south india,0
2026-09-08,cement products,16.6667
2026-09-08,ceramics - tiles / sanitaryware,50
2026-09-08,chemicals,36.2637
2026-09-08,chlor alkali / soda ash,50
2026-09-08,cigarettes,0
2026-09-08,compressors / drilling equipment,66.6667
2026-09-08,computers - education,0
2026-09-08,computers - hardware,33.3333
2026-09-08,computers - software - large,18.1818
2026-09-08,computers - software - medium / small,8.5106
2026-09-08,construction,15.8416
2026-09-08,couriers,0
2026-09-08,diamond cutting / jewellery,45.4545
2026-09-08,diversified - large,14.2857
2026-09-08,diversified - medium / small,33.3333
2026-09-08,diversified - mega,0
2026-09-08,domestic appliances,16.6667
2026-09-08,dry cells,0
2026-09-08,dyes and pigments,50
2026-09-08,electric equipment,24.1379
2026-09-08,electrodes - graphites,33.3333
2026-09-08,electrodes - welding equipment,66.6667
2026-09-08,electronics - components,47.619
2026-09-08,electronics - consumer,0
2026-09-08,engineering,43.9394
2026-09-08,engineering - turnkey services,14.2857
2026-09-08,engines,0
2026-09-08,entertainment / electronic media software,18.1818
2026-09-08,fasteners,0
2026-09-08,fertilizers,13.3333
2026-09-08,finance & investments,20.8861
2026-09-08,finance - housing,21.4286
2026-09-08,finance - term-lending institutions,28.5714
2026-09-08,food - processing - indian,32.3529
2026-09-08,food - processing - mnc,33.3333
2026-09-08,glass & glass products,0
2026-09-08,healthcare,42.4242
2026-09-08,hotels,12.1951
2026-09-08,leather / leather products,18.1818
2026-09-08,mining / minerals / metals,9.375
2026-09-08,miscellaneous,24.5399
2026-09-08,moulded luggage,0
2026-09-08,oil drilling / allied services,72.7273
2026-09-08,packaging,41.3793
2026-09-08,paints / varnishes,14.2857
2026-09-08,paper,33.3333
2026-09-08,personal care - indian,14.2857
2026-09-08,personal care - multinational,0
2026-09-08,pesticides / agrochemicals - indian,0
2026-09-08,pesticides / agrochemicals - multinational,0
2026-09-08,petrochemicals,36.3636
2026-09-08,pharmaceuticals - indian - bulk drugs,50
2026-09-08,pharmaceuticals - indian - bulk drugs & formln,47.6923
2026-09-08,pharmaceuticals - indian - formulations,63.1579
2026-09-08,pharmaceuticals - multinational,25
2026-09-08,photographic and allied products,100
2026-09-08,plastics products,23.8095
2026-09-08,power generation and supply,9.5238
2026-09-08,printing & stationery,0
2026-09-08,pumps,0
2026-09-08,recreation / amusement parks,33.3333
2026-09-08,refineries,25
2026-09-08,refractories / intermediates,0
2026-09-08,shipping,20
2026-09-08,solvent extraction,37.5
2026-09-08,steel - large,40
2026-09-08,steel - medium / small,35.7143
2026-09-08,steel - sponge iron,33.3333
2026-09-08,sugar,33.3333
2026-09-08,tea,15.3846
2026-09-08,telecommunications - equipment,50
2026-09-08,telecommunications - service provider,10
2026-09-08,textile machinery,50
2026-09-08,textiles - composite,33.3333
2026-09-08,textiles - cotton/blended,43.4783
2026-09-08,textiles - jute - yarn / products,0
2026-09-08,textiles - manmade,50
2026-09-08,textiles - processing,11.1111
2026-09-08,textiles - products,20
2026-09-08,textiles - spinning - synthetic / blended,50
2026-09-08,trading,24.4444
2026-09-08,transmisson line towers / equipment,14.2857
2026-09-08,transport - airlines,33.3333
