date,above_20_ema__pct,above_20_ema__50_50,above_50_ema__pct,above_50_ema__50_50,52_week_high_low_within_10__low,52_week_high_low_within_10__high,3_above_200_ema__pct,3_above_200_ema__50_50,5_advance_decline_ratio__advance,5_advance_decline_ratio__decline,current_previous_yr_volumes_crores__current,current_previous_yr_volumes_crores__1_yr_back,drawdowns_peaks__blw_3,gold_etfs_nifty_1_month_chg__gold,gold_etfs_nifty_1_month_chg__nifty,breadth_above_500_trend_reversal__up_4_5_today,breadth_above_500_trend_reversal__down_4_5_today,breadth_above_500_trend_reversal__up_20_in_5d,breadth_above_500_trend_reversal__down_20_in_5d,breadth_above_500_trend_reversal__above_20dma,breadth_above_500_trend_reversal__below_20dma,breadth_above_500_trend_reversal__above_50dma,breadth_above_500_trend_reversal__below_50dma,breadth_above_500_trend_reversal__above_200dma,breadth_above_500_trend_reversal__below_200dma,new_high_low_bearishness_bullishness__high,new_high_low_bearishness_bullishness__low,nifty_500_above_below_200_ema__above_200_ema,nifty_500_above_below_200_ema__below_200_ema,nifty_500_above_below_200_ema__60,oversold_overbought_rsi__oversold,oversold_overbought_rsi__overbought,weekly_rsi_50_50__below_rsi_50,weekly_rsi_50_50__above_rsi_50,10_from_10dema__10_10ema,15_up_10_down__15_in_5d,15_up_10_down__10_in_5d,4_advance_decline__4_advance,4_advance_decline__4_decline,4_advance_decline_today__4_advance,4_advance_decline_today__4_decline,4_advance_decline_today__net_breadth,52_wk_high_low__new_52_wk_high,52_wk_high_low__new_52_wk_low,52_wk_high_low_today__new_52_wk_high,52_wk_high_low_today__new_52_wk_low,above_10ma__pct,above_200ma__above_200ma,above_20ma__pct,above_50ma__above_50ma,mbm_2_0_magnitude__abv_10ma,mbm_2_0_magnitude__abv_20ma,mbm_2_0_magnitude__abv_50ma,mbm_2_0_magnitude__abv_200ma,mbm_2_0_velocity_advanced__breakouts,mbm_2_0_velocity_advanced__breakdowns,mbm_2_0_velocity_advanced__up_close,mbm_2_0_velocity_advanced__down_close,mbm_2_0_velocity_advanced__new_52_wk_high,mbm_2_0_velocity_advanced__new_52_wk_low,mbm_2_0_velocity_advanced__net_nh_nl,mbm_2_0_velocity_advanced__15_52wh,mbm_2_0_velocity_advanced__15_52wl,mbm_2_0_velocity_advanced__net_15_h_l,mbm_2_0_velocity_advanced__30_52wh,mbm_2_0_velocity_advanced__30_52_wl,mbm_2_0_velocity_advanced__net_30_h_l,mbm_2_0_velocity_basic__4_advance,mbm_2_0_velocity_basic__4_decline,mbm_2_0_velocity_basic__net_breadth,mbm_2_0_velocity_basic__3_range,mbm_2_0_velocity_basic__5d_range,mbm_2_0_velocity_basic__volume,mbm_2_0_velocity_basic__15_in_5d,mbm_2_0_velocity_basic__10_in_5d,mbm_2_0_velocity_basic__10_10ema,net_breadth__net_breadth,net_nh_nl__net_nh_nl,volume__volume
2026-05-07,86.6981,50,83.436,50,6.6691,25.0453,52.8815,50,,,554.3466,330.2383,49,2.3506,5.3078,220,11,41,1,1984,265,1920,329,1257,992,146,4,,,,,,,,,,,,,,,,,,,,82.1675,52.8815,86.6981,52.8815,80.8989,85.9983,83.8375,50.4322,26.7502,4.7969,48.6268,24.3243,4.7105,0.1296,4.5808,22.7312,5.8341,16.8971,51.8583,29.0838,22.7744,13.0078,1.1668,11.841,37.7701,3.3276,0.9442,4.8401,0.9939,0.2161,,,
2026-05-08,82.7599,50,80.8765,50,7.7146,24.665,52.9518,50,,,499.7851,314.3194,154,2.7906,4.0592,124,47,67,0,1887,361,1861,387,1263,985,138,2,,,,,,,,,,,,,,,,,,,,74.9366,52.9518,82.7599,52.9518,74.0613,82.4342,81.83,50.7553,19.249,9.3224,40.3587,33.7963,4.7475,0.0863,4.6612,22.8744,6.1286,16.7458,51.8774,29.1757,22.7018,7.7687,3.1506,4.618,37.7644,3.9707,0.6687,6.3013,0.9063,0.0863,,,
2026-05-11,67.0977,50,71.6595,50,9.9138,23.4555,48.5273,50,,,659.3102,318.3253,529,11.6084,5.8126,75,143,37,3,1555,697,1669,583,1164,1088,82,1,67.6647,32.3353,60,29,123,0.5198,0.4278,,,,,,,,,,,,,49.8922,48.5273,67.0977,48.5273,51.6753,68.5137,73.8832,46.9072,13.9175,25.7302,35.1852,39.8998,3.0498,0,3.0498,21.8213,8.5911,13.2302,49.2698,33.0326,16.2371,4.8969,10.2663,-5.3694,27.3196,2.5773,0.5449,4.3814,1.7182,0.2148,,,
2026-05-12,39.1951,50,56.1276,50,13.3793,18.3466,39.7752,50,,,611.1403,344.6102,1235,7.7452,1.9219,33,505,14,1,910,1340,1312,938,947,1303,37,20,,,,,,,,,,,,,,,,,,,,23.3865,39.7752,39.1951,39.7752,23.6489,40.5102,57.112,37.8297,8.9062,49.8054,22.8155,65.3646,1.2105,0.5188,0.6917,18.2447,11.9758,6.2689,45.3524,40.6399,4.7125,2.032,32.5551,-30.5231,13.0566,1.1241,0.6039,1.9023,3.1993,0.6917,,,
2026-05-13,44.4888,50,57.7955,50,13.1255,19.2168,41.5518,50,,,655.9413,350.4185,165,10.2725,-0.0068,141,54,16,2,1034,1215,1352,897,990,1259,38,26,,,,,,,,,,,,,,,,,,,,29.7679,41.5518,44.4888,41.5518,30.726,45.1167,58.8591,39.6716,23.5955,11.5817,30.5861,31.7164,1.2532,0.6914,0.5618,18.6258,12.0138,6.6119,45.5056,39.8876,5.618,7.2169,3.6733,3.5436,27.5713,1.21,0.335,1.7286,4.5376,0.3457,,,
2026-05-14,47.0844,50,58.0225,50,12.5317,19.9565,42.05,50,,,555.6698,359.0531,180,12.0256,3.6799,80,49,5,6,1084,1165,1349,900,1002,1247,53,24,,,,,,,,,,,,,,,,,,,,33.0315,42.05,47.0844,42.05,32.1105,45.6193,57.8766,39.7928,17.9111,13.7246,31.3253,28.9308,1.899,0.6042,1.2948,18.7743,12.3004,6.4739,45.2741,40.2676,5.0065,5.6107,3.9707,1.6401,22.9607,1.2085,0.3115,1.2516,9.3656,0.7337,,,
2026-05-15,41.712,50,55.8578,50,12.9126,18.7885,40.7327,50,,,608.4018,401.5326,280,7.0115,6.354,69,94,7,11,952,1299,1298,953,966,1285,59,12,,,,,,,,,,,,,,,,,,,,28.7994,40.7327,41.712,40.7327,28.4233,40.6911,55.8531,38.4017,15.162,14.1253,29.0598,41.2844,1.9006,0.4752,1.4255,17.581,13.3477,4.2333,44.9244,42.2462,2.6782,4.406,5.8315,-1.4255,31.4039,1.5983,0.2652,0.8207,11.1879,0.8207,,,
2026-05-18,30.5865,50,45.8438,50,15.7611,16.8766,37.0277,50,,,530.1159,433.9425,555,5.1766,4.1693,67,155,7,14,716,1536,1076,1176,883,1369,34,31,68.2635,31.7365,60,29,145,0.5146,0.4343,,,,,,,,,,,,,21.2666,37.0277,30.5865,37.0277,21.1183,30.1505,45.5914,34.6667,10.2796,41.6344,38.9121,28.2025,1.1613,1.2903,-0.129,15.6559,16.4301,-0.7742,42.5806,46.0215,-3.4409,4,11.7419,-7.7419,21.2043,1.7204,0.3669,0.8172,12.5591,1.3763,,,
2026-05-19,39.2171,50,50.9605,50,14.9692,17.905,39.5796,50,,,540.1381,381.7972,98,8.2131,3.7965,143,28,12,6,911,1340,1192,1059,942,1309,41,10,,,,,,,,,,,,,,,,,,,,31.4969,39.5796,39.2171,39.5796,30.4968,38.3585,50.6695,37.4514,27.3002,7.0842,32.7532,32.3171,1.3823,0.3888,0.9935,16.933,14.4276,2.5054,44.1037,44.406,-0.3024,8.9417,2.2894,6.6523,32.1814,2.0734,0.2878,1.4255,3.5853,0.9503,,,
2026-05-20,42.1167,50,51.4317,50,15.2954,18.9924,40.1595,50,,,456.0841,386.75,117,5.9776,2.4095,101,32,17,6,974,1277,1202,1049,960,1291,46,17,,,,,,,,,,,,,,,,,,,,35.4476,40.1595,42.1167,40.1595,34.2549,40.7343,50.9287,38.0994,16.5875,10.1944,38.0208,27.5424,1.7711,0.6048,1.1663,17.4514,15.2916,2.1598,44.1469,44.0605,0.0864,6.3067,2.8078,3.4989,37.1922,1.9438,0.2583,1.7711,3.1965,0.6048,,,
