date,marketcap,52_wk_high__pct,percentage_trading_above_40w__percentage
2021-12-27,largecap,,67.6471
2021-12-27,midcap,,67.7116
2021-12-27,smallcap,,75.794
2022-01-03,largecap,,71.987
2022-01-03,midcap,,71.0692
2022-01-03,smallcap,,82.7234
2022-01-10,largecap,,75.57
2022-01-10,midcap,,74.5283
2022-01-10,smallcap,,86.6497
2022-01-17,largecap,,67.3139
2022-01-17,midcap,,69.1318
2022-01-17,smallcap,,81.9714
2022-01-24,largecap,,56.9579
2022-01-24,midcap,,63.6656
2022-01-24,smallcap,,75.0422
2022-01-31,largecap,,66.6667
2022-01-31,midcap,,66.2379
2022-01-31,smallcap,,78.1987
2022-02-07,largecap,,59.2233
2022-02-07,midcap,,56.4103
2022-02-07,smallcap,,70.5537
2022-02-14,largecap,,51.9355
2022-02-14,midcap,,47.7564
2022-02-14,smallcap,,62.1123
2022-02-21,largecap,,38.7097
2022-02-21,midcap,,34.8243
2022-02-21,smallcap,,42.7494
2022-02-28,largecap,,36.4516
2022-02-28,midcap,,33.758
2022-02-28,smallcap,,43.9331
2022-03-07,largecap,,42.5806
2022-03-07,midcap,,42.9936
2022-03-07,smallcap,,53.2889
2022-03-14,largecap,,49.6774
2022-03-14,midcap,,46.8153
2022-03-14,smallcap,,59.0682
2022-03-21,largecap,,47.0968
2022-03-21,midcap,,46.4968
2022-03-21,smallcap,,54.9751
2022-03-28,largecap,,54.0193
2022-03-28,midcap,,50.4762
2022-03-28,smallcap,,59.8673
2022-04-04,largecap,,64.9518
2022-04-04,midcap,,62.0253
2022-04-04,smallcap,,74.8553
2022-04-11,largecap,,61.4148
2022-04-11,midcap,,60.1266
2022-04-11,smallcap,,74.281
2022-04-18,largecap,,58.1994
2022-04-18,midcap,,58.9905
2022-04-18,smallcap,,70.6656
2022-04-25,largecap,,54.9839
2022-04-25,midcap,,51.735
2022-04-25,smallcap,,61.8852
2022-05-02,largecap,,36.9775
2022-05-02,midcap,,37.5394
2022-05-02,smallcap,,42.635
2022-05-09,largecap,,26.6881
2022-05-09,midcap,,22.6415
2022-05-09,smallcap,,26.4706
2022-05-16,largecap,,38.2637
2022-05-16,midcap,,32.2884
2022-05-16,smallcap,,36.3192
2022-05-23,largecap,,35.8974
2022-05-23,midcap,,28.4375
2022-05-23,smallcap,,27.5527
2022-05-30,largecap,,38.3387
2022-05-30,midcap,,39.0093
2022-05-30,smallcap,,33.09
2022-06-06,largecap,,34.3949
2022-06-06,midcap,,33.9506
2022-06-06,smallcap,,30.389
2022-06-13,largecap,,20.7006
2022-06-13,midcap,,20.679
2022-06-13,smallcap,,17.9238
2022-06-20,largecap,,24.2038
2022-06-20,midcap,,25.3086
2022-06-20,smallcap,,19.4669
2022-06-27,largecap,,26.7516
2022-06-27,midcap,,27.1605
2022-06-27,smallcap,,22.6721
2022-07-04,largecap,,39.172
2022-07-04,midcap,,34.5679
2022-07-04,smallcap,,28.6062
2022-07-11,largecap,,43.6306
2022-07-11,midcap,,36.9231
2022-07-11,smallcap,,28.7217
2022-07-18,largecap,,55.0955
2022-07-18,midcap,,46.1538
2022-07-18,smallcap,,42.1989
2022-07-25,largecap,,60.5096
2022-07-25,midcap,,51.0769
2022-07-25,smallcap,,43.5732
2022-08-01,largecap,,64.3312
2022-08-01,midcap,,54.6012
2022-08-01,smallcap,,46.9305
2022-08-08,largecap,,66.5605
2022-08-08,midcap,,54.2945
2022-08-08,smallcap,,48.9516
2022-08-16,largecap,,67.5159
2022-08-16,midcap,,57.9755
2022-08-16,smallcap,,54.4507
2022-08-22,largecap,,69.7452
2022-08-22,midcap,,62.5767
2022-08-22,smallcap,,58.6207
2022-08-29,largecap,,71.746
2022-08-29,midcap,,64.7239
2022-08-29,smallcap,,60.56
2022-09-05,largecap,,74.9206
2022-09-05,midcap,,72.6994
2022-09-05,smallcap,,67.1463
2022-09-12,largecap,,68.8889
2022-09-12,midcap,,66.5644
2022-09-12,smallcap,,63.7876
2022-09-19,largecap,,64.3312
2022-09-19,midcap,,63.3028
2022-09-19,smallcap,,58.307
2022-09-26,largecap,,58.2803
2022-09-26,midcap,,55.9633
2022-09-26,smallcap,,51.3428
2022-10-03,largecap,,61.465
2022-10-03,midcap,,62.0795
2022-10-03,smallcap,,58.5174
2022-10-10,largecap,,52.8662
2022-10-10,midcap,,53.5168
2022-10-10,smallcap,,51.2962
2022-10-17,largecap,,58.2803
2022-10-17,midcap,,52.1341
2022-10-17,smallcap,,48.1132
2022-10-24,largecap,,62.8571
2022-10-24,midcap,,55.1829
2022-10-24,smallcap,,49.8818
2022-10-31,largecap,,70.1587
2022-10-31,midcap,,58.5366
2022-10-31,smallcap,,53.3699
2022-11-07,largecap,,70.1587
2022-11-07,midcap,,55.4878
2022-11-07,smallcap,,52.8125
2022-11-14,largecap,,66.9841
2022-11-14,midcap,,52.7439
2022-11-14,smallcap,,48.1626
2022-11-21,largecap,,71.8354
2022-11-21,midcap,,57.7039
2022-11-21,smallcap,,50
2022-11-28,largecap,,78.2334
2022-11-28,midcap,,62.3494
2022-11-28,smallcap,,56.8111
2022-12-05,largecap,,74.4479
2022-12-05,midcap,,61.4458
2022-12-05,smallcap,,56.3369
2022-12-12,largecap,,70.0315
2022-12-12,midcap,,58.4337
2022-12-12,smallcap,,57.2636
2022-12-19,largecap,,51.1041
2022-12-19,midcap,,39.1566
2022-12-19,smallcap,,32.5653
2022-12-26,largecap,,63.4069
2022-12-26,midcap,,53.012
2022-12-26,smallcap,,52.5631
2023-01-02,largecap,,62.1451
2023-01-02,midcap,,52.5526
2023-01-02,smallcap,,52.9052
2023-01-09,largecap,,60.8833
2023-01-09,midcap,,51.497
2023-01-09,smallcap,,52.9862
2023-01-16,largecap,,60.5678
2023-01-16,midcap,,48.2036
2023-01-16,smallcap,,51.1468
2023-01-23,largecap,,52.6814
2023-01-23,midcap,,41.018
2023-01-23,smallcap,,39.8014
2023-01-30,largecap,,51.1041
2023-01-30,midcap,,40.2985
2023-01-30,smallcap,,37.156
2023-02-06,largecap,,56.4669
2023-02-06,midcap,,47.7612
2023-02-06,smallcap,,39.771
2023-02-13,largecap,,54.2587
