date,time,group,ltp,vwap
2026-09-04,15:29,AFFLE,1616.5,1606.02
2026-09-04,15:29,AGARWALEYE,514.1,512.21
2026-09-04,15:29,AJAXENGG,582.45,580.82
2026-09-04,15:29,AKUMS,765.75,761.34
2026-09-04,15:29,APOLLO,388.9,388.3
2026-09-04,15:29,ASTRAMICRO,1729,1717.19
2026-09-04,15:29,ATLANTAELE,1881.7,1878.77
2026-09-04,15:29,BAJAJHIND,21.86,21.75
2026-09-04,15:29,BALAMINES,2525.2,2518.62
2026-09-04,15:29,BELRISE,236.86,236.5
2026-09-04,15:29,BLACKBUCK,586.1,584.56
2026-09-04,15:29,BLISSGVS,671,661.61
2026-09-04,15:29,BLUESTONE,842.75,834.56
2026-09-04,15:29,CAPLIPOINT,2810.8,2788.74
2026-09-04,15:29,CARBORUNIV,1130.6,1123.15
2026-09-04,15:29,CARERATING,1738.2,1726.45
2026-09-04,15:29,CARTRADE,3000.2,2999.77
2026-09-04,15:29,CEIGALL,355.8,354.69
2026-09-04,15:29,CEMPRO,1297.4,1292.77
2026-09-04,15:29,CENTUM,3767.3,3754.63
2026-09-04,15:29,CHENNPETRO,1452.2,1448.11
2026-09-04,15:29,CLEANMAX,1347.9,1339.08
2026-09-04,15:29,CMPDI,243.92,241.99
2026-09-04,15:29,DEEPINDS,786.45,776.77
2026-09-04,15:29,DIACABS,331.8,331.55
2026-09-04,15:29,DYNAMATECH,11654,11652.69
2026-09-04,15:29,E2E,601.55,596.55
2026-09-04,15:29,ELANTAS,12219,12210.14
2026-09-04,15:29,ELGIEQUIP,642.1,638.13
2026-09-04,15:29,EMIL,173.74,172.32
2026-09-04,15:29,FCL,51.51,50.98
2026-09-04,15:29,FEDFINA,161.56,160.67
2026-09-04,15:29,GARFIBRES,800.55,799.31
2026-09-04,15:29,GESHIP,1369.7,1363.72
2026-09-04,15:29,GNFC,596.7,593.19
2026-09-04,15:29,GRANULES,848.3,848.28
2026-09-04,15:29,GRAPHITE,733.6,730.01
2026-09-04,15:29,HEG,728.25,720.25
2026-09-04,15:29,HNDFDS,615.05,614.04
2026-09-04,15:29,ICIL,449.8,448.64
2026-09-04,15:29,IIFLCAPS,341.2,340.22
2026-09-04,15:29,INDIGOPNTS,1185.8,1185.47
2026-09-04,15:29,INNOVACAP,1175.4,1171.82
2026-09-04,15:29,JINDWORLD,57.51,54.38
2026-09-04,15:29,JUSTDIAL,692.85,692.41
2026-09-04,15:29,KENNAMET,4688.5,4658.37
2026-09-04,15:29,KOVAI,6062.5,6055.44
2026-09-04,15:29,KRBL,421.95,421.5
2026-09-04,15:29,KRN,1578.7,1575.6
2026-09-04,15:29,KSHINTL,1087.8,1072.88
2026-09-04,15:29,LOTUSDEV,193.25,191.36
2026-09-04,15:29,LTFOODS,444.8,443.45
2026-09-04,15:29,MAHSEAMLES,688.1,684.73
2026-09-04,15:29,MANORAMA,1993.4,1991.63
2026-09-04,15:29,MAXESTATES,542.1,536.68
2026-09-04,15:29,MINDACORP,702.8,700.62
2026-09-04,15:29,MTARTECH,7161,7099.09
