date,time,group,sector,market cap,1 week %,vol > yr avg
2026-09-04,15:29,ANTELOPUS,energy,smallcap,21.5737,11.2621
2026-09-04,15:29,AYMSYNTEX,textiles,smallcap,22.1305,2.8214
2026-09-04,15:29,CAPLIPOINT,healthcare,largecap,11.6638,1.7729
2026-09-04,15:29,CONFIPET,miscellaneous,smallcap,3.2678,0.9792
2026-09-04,15:29,GLOBAL,services,smallcap,10.5147,5.0302
2026-09-04,15:29,KOPRAN,healthcare,smallcap,15.2557,1.6298
2026-09-04,15:29,LAXMIINDIA,financials,smallcap,4.9964,0.7513
2026-09-04,15:29,LOKESHMACH,industrials,smallcap,16.6907,0.8123
2026-09-04,15:29,PAISALO,financials,midcap,9.6803,2.9169
2026-09-04,15:29,RBZJEWEL,consumer discretionary,smallcap,37.2709,26.2744
2026-09-04,15:29,RML,auto,smallcap,15.0173,45.7459
2026-09-04,15:29,RSWM,textiles,smallcap,12.5663,0.8933
2026-09-04,15:29,SAKAR,healthcare,smallcap,15.7817,0.7933
2026-09-04,15:29,SBC,textiles,smallcap,9.1343,1.1645
2026-09-04,15:29,SPAL,consumer discretionary,smallcap,4.8043,0.5496
2026-09-04,15:29,TEJASNET,telecom,midcap,11.6332,4.249
2026-09-04,15:29,UEL,power & utilities,smallcap,27.6079,1.4864
2026-09-04,15:29,WHEELS,auto,smallcap,11.4493,2.6143
2026-09-07,15:29,CENTUM,aerospace & defence,midcap,16.1813,12.9846
2026-09-07,15:29,EXICOM,industrials,smallcap,3.6435,2.0094
2026-09-07,15:29,NRBBEARING,industrials,smallcap,8.0537,2.2482
2026-09-07,15:29,SKIPPER,industrials,midcap,2.2501,6.9387
2026-09-07,15:29,SYRMA,consumer discretionary,largecap,12.1801,8.17
2026-09-07,15:29,TALBROAUTO,auto,smallcap,5.8982,8.4604
2026-09-07,15:29,UNIVPHOTO,consumer discretionary,smallcap,4.9959,0.4692
2026-09-07,15:29,VENUSPIPES,metals & mining,smallcap,10.6928,7.3841
2026-09-07,15:29,WOCKPHARMA,healthcare,largecap,5.7117,3.4568
2026-09-08,15:29,ARVIND,textiles,midcap,5.1361,1.5178
2026-09-08,15:29,CENTUM,aerospace & defence,midcap,13.8056,1.4458
2026-09-08,15:29,DATAPATTNS,aerospace & defence,largecap,7.5747,3.3013
2026-09-08,15:29,EXICOM,industrials,smallcap,2.1366,1.1833
2026-09-08,15:29,MIDHANI,aerospace & defence,midcap,13.8969,29.2988
2026-09-08,15:29,NELCO,telecom,smallcap,6.7874,7.3147
2026-09-08,15:29,NOVARTIND,healthcare,smallcap,10.6455,16.9525
2026-09-08,15:29,NRBBEARING,industrials,smallcap,9.5302,0.786
2026-09-08,15:29,SKIPPER,industrials,midcap,2.3008,1.8681
2026-09-08,15:29,SYRMA,consumer discretionary,largecap,12.482,1.7585
2026-09-08,15:29,UNIVPHOTO,consumer discretionary,smallcap,10.2365,0.4567
2026-09-08,15:29,VENUSPIPES,metals & mining,smallcap,19.5524,12.1463
2026-09-08,15:29,WOCKPHARMA,healthcare,largecap,6.4777,1.0717
2026-09-09,15:29,ARVIND,textiles,midcap,3.2281,2.2831
2026-09-09,15:29,CENTUM,aerospace & defence,midcap,12.8262,1.7796
2026-09-09,15:29,DATAPATTNS,aerospace & defence,largecap,6.5038,0.7763
2026-09-09,15:29,EXICOM,industrials,smallcap,1.445,1.4968
2026-09-09,15:29,GAYAPROJ,realty,smallcap,8.6397,7.9659
2026-09-09,15:29,NEOGEN,chemicals,midcap,5.4867,1.4764
2026-09-09,15:29,NOVARTIND,healthcare,smallcap,32.7746,22.0554
2026-09-09,15:29,NRBBEARING,industrials,smallcap,8.4004,0.6734
2026-09-09,15:29,PPL,plastic products,smallcap,9.7519,0.7381
2026-09-09,15:29,RAIN,miscellaneous,midcap,3.143,2.5873
2026-09-09,15:29,SKIPPER,industrials,midcap,0.4822,2.7296
2026-09-09,15:29,SYRMA,consumer discretionary,largecap,11.3292,0.6878
