date,sector,sector_nifty_500_close__high,sector_least_20_gain__column2,sectors_above_key_weekly__4w_ema,sectors_above_key_weekly__20w_ema,sectors_above_key_weekly__30w_ema,sectors_above_key_weekly__40w_ema,sectors_above_key_weekly__52w_ema,money_going_month__column1,ytd_sectoral_advances_nifty__change
2026-09-04,aerospace & defence,45.4545,2.9412,47.0588,64.7059,64.7059,67.6471,73.5294,16,54.5455
2026-09-04,auto,32.4324,5.102,30.0971,56.3107,59.2233,58.2524,58.2524,21,18.9189
2026-09-04,bank,50,0,51.2195,58.5366,65.8537,70.7317,70.7317,14,53.8462
2026-09-04,building materials,6.25,2.4691,39.5833,40.625,37.5,33.3333,30.2083,44,43.75
2026-09-04,chemicals,28,8.9041,49.6855,61.6352,62.2642,55.9748,52.2013,69,40
2026-09-04,co-working,1.7e+308,0,40,60,60,60,60,1,1.7e+308
2026-09-04,consumer discretionary,24.1379,6.6667,37.6623,49.3506,51.2987,50,49.3506,54,34.4828
2026-09-04,energy,21.4286,16.2162,58.9744,64.1026,56.4103,56.4103,56.4103,20,57.1429
2026-09-04,financials,33.8028,5.3191,47.7064,51.8349,51.3761,50,47.7064,85,52.1127
2026-09-04,fmcg,23.0769,6.9767,40.9091,52.5974,51.2987,51.2987,50,64,30.7692
2026-09-04,healthcare,56.25,13.245,59.8765,71.6049,71.6049,70.9877,69.7531,63,33.3333
2026-09-04,i.t,30.7692,4.3478,34.8315,41.573,39.3258,37.0787,35.9551,66,25.641
2026-09-04,indices,,,21.4623,68.1604,73.1132,72.1698,73.5849,62,0
2026-09-04,industrials,45.2381,13.8095,47.3913,56.9565,59.1304,59.5652,58.6957,79,38.0952
2026-09-04,media,25,0,31.25,33.3333,31.25,31.25,25,23,75
2026-09-04,metals & mining,22.7273,11.215,46.5116,55.0388,54.2636,51.938,53.4884,48,50
2026-09-04,miscellaneous,0,3.0303,40.4762,40.4762,42.8571,40.4762,38.0952,35,37.5
2026-09-04,n/a,,,35.3774,37.7358,39.6226,39.1509,40.0943,11,0
2026-09-04,plastic products,0,9.0909,45.1613,38.7097,35.4839,32.2581,25.8065,15,0
2026-09-04,power & utilities,0,4.1667,21.875,15.625,25,25,25,14,62.5
2026-09-04,realty,26.087,6.338,34.2246,34.7594,31.5508,32.0856,31.016,83,70.8333
2026-09-04,services,38.4615,2.5316,35.8974,38.4615,35.8974,33.3333,33.3333,54,53.8462
2026-09-04,telecom,66.6667,0,40,50,50,50,50,4,33.3333
2026-09-04,telecom-service,0,0,27.2727,27.2727,27.2727,27.2727,27.2727,4,60
2026-09-04,textiles,50,6.0241,44.9612,48.062,46.5116,42.6357,41.0853,59,40
2026-09-04,transportation,33.3333,2.3256,42.3077,53.8462,63.4615,57.6923,53.8462,19,58.3333
2026-09-07,aerospace & defence,36.3636,5.8824,58.8235,64.7059,64.7059,67.6471,67.6471,12,45.4545
2026-09-07,auto,29.7297,4.0816,33.9806,52.4272,56.3107,57.2816,58.2524,19,16.2162
2026-09-07,bank,50,2.7027,34.1463,56.0976,63.4146,60.9756,68.2927,10,46.1538
2026-09-07,building materials,6.25,2.4691,43.75,40.625,39.5833,33.3333,31.25,40,31.25
