Date,Symbol,% from 30w ema
2026-09-04 15:29,NIFTYMICROCAP250,9.1882
2026-09-04 15:29,NIFTYSMALLCAP50,9.0722
2026-09-04 15:29,CNXSMALLCAP,7.9879
2026-09-04 15:29,NIFTYINDDEFENCE,7.1569
2026-09-04 15:29,CNXPHARMA,7.0672
2026-09-04 15:29,NIFTYSMALLCAP250,6.6269
2026-09-04 15:29,CNXREALTY,6.5854
2026-09-04 15:29,NIFTYMETAL,6.5714
2026-09-04 15:29,NIFTYHEALTHCARE,4.4574
2026-09-04 15:29,NIFTYMIDSMALLCAP400,4.1999
2026-09-04 15:29,NIFTYMEDIA,4.0238
2026-09-04 15:29,NIFTYMIDCAP50,3.6602
2026-09-04 15:29,NIFTYMIDSELECT,3.3003
2026-09-04 15:29,NIFTYMIDCAP150,2.9584
2026-09-04 15:29,NIFTYCHEMICALS,2.7399
2026-09-04 15:29,NIFTYAUTO,1.6398
2026-09-04 15:29,NIFTYPVTBANK,1.5035
2026-09-04 15:29,NIFTYTOTALMKT,1.2282
2026-09-04 15:29,NIFTYLARGEMID250,1.1959
2026-09-04 15:29,NIFTY500,0.8115
2026-09-04 15:29,BANKNIFTY,0.7927
2026-09-04 15:29,NIFTYPSUBANK,0.5269
2026-09-04 15:29,NIFTYCOMMODITIES,0.099
2026-09-04 15:29,NIFTY200,0.0457
2026-09-04 15:29,NIFTYHOUSING,0
2026-09-04 15:29,CNXIT,-0.0941
2026-09-04 15:29,CNXENERGY,-0.492
2026-09-04 15:29,NIFTY100,-0.6737
2026-09-04 15:29,NIFTYCONSUMPTION,-0.6872
2026-09-04 15:29,NIFTYFINSERVICE,-0.9042
2026-09-04 15:29,NIFTYOILANDGAS,-0.9465
2026-09-04 15:29,CNXINFRA,-1.2098
2026-09-04 15:29,NIFTY,-1.3975
2026-09-04 15:29,NIFTYFMCG,-7.3244
2026-09-04 15:29,INDIAVIX,-23.232
