Date,Symbol,% change
2026-09-07 15:29,SWANDEF,92344.4428
2026-09-07 15:29,UEL,53276.7443
2026-09-07 15:29,WAAREEINDO,8198.437
2026-09-07 15:29,ARIHANT,3799.5944
2026-09-07 15:29,CUPID,2127.9938
2026-09-07 15:29,SIGMAADV,1231.9238
2026-09-07 15:29,STLTECH,903.3175
2026-09-07 15:29,BLISSGVS,515.0253
2026-09-07 15:29,MTARTECH,512.0223
2026-09-07 15:29,VENUSREM,483.7063
2026-09-07 15:29,SMLMAH,479.2263
2026-09-07 15:29,MAHASTEEL,439.3333
2026-09-07 15:29,BHAGYANGR,414.8215
2026-09-07 15:29,TFCILTD,404.837
2026-09-07 15:29,ROSSTECH,377.3228
2026-09-07 15:29,QPOWER,375.9993
2026-09-07 15:29,SAKAR,369.7412
2026-09-07 15:29,SALSTEEL,352.684
2026-09-07 15:29,KAPSTON,313.4735
2026-09-07 15:29,INDSWFTLAB,311.9553
2026-09-07 15:29,KRISHANA,307.3067
2026-09-07 15:29,KMEW,302.0199
2026-09-07 15:29,RISHABH,298.5975
2026-09-07 15:29,KOVAI,298.2806
2026-09-07 15:29,SYRMA,292.1794
2026-09-07 15:29,LUMAXTECH,275.4607
2026-09-07 15:29,BAFNAPH,273.7305
2026-09-07 15:29,MODISONLTD,272.5521
2026-09-07 15:29,DIACABS,271.8694
2026-09-07 15:29,SBC,267.8964
2026-09-07 15:29,NETWEB,267.3862
2026-09-07 15:29,COMSYN,261.4251
2026-09-07 15:29,GAYAPROJ,257.742
2026-09-07 15:29,APOLLO,254.8401
2026-09-07 15:29,RPEL,252.5267
2026-09-07 15:29,AVALON,252.0126
2026-09-07 15:29,WELINV,251.9412
2026-09-07 15:29,IOLCP,245.5636
2026-09-07 15:29,E2E,244.1647
2026-09-07 15:29,PRECWIRE,243.3008
2026-09-07 15:29,IZMO,242.4074
2026-09-07 15:29,MENONBE,241.071
2026-09-07 15:29,SANSERA,238.8087
2026-09-07 15:29,AEROFLEX,237.1489
2026-09-07 15:29,PARAS,236.8921
2026-09-07 15:29,PFOCUS,235.9375
2026-09-07 15:29,MCX,235.7056
2026-09-07 15:29,BAJAJCON,234.9465
2026-09-07 15:29,TBZ,234.5351
2026-09-07 15:29,APARINDS,233.1329
2026-09-07 15:29,SUVEN,228.0136
2026-09-07 15:29,CENTUM,226.1961
2026-09-07 15:29,KIRLOSENG,225.5932
2026-09-07 15:29,UNIVCABLES,223.321
2026-09-07 15:29,LAURUSLABS,222.8176
2026-09-07 15:29,WELCORP,221.4626
2026-09-07 15:29,MANINDS,220.6543
2026-09-07 15:29,BGRENERGY,220.3892
2026-09-07 15:29,THANGAMAYL,218.2003
2026-09-07 15:29,RPTECH,218.0175
2026-09-07 15:29,HFCL,212.9959
2026-09-07 15:29,INDOBORAX,210.0086
2026-09-07 15:29,WHEELS,207.3718
2026-09-07 15:29,SKMEGGPROD,206.6079
2026-09-07 15:29,JAYNECOIND,204.5856
2026-09-07 15:29,UNITEDPOLY,203.4678
2026-09-07 15:29,UNIPARTS,198.0671
2026-09-07 15:29,SHILPAMED,198.0647
2026-09-07 15:29,PVP,194.8416
2026-09-07 15:29,GVT&D,194.504
2026-09-07 15:29,HAPPYFORGE,193.7985
2026-09-07 15:29,DEEDEV,191.5429
2026-09-07 15:29,HIRECT,191.2171
2026-09-07 15:29,ACUTAAS,189.4996
2026-09-07 15:29,MACPOWER,189.2663
2026-09-07 15:29,SPORTKING,188.7168
2026-09-07 15:29,SJS,185.2269
2026-09-07 15:29,LUMAXIND,184.7701
2026-09-07 15:29,DOLPHIN,183.9127
2026-09-07 15:29,IRISDOREME,183.4017
2026-09-07 15:29,BODALCHEM,183.0357
2026-09-07 15:29,UNIVPHOTO,182.4775
2026-09-07 15:29,STALLION,182.4645
2026-09-07 15:29,BIRLACABLE,182.2485
2026-09-07 15:29,DATAPATTNS,180.6884
2026-09-07 15:29,GVPIL,179.3459
2026-09-07 15:29,RRKABEL,177.9091
2026-09-07 15:29,MOREPENLAB,177.4977
2026-09-07 15:29,ASTRAMICRO,177.0924
2026-09-07 15:29,SETL,172.6667
2026-09-07 15:29,ONIDA,172.3787
2026-09-07 15:29,KERNEX,170.8043
2026-09-07 15:29,RBLBANK,168.9043
2026-09-07 15:29,MBAPL,168.7716
2026-09-07 15:29,YATHARTH,167.9957
2026-09-07 15:29,GLOBAL,167.7736
2026-09-07 15:29,GABRIEL,166.2826
2026-09-07 15:29,LOKESHMACH,165.6122
2026-09-07 15:29,MARINE,165.5391
2026-09-07 15:29,TATVA,165.2589
2026-09-07 15:29,DIVGIITTS,164.5742
2026-09-07 15:29,FCL,162.0721
2026-09-07 15:29,SENORES,161.961
2026-09-07 15:29,BSE,160.9216
2026-09-07 15:29,ANANDRATHI,160.3514
2026-09-07 15:29,SBCL,158.6076
2026-09-07 15:29,UFBL,155.5617
2026-09-07 15:29,SHRIPISTON,155.2641
2026-09-07 15:29,IFCI,155.1269
2026-09-07 15:29,CHENNPETRO,154.5519
2026-09-07 15:29,NRAIL,154.1792
2026-09-07 15:29,NGLFINE,153.1278
2026-09-07 15:29,SILVERTUC,152.3685
2026-09-07 15:29,FORCEMOT,151.5928
2026-09-07 15:29,POWERINDIA,150.921
2026-09-07 15:29,ABCAPITAL,149.1966
2026-09-07 15:29,NRBBEARING,146.8316
2026-09-07 15:29,SKYGOLD,146.7209
2026-09-07 15:29,NOVARTIND,141.8289
2026-09-07 15:29,PAYTM,141.5445
2026-09-07 15:29,RUBYMILLS,139.5429
2026-09-07 15:29,THYROCARE,138.8125
2026-09-07 15:29,CEMPRO,138.1374
2026-09-07 15:29,RATNAVEER,136.714
2026-09-07 15:29,HINDCOPPER,136.1427
2026-09-07 15:29,CRAFTSMAN,136.0821
2026-09-07 15:29,IDEAFORGE,135.9587
2026-09-07 15:29,ASIANENE,135.9178
2026-09-07 15:29,RACLGEAR,134.9507
2026-09-07 15:29,RML,133.8809
2026-09-07 15:29,BBOX,132.7521
2026-09-07 15:29,YASHO,131.4586
2026-09-07 15:29,TMB,130.1425
2026-09-07 15:29,INOXINDIA,129.9583
2026-09-07 15:29,MANAKSTEEL,129.6288
2026-09-07 15:29,TI,128.9413
2026-09-07 15:29,GOKULAGRO,128.8296
2026-09-07 15:29,PAISALO,128.2553
2026-09-07 15:29,AZAD,128.0172
2026-09-07 15:29,HONASA,126.4342
2026-09-07 15:29,GMDCLTD,126.0968
2026-09-07 15:29,UNIVASTU,126.0077
2026-09-07 15:29,PRIVISCL,125.7625
2026-09-07 15:29,RICOAUTO,125.6705
2026-09-07 15:29,SAILIFE,124.1044
2026-09-07 15:29,SCPL,123.0717
2026-09-07 15:29,LTF,122.9436
2026-09-07 15:29,SOUTHWEST,122.75
2026-09-07 15:29,NAM-INDIA,120.9077
2026-09-07 15:29,CYIENTDLM,120.5275
2026-09-07 15:29,INDORAMA,119.7133
2026-09-07 15:29,KINGFA,119.1962
2026-09-07 15:29,APCOTEXIND,118.6224
2026-09-07 15:29,BALAMINES,118.0521
2026-09-07 15:29,SOLARINDS,117.5712
2026-09-07 15:29,BHAGERIA,117.1714
2026-09-07 15:29,VINDHYATEL,116.5655
2026-09-07 15:29,RAMRAT,116.0213
2026-09-07 15:29,TDPOWERSYS,115.7044
2026-09-07 15:29,BHEL,115.6527
2026-09-07 15:29,FILATEX,114.4777
2026-09-07 15:29,AVADHSUGAR,114.2912
2026-09-07 15:29,AUBANK,114.1114
2026-09-07 15:29,IBULLSLTD,113.9883
2026-09-07 15:29,KABRAEXTRU,113.8524
2026-09-07 15:29,BLSE,113.6218
2026-09-07 15:29,SSWL,113.0969
2026-09-07 15:29,PREMEXPLN,112.7506
2026-09-07 15:29,IIFL,112.7338
2026-09-07 15:29,DBOL,112.0386
2026-09-07 15:29,NEULANDLAB,111.8102
2026-09-07 15:29,TVSSRICHAK,111.6962
2026-09-07 15:29,IMFA,111.609
2026-09-07 15:29,PANACHE,110.4
2026-09-07 15:29,SMSPHARMA,110.3219
2026-09-07 15:29,ACMESOLAR,110.1903
2026-09-07 15:29,STYLAMIND,109.12
2026-09-07 15:29,VINCOFE,108.8988
2026-09-07 15:29,DCBBANK,108.7633
2026-09-07 15:29,RAMCOSYS,108.6123
2026-09-07 15:29,EMCURE,108.1789
2026-09-07 15:29,CUB,107.9888
2026-09-07 15:29,NAVINFLUOR,107.8893
2026-09-07 15:29,KARURVYSYA,107.5942
2026-09-07 15:29,INFOBEAN,107.3608
2026-09-07 15:29,VARROC,106.1441
2026-09-07 15:29,TNPETRO,105.0272
2026-09-07 15:29,KANPRPLA,104.5668
2026-09-07 15:29,INDNIPPON,104.4018
2026-09-07 15:29,AXISCADES,103.9809
2026-09-07 15:29,TALBROAUTO,103.2574
2026-09-07 15:29,NRL,102.9034
2026-09-07 15:29,JAYBARMARU,102.7839
2026-09-07 15:29,SCI,101.9178
2026-09-07 15:29,ARIES,101.8652
2026-09-07 15:29,MANORAMA,101.8435
2026-09-07 15:29,NYKAA,101.7954
2026-09-07 15:29,DYNAMATECH,101.5892
2026-09-07 15:29,DREDGECORP,101.1064
2026-09-07 15:29,VIYASH,101.0754
2026-09-07 15:29,AHLWEST,100.8717
2026-09-07 15:29,MOTHERSON,100.843
2026-09-07 15:29,RADICO,100.6909
2026-09-07 15:29,OCCLLTD,100.5122
2026-09-07 15:29,STAR,100.391
2026-09-07 15:29,MMP,100.1394
2026-09-07 15:29,ADANIPOWER,100.0098
2026-09-07 15:29,TIRUPATIFL,99.1847
2026-09-07 15:29,KANORICHEM,99.014
2026-09-07 15:29,CARTRADE,98.9365
2026-09-07 15:29,MOLDTECH,98.0482
2026-09-07 15:29,CCL,97.801
2026-09-07 15:29,NATIONALUM,97.7517
2026-09-07 15:29,SCHNEIDER,97.6977
2026-09-07 15:29,SOUTHBANK,97.5382
2026-09-07 15:29,RATEGAIN,97.373
2026-09-07 15:29,GANDHAR,97.1784
2026-09-07 15:29,IFBAGRO,96.0731
2026-09-07 15:29,KTKBANK,95.7861
2026-09-07 15:29,SVLL,94.9793
2026-09-07 15:29,CARYSIL,94.91
2026-09-07 15:29,FEDFINA,94.3042
2026-09-07 15:29,NITINSPIN,94.1368
2026-09-07 15:29,ADOR,94.0055
2026-09-07 15:29,ABDL,92.926
2026-09-07 15:29,FEDERALBNK,92.8499
2026-09-07 15:29,VSSL,92.6028
2026-09-07 15:29,PTCIL,92.1545
2026-09-07 15:29,LLOYDSENT,92.0298
2026-09-07 15:29,AEROENTER,91.3318
2026-09-07 15:29,OAL,91.2277
2026-09-07 15:29,MAHABANK,91.1401
2026-09-07 15:29,GLAND,91.0583
2026-09-07 15:29,JGCHEM,90.8568
2026-09-07 15:29,SANGHVIMOV,90.3811
2026-09-07 15:29,BANCOINDIA,89.841
2026-09-07 15:29,SINDHUTRAD,89.4224
2026-09-07 15:29,KIRLFER,88.8752
2026-09-07 15:29,SOTL,88.678
2026-09-07 15:29,SHAILY,88.6379
2026-09-07 15:29,SEAMECLTD,88.5088
2026-09-07 15:29,AETHER,88.2921
2026-09-07 15:29,RAYMOND,88.1837
2026-09-07 15:29,GRSE,87.5426
2026-09-07 15:29,ASTERDM,87.2338
2026-09-07 15:29,DELHIVERY,87.2112
2026-09-07 15:29,SEJALLTD,86.3859
2026-09-07 15:29,MUFIN,86.05
2026-09-07 15:29,ANTELOPUS,85.5031
2026-09-07 15:29,APOLLOPIPE,85.0939
2026-09-07 15:29,PRICOLLTD,84.5926
2026-09-07 15:29,UJJIVANSFB,84.4955
2026-09-07 15:29,KRN,84.4007
2026-09-07 15:29,SHREEPUSHK,84.2548
2026-09-07 15:29,GALLANTT,84.2156
2026-09-07 15:29,BIL,83.1891
2026-09-07 15:29,INDOTECH,83.0737
2026-09-07 15:29,MOTILALOFS,82.4944
2026-09-07 15:29,BOSCHLTD,82.2868
2026-09-07 15:29,TVSMOTOR,82.2834
2026-09-07 15:29,WELSPUNLIV,81.6974
2026-09-07 15:29,BHARATFORG,81.6324
2026-09-07 15:29,ARMANFIN,81.4597
2026-09-07 15:29,AYMSYNTEX,81.2953
2026-09-07 15:29,ICIL,81.0816
2026-09-07 15:29,MMFL,81.0221
2026-09-07 15:29,AIIL,80.6462
2026-09-07 15:29,OMAXE,79.6568
2026-09-07 15:29,KENNAMET,79.5882
2026-09-07 15:29,NORTHARC,79.4616
2026-09-07 15:29,BALAJITELE,78.4104
2026-09-07 15:29,SIRCA,78.1244
2026-09-07 15:29,SANDHAR,77.9435
2026-09-07 15:29,JAMNAAUTO,77.6733
2026-09-07 15:29,GRANULES,77.5072
2026-09-07 15:29,FOSECOIND,77.1832
2026-09-07 15:29,SAIL,77.0303
2026-09-07 15:29,MSTCLTD,76.9084
2026-09-07 15:29,SANGAMIND,76.8062
2026-09-07 15:29,ARVIND,76.793
2026-09-07 15:29,CONFIPET,76.7312
2026-09-07 15:29,PANSARI,76.5276
2026-09-07 15:29,WELENT,76.3845
2026-09-07 15:29,GARUDA,76.3724
2026-09-07 15:29,GHCLTEXTIL,76.0993
2026-09-07 15:29,DEEPINDS,75.9946
2026-09-07 15:29,CUMMINSIND,75.7451
2026-09-07 15:29,WSTCSTPAPR,75.7413
2026-09-07 15:29,ABSLAMC,75.6998
2026-09-07 15:29,SPARC,75.5821
2026-09-07 15:29,MARKSANS,75.3913
2026-09-07 15:29,ADANIENSOL,74.8821
2026-09-07 15:29,GRWRHITECH,74.6125
