Date,Symbol,% change
2026-09-08 15:29,ARIHANT,3363.4652
2026-09-08 15:29,SWANDEF,1041.0722
2026-09-08 15:29,STLTECH,752.227
2026-09-08 15:29,BLISSGVS,402.8194
2026-09-08 15:29,SIGMAADV,337.7817
2026-09-08 15:29,INDSWFTLAB,306.9377
2026-09-08 15:29,UFBL,292.0669
2026-09-08 15:29,HFCL,283.2493
2026-09-08 15:29,MODISONLTD,259.348
2026-09-08 15:29,BODALCHEM,247.9864
2026-09-08 15:29,TBZ,242.1231
2026-09-08 15:29,MTARTECH,227.5724
2026-09-08 15:29,CUPID,226.2495
2026-09-08 15:29,WELCORP,223.2405
2026-09-08 15:29,AEROFLEX,218.9123
2026-09-08 15:29,DEEDEV,214.6188
2026-09-08 15:29,E2E,202.8044
2026-09-08 15:29,SHILPAMED,195.263
2026-09-08 15:29,KABRAEXTRU,193.2151
2026-09-08 15:29,RUBICON,189.8808
2026-09-08 15:29,MOREPENLAB,186.4548
2026-09-08 15:29,BHAGYANGR,184.3002
2026-09-08 15:29,KAPSTON,182.3498
2026-09-08 15:29,SAKAR,178.9664
2026-09-08 15:29,MENONBE,173.7233
2026-09-08 15:29,YASHO,172.5202
2026-09-08 15:29,GAYAPROJ,171.4119
2026-09-08 15:29,KOVAI,171.2113
2026-09-08 15:29,AVALON,168.7672
2026-09-08 15:29,SETL,163.7413
2026-09-08 15:29,ANTELOPUS,161.4534
2026-09-08 15:29,IOLCP,158.0795
2026-09-08 15:29,BIRLACABLE,154.0739
2026-09-08 15:29,SKYGOLD,152.8913
2026-09-08 15:29,CPPLUS,149.3195
2026-09-08 15:29,SBCL,146.0648
2026-09-08 15:29,SPORTKING,143.9466
2026-09-08 15:29,WHEELS,142.6588
2026-09-08 15:29,DIACABS,140.4018
2026-09-08 15:29,FCL,139.9015
2026-09-08 15:29,UNIVASTU,139.7992
2026-09-08 15:29,SGMART,139.5679
2026-09-08 15:29,SANSERA,136.4777
2026-09-08 15:29,CONFIPET,134.8804
2026-09-08 15:29,RPTECH,134.1683
2026-09-08 15:29,ATHERENERG,133.4147
2026-09-08 15:29,CYIENTDLM,132.5512
2026-09-08 15:29,PARAS,131.8662
2026-09-08 15:29,INDOTECH,130.4882
2026-09-08 15:29,SYRMA,128.0309
2026-09-08 15:29,NOVARTIND,126.1528
2026-09-08 15:29,SPECTRUM,124.6881
2026-09-08 15:29,UNIVPHOTO,124.5483
2026-09-08 15:29,NRL,124.1196
2026-09-08 15:29,QPOWER,123.7156
2026-09-08 15:29,BALAMINES,123.4922
2026-09-08 15:29,EBGNG,123.2422
2026-09-08 15:29,KRN,121.8481
2026-09-08 15:29,SCPL,120.6304
2026-09-08 15:29,LOKESHMACH,119.1079
2026-09-08 15:29,PREMIERPOL,119.0614
2026-09-08 15:29,BAFNAPH,118.0305
2026-09-08 15:29,TFCILTD,117.9947
2026-09-08 15:29,UTLSOLAR,117.4369
2026-09-08 15:29,TIRUPATIFL,116.3782
2026-09-08 15:29,SUVEN,114.7834
2026-09-08 15:29,COMSYN,113.684
2026-09-08 15:29,AVADHSUGAR,113.5743
2026-09-08 15:29,NGLFINE,111.3191
2026-09-08 15:29,SHREEJISPG,111.0322
2026-09-08 15:29,ATLANTAELE,110.9173
2026-09-08 15:29,GVPIL,108.7814
2026-09-08 15:29,HAPPYFORGE,108.7123
2026-09-08 15:29,KANORICHEM,107.9571
2026-09-08 15:29,SALSTEEL,107.7485
2026-09-08 15:29,PAISALO,107.5855
2026-09-08 15:29,VENUSREM,106.0606
2026-09-08 15:29,NITINSPIN,105.5216
2026-09-08 15:29,RISHABH,104.7106
2026-09-08 15:29,PRECWIRE,104.297
2026-09-08 15:29,MARINE,104.1221
2026-09-08 15:29,SUDEEPPHRM,102.2418
2026-09-08 15:29,MBAPL,102.1025
2026-09-08 15:29,RUBYMILLS,101.8287
2026-09-08 15:29,DIVGIITTS,101.7986
2026-09-08 15:29,BAJAJCON,101.6078
2026-09-08 15:29,APOLLOPIPE,100.0677
2026-09-08 15:29,ASTRAMICRO,98.2178
2026-09-08 15:29,APARINDS,97.3147
2026-09-08 15:29,VINDHYATEL,96.9197
2026-09-08 15:29,ASIANENE,96.2247
2026-09-08 15:29,GRWRHITECH,96.1063
2026-09-08 15:29,INOXINDIA,95.7509
2026-09-08 15:29,OMAXE,95.7349
2026-09-08 15:29,RAIN,95.6084
2026-09-08 15:29,NEOGEN,94.7892
2026-09-08 15:29,HITECHCORP,94.7536
2026-09-08 15:29,JNKINDIA,94.5585
2026-09-08 15:29,LAURUSLABS,94.4372
2026-09-08 15:29,AYMSYNTEX,94.2826
2026-09-08 15:29,AMANTA,94.0215
2026-09-08 15:29,SSWL,93.6874
2026-09-08 15:29,MANINDS,93.3412
2026-09-08 15:29,IFCI,93.3403
2026-09-08 15:29,RAYMOND,92.9809
2026-09-08 15:29,UEL,92.4027
2026-09-08 15:29,PARACABLES,91.7523
2026-09-08 15:29,MMP,91.5916
2026-09-08 15:29,DATAPATTNS,91.0855
2026-09-08 15:29,AEROENTER,90.7648
2026-09-08 15:29,AETHER,90.0845
2026-09-08 15:29,PVP,89.0528
2026-09-08 15:29,CENTUM,88.9888
2026-09-08 15:29,JINDALSAW,88.6885
2026-09-08 15:29,GANDHAR,88.5667
2026-09-08 15:29,INDOBORAX,88.4472
2026-09-08 15:29,SOLARINDS,88.4125
2026-09-08 15:29,RML,88.3852
2026-09-08 15:29,ACUTAAS,87.801
2026-09-08 15:29,BHAGERIA,87.263
2026-09-08 15:29,JINDWORLD,87.1587
2026-09-08 15:29,MACPOWER,86.6448
2026-09-08 15:29,BLUSPRING,86.328
2026-09-08 15:29,SOTL,86.2121
2026-09-08 15:29,AHLWEST,86.2019
2026-09-08 15:29,ROSSTECH,85.7274
2026-09-08 15:29,ENTERO,85.5139
2026-09-08 15:29,KIRLOSENG,85.2172
2026-09-08 15:29,IDEAFORGE,84.2424
2026-09-08 15:29,ZIMLAB,84.0605
2026-09-08 15:29,SENORES,83.8753
2026-09-08 15:29,KOPRAN,83.7297
2026-09-08 15:29,RATNAVEER,83.7251
2026-09-08 15:29,SILVERTUC,83.4017
2026-09-08 15:29,HONASA,83.1666
2026-09-08 15:29,SAILIFE,83.1536
2026-09-08 15:29,ARVIND,83.1024
2026-09-08 15:29,CONSOFINVT,83.0949
2026-09-08 15:29,APOLLO,82.8084
2026-09-08 15:29,TMB,82.4948
2026-09-08 15:29,SEAMECLTD,82.3445
2026-09-08 15:29,DEEPINDS,80.6288
2026-09-08 15:29,MANAKSTEEL,80.3457
2026-09-08 15:29,UNIPARTS,80.1946
2026-09-08 15:29,GNA,79.9675
2026-09-08 15:29,MARKSANS,79.6545
2026-09-08 15:29,UNIMECH,79.4516
2026-09-08 15:29,GHCLTEXTIL,78.7349
2026-09-08 15:29,ACMESOLAR,78.6766
2026-09-08 15:29,HIRECT,78.6546
2026-09-08 15:29,GLAND,77.7891
2026-09-08 15:29,EMMVEE,77.7092
2026-09-08 15:29,PANAMAPET,76.8808
2026-09-08 15:29,AZAD,76.7126
2026-09-08 15:29,RPEL,76.0008
2026-09-08 15:29,VIDYAWIRES,75.9281
2026-09-08 15:29,OAL,75.4337
2026-09-08 15:29,AKUMS,75.0891
2026-09-08 15:29,VALIANTLAB,74.9655
2026-09-08 15:29,OCCLLTD,74.8409
2026-09-08 15:29,BLUESTONE,74.0882
2026-09-08 15:29,NINSYS,74.0763
2026-09-08 15:29,SCHNEIDER,73.5394
2026-09-08 15:29,KENNAMET,72.9296
2026-09-08 15:29,RAMRAT,72.7923
2026-09-08 15:29,SGFIN,72.7517
2026-09-08 15:29,SMLMAH,71.9784
2026-09-08 15:29,NRBBEARING,71.8498
2026-09-08 15:29,LENSKART,71.7477
2026-09-08 15:29,MAWANASUG,71.2449
2026-09-08 15:29,AEGISLOG,71.0643
2026-09-08 15:29,KDDL,70.6338
2026-09-08 15:29,UNIVCABLES,70.044
2026-09-08 15:29,RRKABEL,70.0347
2026-09-08 15:29,KRISHANA,69.9285
2026-09-08 15:29,EMIL,69.7883
2026-09-08 15:29,MMFL,69.2826
2026-09-08 15:29,JGCHEM,69.0967
2026-09-08 15:29,KTKBANK,68.4558
2026-09-08 15:29,INNOVACAP,67.8556
2026-09-08 15:29,QUADFUTURE,67.1088
2026-09-08 15:29,FINCABLES,67.0472
2026-09-08 15:29,THANGAMAYL,66.9259
2026-09-08 15:29,WSTCSTPAPR,66.8381
2026-09-08 15:29,KERNEX,66.5225
2026-09-08 15:29,GCSL,66.2036
2026-09-08 15:29,SONACOMS,65.7903
2026-09-08 15:29,AEQUS,65.6547
2026-09-08 15:29,CHEMBONDCH,65.121
2026-09-08 15:29,IRISDOREME,64.6713
2026-09-08 15:29,MSTCLTD,64.5461
2026-09-08 15:29,DOLPHIN,64.4351
2026-09-08 15:29,MCX,64.4038
2026-09-08 15:29,SBC,64.2205
2026-09-08 15:29,WOCKPHARMA,63.8668
2026-09-08 15:29,KAMDHENU,63.5514
2026-09-08 15:29,SHIVAUM,62.9682
