Date,Symbol,% change
2026-09-08 15:29,INDIAVIX,5.1498
2026-09-08 15:29,NIFTYINDDEFENCE,2.9854
2026-09-08 15:29,CNXPHARMA,1.5209
2026-09-08 15:29,NIFTYHEALTHCARE,1.3198
2026-09-08 15:29,NIFTYMICROCAP250,0.9416
2026-09-08 15:29,NIFTYSMALLCAP50,0.3852
2026-09-08 15:29,NIFTYSMALLCAP250,0.2478
2026-09-08 15:29,NIFTYAUTO,0.2326
2026-09-08 15:29,NIFTYCHEMICALS,0.2169
2026-09-08 15:29,CNXSMALLCAP,0.1906
2026-09-08 15:29,CNXENERGY,0.0674
2026-09-08 15:29,NIFTYMIDSMALLCAP400,-0.1357
2026-09-08 15:29,NIFTYMIDCAP50,-0.1917
2026-09-08 15:29,NIFTYCONSUMPTION,-0.2445
2026-09-08 15:29,NIFTYMIDSELECT,-0.2793
2026-09-08 15:29,NIFTYFMCG,-0.3114
2026-09-08 15:29,NIFTYMIDCAP150,-0.3384
2026-09-08 15:29,NIFTYTOTALMKT,-0.5643
2026-09-08 15:29,CNXINFRA,-0.5844
2026-09-08 15:29,NIFTYLARGEMID250,-0.6037
2026-09-08 15:29,NIFTY500,-0.6367
2026-09-08 15:29,NIFTY200,-0.7506
2026-09-08 15:29,NIFTY100,-0.8762
2026-09-08 15:29,BANKNIFTY,-1.0321
2026-09-08 15:29,NIFTY,-1.0988
2026-09-08 15:29,NIFTYPSUBANK,-1.2038
2026-09-08 15:29,NIFTYMETAL,-1.2127
2026-09-08 15:29,NIFTYPVTBANK,-1.2572
2026-09-08 15:29,NIFTYOILANDGAS,-1.2773
2026-09-08 15:29,NIFTYCOMMODITIES,-1.302
2026-09-08 15:29,NIFTYFINSERVICE,-1.3644
2026-09-08 15:29,NIFTYMEDIA,-1.5874
2026-09-08 15:29,CNXREALTY,-1.7458
2026-09-08 15:29,CNXIT,-2.6442
2026-09-08 15:29,NIFTYHOUSING,1.7e+308
