Date,Symbol,Ltp,Vwap
2026-09-09 15:29,BOSCHLTD,49100,48749.92
2026-09-09 15:29,SOLARINDS,22355,22338.59
2026-09-09 15:29,CRAFTSMAN,11806,11650.86
2026-09-09 15:29,BAJAJHLDNG,11078,11076.16
2026-09-09 15:29,DIVISLAB,9488,9486.22
2026-09-09 15:29,APOLLOHOSP,8967,8936.45
2026-09-09 15:29,TITAN,5005,4995.55
2026-09-09 15:29,FLUOROCHEM,4754.7998,4719.67
2026-09-09 15:29,TVSMOTOR,4151.1001,4135.75
2026-09-09 15:29,SANSERA,4135.8999,4077.55
2026-09-09 15:29,GRASIM,3300,3294.97
2026-09-09 15:29,ACUTAAS,3241.8,3228.76
2026-09-09 15:29,ADANIENT,3104.7,3083.62
2026-09-09 15:29,GLAND,3026.2,2998.62
2026-09-09 15:29,GLENMARK,2435,2429.98
2026-09-09 15:29,WOCKPHARMA,2248.8,2242.99
2026-09-09 15:29,IPCALAB,1963.6,1963.5
2026-09-09 15:29,LAURUSLABS,1937,1936.2
2026-09-09 15:29,EMCURE,1914.4,1910.91
2026-09-09 15:29,COFORGE,1845,1841.93
2026-09-09 15:29,CHOLAFIN,1829,1828.2
2026-09-09 15:29,ADANIPORTS,1775,1756.54
2026-09-09 15:29,TATACOMM,1772.8,1768.86
2026-09-09 15:29,PAYTM,1751.5,1736.73
2026-09-09 15:29,AUROPHARMA,1698.9,1683.13
2026-09-09 15:29,MEDANTA,1480.4,1474.65
2026-09-09 15:29,AEGISLOG,1343.4,1334.26
2026-09-09 15:29,JSWSTEEL,1310,1304.41
2026-09-09 15:29,NAUKRI,1267,1263.02
2026-09-09 15:29,HATSUN,1199.1,1183.77
2026-09-09 15:29,KPRMILL,1140.3,1139.23
2026-09-09 15:29,ABSLAMC,1066.5,1041.76
2026-09-09 15:29,HINDALCO,1026.9,1024.3
2026-09-09 15:29,INDUSINDBK,1004,1003.18
2026-09-09 15:29,INDOMIM,984.55,969.84
2026-09-09 15:29,CGPOWER,926.95,922.86
2026-09-09 15:29,STLTECH,865.9,854.58
2026-09-09 15:29,SONACOMS,799.5,798.8
2026-09-09 15:29,INDHOTEL,722.75,720.39
2026-09-09 15:29,LENSKART,693.9,691.58
2026-09-09 15:29,HINDZINC,605.4,603.3
2026-09-09 15:29,BHEL,433.7,430.92
2026-09-09 15:29,ABCAPITAL,400,398.98
2026-09-09 15:29,TATACAP,363,362.89
2026-09-09 15:29,FEDERALBNK,345,343.96
2026-09-09 15:29,NYKAA,343,341.01
2026-09-09 15:29,JSWINFRA,341.4,337.86
2026-09-09 15:29,ETERNAL,320.6,319.55
2026-09-09 15:29,AEGISVOPAK,297.65,295.63
2026-09-09 15:29,CUPID,279.7,273.57
2026-09-09 15:29,CGCL,272.4,270.89
2026-09-09 15:29,MEESHO,216.7,215.14
2026-09-09 15:29,ADANIPOWER,214.9,213.16
2026-09-09 15:29,NIACL,205.51,205.42
2026-09-09 15:29,MRPL,184.46,182.38
2026-09-09 15:29,UNIONBANK,183.89,182.59
2026-09-09 15:29,GAIL,174.9,174.62
2026-09-09 15:29,URBANCO,171.59,169
2026-09-09 15:29,NMDC,85.8,85.31
2026-09-09 15:29,MAHABANK,84.56,84.19
