Date,Symbol,Ltp,Vwap
2026-09-09 15:29,DYNAMATECH,11625,11572.53
2026-09-09 15:29,SMLMAH,6570,6540.98
2026-09-09 15:29,LUMAXIND,6214,6209.82
2026-09-09 15:29,KINGFA,6157.5,6094.22
2026-09-09 15:29,SHRIPISTON,4500.7998,4489.96
2026-09-09 15:29,PRIVISCL,3537.8999,3520.37
2026-09-09 15:29,SHAILY,3455,3453.43
2026-09-09 15:29,RATNAMANI,2859.2,2816.97
2026-09-09 15:29,AZAD,2805,2802.96
2026-09-09 15:29,ETHOSLTD,2744,2726.3
2026-09-09 15:29,SWANDEF,2584.5,2522.52
2026-09-09 15:29,WHEELS,2400.6001,2364.99
2026-09-09 15:29,AVALON,2293.6001,2293.56
2026-09-09 15:29,GALAXYSURF,2288.8999,2275.2
2026-09-09 15:29,LUMAXTECH,1990.6,1975.54
2026-09-09 15:29,ECLERX,1922.6,1919.43
2026-09-09 15:29,CARERATING,1724.6,1721.12
2026-09-09 15:29,TBOTEK,1721.1,1713.63
2026-09-09 15:29,CHENNPETRO,1604.4,1566.19
2026-09-09 15:29,UNIMECH,1586.4,1584.02
2026-09-09 15:29,SENORES,1488.6,1484.32
2026-09-09 15:29,CONCORDBIO,1464.5,1462.82
2026-09-09 15:29,KPIL,1408.5,1399.56
2026-09-09 15:29,GESHIP,1393.4,1391.71
2026-09-09 15:29,FINCABLES,1353.4,1352.59
2026-09-09 15:29,INNOVACAP,1188.7,1184.52
2026-09-09 15:29,SBCL,1136.5,1134.21
2026-09-09 15:29,YATHARTH,989.7,985.98
2026-09-09 15:29,SUPRIYA,911.4,910.7
2026-09-09 15:29,BLUESTONE,874.4,864.57
2026-09-09 15:29,GRAPHITE,844.65,843.4
2026-09-09 15:29,SKYGOLD,832.2,828.04
2026-09-09 15:29,APLLTD,817.4,813.04
2026-09-09 15:29,GARFIBRES,814.6,814.24
2026-09-09 15:29,RAYMOND,808.45,799.7
2026-09-09 15:29,AGI,796.15,784.92
2026-09-09 15:29,PRICOLLTD,745.8,744.82
2026-09-09 15:29,RKFORGE,720.7,711.21
2026-09-09 15:29,SHREEJISPG,713.1,703.65
2026-09-09 15:29,GUJALKALI,712.55,711.67
2026-09-09 15:29,HCG,712.55,707.4
2026-09-09 15:29,BALRAMCHIN,700.05,696.84
2026-09-09 15:29,JUSTDIAL,678.45,678.32
2026-09-09 15:29,MAHSEAMLES,676.2,674.38
2026-09-09 15:29,EBGNG,675.8,675.6
2026-09-09 15:29,ASKAUTOLTD,627.25,624.91
2026-09-09 15:29,TIMEX,623.35,622.2
2026-09-09 15:29,METROPOLIS,602.1,596.23
2026-09-09 15:29,INDGN,586.35,585.43
2026-09-09 15:29,AMAGI,583.75,574.63
2026-09-09 15:29,GNFC,574.6,565.86
2026-09-09 15:29,WESTLIFE,561.5,560.67
2026-09-09 15:29,POWERICA,547.1,543.22
2026-09-09 15:29,MAXESTATES,546.1,540.96
2026-09-09 15:29,BALUFORGE,541.55,541.53
2026-09-09 15:29,FIVESTAR,533.05,529.17
2026-09-09 15:29,BAJAJCON,521.45,516.32
2026-09-09 15:29,USHAMART,498.65,497.66
2026-09-09 15:29,PRECWIRE,474.35,473.73
2026-09-09 15:29,HONASA,471.05,470.53
2026-09-09 15:29,KIRLFER,467.25,466.53
2026-09-09 15:29,UTLSOLAR,451.5,445.65
2026-09-09 15:29,SETL,424.7,420.35
2026-09-09 15:29,STYL,388.75,385.13
2026-09-09 15:29,CEIGALL,376.4,374.14
2026-09-09 15:29,NAZARA,374.4,373.29
2026-09-09 15:29,MAHLIFE,370.1,368.92
2026-09-09 15:29,QUESS,355,349.88
2026-09-09 15:29,ARTEMISMED,354.3,349.89
2026-09-09 15:29,JINDALSAW,311.7,310.51
2026-09-09 15:29,NORTHARC,308.35,306.89
2026-09-09 15:29,RELIGARE,256.65,254.33
2026-09-09 15:29,SHADOWFAX,251.2,249.8
2026-09-09 15:29,BECTORFOOD,242.05,237.99
2026-09-09 15:29,JAMNAAUTO,128.93,128.61
2026-09-09 15:29,MOREPENLAB,116.54,116.14
2026-09-09 15:29,RBA,100.5,99.65
2026-09-09 15:29,PAISALO,79.92,79.45
2026-09-09 15:29,SAGILITY,45.2,45.13
2026-09-09 15:29,KWIL,40.84,40.78
2026-09-09 15:29,PCJEWELLER,13.87,13.81
