Date,Sector,4w ema,20w ema,30w ema,40w ema,52w ema
2026-09-09 15:29,aerospace & defence,64.7059,67.6471,70.5882,70.5882,73.5294
2026-09-09 15:29,energy,61.5385,64.1026,61.5385,61.5385,61.5385
2026-09-09 15:29,healthcare,59.2593,71.6049,72.2222,71.6049,72.2222
2026-09-09 15:29,metals & mining,53.4884,58.1395,57.3643,55.814,59.6899
2026-09-09 15:29,chemicals,48.4277,57.8616,56.6038,54.717,52.2013
2026-09-09 15:29,industrials,47.3913,59.5652,60.8696,59.5652,58.6957
2026-09-09 15:29,telecom-service,45.4545,36.3636,27.2727,27.2727,27.2727
2026-09-09 15:29,plastic products,45.1613,38.7097,35.4839,35.4839,32.2581
2026-09-09 15:29,building materials,44.7917,40.625,36.4583,34.375,33.3333
2026-09-09 15:29,textiles,40.3101,41.8605,41.0853,42.6357,40.3101
2026-09-09 15:29,telecom,40,50,50,50,50
2026-09-09 15:29,co-working,40,60,60,60,60
2026-09-09 15:29,transportation,38.4615,50,48.0769,53.8462,48.0769
2026-09-09 15:29,consumer discretionary,37.013,49.3506,50,50,50
2026-09-09 15:29,auto,35.9223,53.3981,54.3689,56.3107,58.2524
2026-09-09 15:29,n/a,35.3774,35.3774,36.3208,37.7358,37.7358
2026-09-09 15:29,fmcg,33.1169,49.3506,48.0519,48.0519,44.8052
2026-09-09 15:29,miscellaneous,32.5301,38.5542,39.759,39.759,39.759
2026-09-09 15:29,power & utilities,31.25,15.625,21.875,21.875,28.125
2026-09-09 15:29,services,29.661,35.5932,38.1356,34.7458,34.7458
2026-09-09 15:29,realty,29.4118,33.1551,30.4813,30.4813,28.877
2026-09-09 15:29,i.t,28.0899,39.8876,37.0787,35.3933,34.8315
2026-09-09 15:29,financials,27.5229,45.4128,46.789,46.789,45.8716
2026-09-09 15:29,bank,26.8293,48.7805,60.9756,63.4146,65.8537
2026-09-09 15:29,indices,24.7642,50.4717,58.2547,60.8491,66.5094
2026-09-09 15:29,media,18.75,31.25,31.25,25,25
