Date,Symbol,Market cap,Category,Sector,Industry,% change,Volume
2026-09-10 15:29,IDEA,168148.3903,largecap,telecom-service,telecommunications - service provider,-3.9949,888431120
2026-09-10 15:29,OIL,81159.5957,largecap,energy,oil drilling / allied services,0.2706,4397946
2026-09-10 15:29,WOCKPHARMA,36541.239,largecap,healthcare,pharmaceuticals - indian - bulk drugs & formln,-1.254,693525
2026-09-10 15:29,EMCURE,36312.3673,largecap,healthcare,pharmaceuticals - indian - bulk drugs & formln,2.5282,248776
2026-09-10 15:29,SYRMA,31284.8179,largecap,consumer discretionary,electronics - components,-1.4546,738911
2026-09-10 15:29,GRANULES,21925.0716,largecap,healthcare,pharmaceuticals - indian - bulk drugs & formln,1.6331,1597031
2026-09-10 15:29,RATNAMANI,20040.7046,largecap,industrials,steel - medium / small,-1.2661,93487
2026-09-10 15:29,GRAPHITE,16502.3995,midcap,industrials,electrodes - graphites,-2.3501,11528239
2026-09-10 15:29,ARVIND,15528.0792,midcap,textiles,textiles - cotton/blended,-0.1752,423712
2026-09-10 15:29,SPLPETRO,15298.1034,midcap,energy,petrochemicals,1.7946,413527
2026-09-10 15:29,JSWDULUX,14478.1766,midcap,building materials,paints / varnishes,0.0157,6736
2026-09-10 15:29,WABAG,13287.1792,midcap,realty,engineering - turnkey services,3.7965,1260627
2026-09-10 15:29,PCBL,13179.0299,midcap,chemicals,chemicals,-0.0448,3387384
2026-09-10 15:29,STAR,11021.0914,midcap,healthcare,pharmaceuticals - indian - bulk drugs & formln,1.7814,304120
2026-09-10 15:29,MIDHANI,8688.8292,midcap,aerospace & defence,steel - medium / small,-0.097,3378828
2026-09-10 15:29,BECTORFOOD,7430.7074,midcap,fmcg,food - processing - indian,1.4005,1400466
2026-09-10 15:29,NEPHROPLUS,7359.4899,midcap,healthcare,healthcare,1.8815,204920
2026-09-10 15:29,SKIPPER,7253.7591,midcap,industrials,engineering,-1.8436,1056778
2026-09-10 15:29,AJAXENGG,6613.2851,midcap,industrials,engineering,1.9808,58801
2026-09-10 15:29,CEIGALL,6557.071,midcap,realty,construction,0.7173,1175462
2026-09-10 15:29,IONEXCHANG,6415.93,midcap,realty,engineering - turnkey services,-0.4572,480368
2026-09-10 15:29,CENTUM,6273.3198,midcap,aerospace & defence,electronics - components,-0.9434,21690
2026-09-10 15:29,NEOGEN,6175.1151,midcap,chemicals,chemicals,5.9285,410092
2026-09-10 15:29,FEDFINA,5883.776,midcap,financials,finance & investments,1.2361,454377
2026-09-10 15:29,NOVARTIND,5398.3959,midcap,healthcare,pharmaceuticals - multinational,11.0593,2292871
2026-09-10 15:29,SHARDAMOTR,5220.0827,midcap,auto,auto ancillaries,4.0636,220362
2026-09-10 15:29,NRBBEARING,4696.3846,smallcap,industrials,bearings,6.4802,1397242
2026-09-10 15:29,RPGLIFE,4650.771,smallcap,healthcare,pharmaceuticals - indian - bulk drugs & formln,-1.042,11654
2026-09-10 15:29,SANATHAN,4054.349,smallcap,textiles,textiles - cotton/blended,0.5725,210461
2026-09-10 15:29,VENUSPIPES,3998.4164,smallcap,metals & mining,steel - medium / small,0.9844,171606
2026-09-10 15:29,SMSPHARMA,3814.4472,smallcap,healthcare,pharmaceuticals - indian - bulk drugs,2.492,561774
