Date,Symbol,Sector,Market cap,1 week %,Vol > yr avg
2026-09-10 15:29,NOVARTIND,healthcare,midcap,47.4586,51.3106
2026-09-10 15:29,INDNIPPON,auto,smallcap,18.2007,40.6688
2026-09-10 15:29,SREEL,consumer discretionary,smallcap,39.4622,28.9541
2026-09-10 15:29,WHEELS,auto,midcap,34.0947,14.5454
2026-09-10 15:29,BIRLACABLE,industrials,smallcap,-0.5046,10.7239
2026-09-10 15:29,MANINDS,metals & mining,midcap,11.147,10.2806
2026-09-10 15:29,LOTUSDEV,realty,midcap,7.5705,8.6378
2026-09-10 15:29,INDORAMA,textiles,smallcap,13.665,8.166
2026-09-10 15:29,KABRAEXTRU,industrials,smallcap,22.1704,7.0929
2026-09-10 15:29,IBULLSLTD,miscellaneous,midcap,-2.9996,5.528
2026-09-10 15:29,GAYAPROJ,realty,smallcap,13.9706,5.526
2026-09-10 15:29,ANTELOPUS,energy,smallcap,17.4424,5.516
2026-09-10 15:29,RAYMOND,transportation,midcap,15.2528,4.8142
2026-09-10 15:29,BODALCHEM,chemicals,smallcap,6.7408,4.7338
2026-09-10 15:29,ZIMLAB,healthcare,smallcap,8.7092,4.5045
2026-09-10 15:29,WELCORP,industrials,largecap,7.1914,4.4188
2026-09-10 15:29,FINCABLES,industrials,largecap,16.2432,4.1365
2026-09-10 15:29,INOXINDIA,industrials,midcap,2.1354,3.9301
2026-09-10 15:29,KENNAMET,industrials,midcap,7.239,3.7361
2026-09-10 15:29,VALIANTLAB,healthcare,smallcap,17.7692,3.5932
2026-09-10 15:29,IKIO,consumer discretionary,smallcap,9.1316,3.5121
2026-09-10 15:29,RML,auto,smallcap,8.7198,3.5095
2026-09-10 15:29,REDINGTON,services,largecap,5.575,3.4312
2026-09-10 15:29,KANORICHEM,chemicals,smallcap,12.5868,3.2898
2026-09-10 15:29,AYMSYNTEX,textiles,smallcap,-5.6646,3.261
2026-09-10 15:29,JINDWORLD,textiles,midcap,-3.2516,3.1693
2026-09-10 15:29,AEROENTER,metals & mining,smallcap,-4.7952,3.1369
2026-09-10 15:29,STLNETWORK,telecom-service,smallcap,20.7482,2.9051
2026-09-10 15:29,WABAG,realty,midcap,10.2977,2.8276
2026-09-10 15:29,EBGNG,services,midcap,12.7568,2.7687
2026-09-10 15:29,IRISDOREME,consumer discretionary,smallcap,-2.0289,2.5863
2026-09-10 15:29,FCL,chemicals,midcap,13.9779,2.3656
2026-09-10 15:29,DIVGIITTS,auto,smallcap,-5.2193,2.3515
2026-09-10 15:29,RPEL,building materials,midcap,-3.5248,2.1293
2026-09-10 15:29,SIGACHI,healthcare,smallcap,8.1174,2.0942
2026-09-10 15:29,SAILIFE,healthcare,largecap,0.4292,2.0859
2026-09-10 15:29,ICIL,textiles,midcap,-2.301,2.0492
2026-09-10 15:29,ATHERENERG,auto,largecap,4.6907,2.0309
2026-09-10 15:29,OAL,chemicals,smallcap,0.9233,2.0171
2026-09-10 15:29,PAISALO,financials,midcap,12.0783,1.971
2026-09-10 15:29,VENUSPIPES,metals & mining,smallcap,19.5034,1.9685
2026-09-10 15:29,KAPSTON,miscellaneous,smallcap,0.1541,1.9467
2026-09-10 15:29,CHENNPETRO,energy,largecap,11.9956,1.6061
2026-09-10 15:29,COMSYN,industrials,smallcap,-0.7634,1.4867
2026-09-10 15:29,NRL,services,smallcap,6.2401,1.4801
2026-09-10 15:29,RATNAVEER,metals & mining,smallcap,1.9196,1.4779
2026-09-10 15:29,MODISONLTD,industrials,smallcap,9.5436,1.4524
2026-09-10 15:29,RRKABEL,industrials,largecap,-0.6968,1.2817
2026-09-10 15:29,CONFIPET,miscellaneous,smallcap,6.4985,1.2775
2026-09-10 15:29,SALSTEEL,metals & mining,smallcap,-5.8252,1.2665
2026-09-10 15:29,TBZ,consumer discretionary,smallcap,4.2425,1.2542
2026-09-10 15:29,MMP,metals & mining,smallcap,10.8004,1.1854
2026-09-10 15:29,VINDHYATEL,realty,smallcap,3.1324,1.1412
2026-09-10 15:29,MOREPENLAB,healthcare,midcap,1.354,1.1373
2026-09-10 15:29,UNIMECH,aerospace & defence,midcap,4.3522,1.1105
2026-09-10 15:29,SHREEJISPG,transportation,midcap,4.8445,1.0983
2026-09-10 15:29,MANALIPETC,energy,smallcap,-0.5648,1.0943
2026-09-10 15:29,RISHABH,industrials,smallcap,9.6283,1.0768
2026-09-10 15:29,SSWL,auto,midcap,3.2472,1.0761
2026-09-10 15:29,PVP,realty,smallcap,-2.7083,1.0741
2026-09-10 15:29,DIFFNKG,industrials,smallcap,-5.338,1.0714
2026-09-10 15:29,RAMRAT,metals & mining,smallcap,-4.2629,1.0203
2026-09-10 15:29,UNIPARTS,industrials,smallcap,2.2653,0.9989
2026-09-10 15:29,JTLIND,metals & mining,smallcap,-2.2581,0.9807
2026-09-10 15:29,IOLCP,healthcare,midcap,5.7414,0.9241
2026-09-10 15:29,GCSL,financials,smallcap,3.3017,0.8857
2026-09-10 15:29,SOTL,energy,smallcap,-5.8927,0.8065
2026-09-10 15:29,SAKAR,healthcare,smallcap,10.1982,0.7912
2026-09-10 15:29,SHILPAMED,healthcare,midcap,-2.5152,0.7636
2026-09-10 15:29,HAPPYFORGE,industrials,largecap,-0.2278,0.7474
2026-09-10 15:29,MANAKSTEEL,metals & mining,smallcap,7.1855,0.7458
2026-09-10 15:29,AVALON,consumer discretionary,midcap,1.384,0.7355
2026-09-10 15:29,BAFNAPH,healthcare,smallcap,3.9716,0.7294
2026-09-10 15:29,MARINE,industrials,midcap,-5.3916,0.7206
2026-09-10 15:29,SEAMECLTD,miscellaneous,smallcap,-1.1541,0.7159
2026-09-10 15:29,GLOBAL,services,smallcap,2.582,0.7036
2026-09-10 15:29,CYIENTDLM,aerospace & defence,midcap,7.7426,0.6957
2026-09-10 15:29,PREMIERPOL,plastic products,smallcap,-7.7286,0.6951
2026-09-10 15:29,KOPRAN,healthcare,smallcap,1.4105,0.6881
2026-09-10 15:29,NPST,i.t,smallcap,-0.0175,0.6782
2026-09-10 15:29,SMLMAH,auto,midcap,-0.3255,0.6744
2026-09-10 15:29,MARKSANS,healthcare,midcap,1.1171,0.6673
2026-09-10 15:29,UNITEDPOLY,textiles,smallcap,3.3845,0.6653
2026-09-10 15:29,DEEPINDS,energy,midcap,-0.4641,0.6439
2026-09-10 15:29,AVADHSUGAR,fmcg,smallcap,-1.8592,0.6331
2026-09-10 15:29,PARACABLES,industrials,smallcap,0.2748,0.6253
2026-09-10 15:29,SETL,industrials,midcap,9.0353,0.6126
2026-09-10 15:29,EXICOM,industrials,smallcap,-0.6297,0.5726
2026-09-10 15:29,WOCKPHARMA,healthcare,largecap,6.3149,0.551
2026-09-10 15:29,UFLEX,industrials,smallcap,-0.444,0.5502
2026-09-10 15:29,GHCLTEXTIL,textiles,smallcap,-3.0573,0.5363
2026-09-10 15:29,ASIANENE,energy,smallcap,3.1887,0.5242
2026-09-10 15:29,LAURUSLABS,healthcare,largecap,5.7065,0.5037
2026-09-10 15:29,MACPOWER,industrials,smallcap,-1.8111,0.4814
2026-09-10 15:29,SYRMA,consumer discretionary,largecap,9.7097,0.4689
2026-09-10 15:29,LOKESHMACH,industrials,smallcap,-4.7586,0.4554
2026-09-10 15:29,ACMESOLAR,realty,largecap,-4.9641,0.4498
2026-09-10 15:29,PRECWIRE,metals & mining,midcap,-1.7238,0.4173
2026-09-10 15:29,SBCL,metals & mining,midcap,-0.8117,0.4009
2026-09-10 15:29,CENTUM,aerospace & defence,midcap,11.7617,0.3369
2026-09-10 15:29,THEMISMED,healthcare,smallcap,9.6745,0.2987
2026-09-10 15:29,SWANDEF,transportation,midcap,5.6583,0.1665
2026-09-10 15:29,BHAGERIA,chemicals,smallcap,-0.5088,0.1652
2026-09-10 15:29,MAHASTEEL,metals & mining,smallcap,3.8285,0.1253
