Date,Breakouts,Breakdowns,Up close %,Down close %,New 52-wk high,New 52-wk low,Net nh-nl,15% 52wh,15% 52wl,Net 15% h-l,30% 52wh,30% 52 wl,Net 30% h-l
2026-09-11,10.9941,14.5324,40.2299,24.058,1.7692,4.0859,-2.3168,26.1163,22.957,3.1592,52.9486,41.8703,11.0783
2026-09-10,15.0506,10.2024,40.3361,35.124,2.656,2.7825,-0.1265,26.9393,22.0911,4.8482,53.6256,41.6948,11.9309
2026-09-09,13.8105,10.4421,44.5122,37.9032,3.2842,2.5263,0.7579,27.3684,22.0211,5.3474,53.4737,41.4737,12
2026-09-08,15.061,9.0029,44.6927,35.0467,3.7021,1.4724,2.2297,28.0606,22.0867,5.9739,53.8494,40.6395,13.2099
2026-09-07,17.8226,9.6679,40.3302,40.4348,4.1614,1.7654,2.396,28.4573,20.9752,7.4821,54.3506,40.8155,13.5351
2026-09-04,18.5076,7.1669,43.9636,31.7647,3.5835,1.054,2.5295,28.0776,20.8263,7.2513,54.6796,40.3879,14.2917
2026-09-03,19.6963,5.1455,39.1863,34.4262,3.3741,1.2653,2.1088,27.8364,21.4256,6.4108,54.4496,40.7423,13.7073
2026-09-02,12.0355,10.473,41.4035,21.371,2.3226,2.6182,-0.2956,26.1824,22.2128,3.9696,53.9696,41.2162,12.7534
2026-09-01,13.2068,13.5021,32.5879,35,3.0802,1.9831,1.097,26.7932,21.6034,5.1899,54.3038,40.5485,13.7553
2026-08-31,14.9008,14.5631,39.9433,36.8116,3.7569,2.7438,1.0131,27.1845,21.0637,6.1207,54.3689,39.7214,14.6475
2026-08-28,17.2166,6.1337,43.9803,29.6552,3.2995,1.2267,2.0728,28.3418,19.7547,8.5871,55.6684,39.2555,16.4129
2026-08-27,11.1299,10.0296,34.2205,39.6624,2.4968,1.1849,1.3119,27.2112,20.1862,7.025,55.0571,39.526,15.5311
2026-08-26,17.1525,6.0414,43.1034,27.972,2.7883,0.9294,1.8589,27.7144,19.0537,8.6608,55.6823,38.91,16.7723
2026-08-25,12.4418,9.5218,34.0136,33.3333,2.3699,1.4812,0.8887,27.6344,19.2975,8.3369,55.3534,38.9759,16.3775
2026-08-24,18.8847,9.2522,38.255,32.8767,3.3798,1.2674,2.1124,27.4187,19.2649,8.1538,55.2598,39.5437,15.7161
2026-08-21,16.1222,6.7883,41.0526,26.875,2.6729,0.8061,1.8668,27.6623,19.1769,8.4854,55.5367,39.4569,16.0798
2026-08-20,18.4557,6.6186,39.5402,34.6154,3.2244,1.2304,1.9941,27.238,19.2618,7.9762,54.773,39.3297,15.4434
2026-08-19,14.0678,9.9153,35.5422,36.7521,2.6695,1.8644,0.8051,26.6102,19.322,7.2881,54.3644,40.6356,13.7288
2026-08-18,15.678,8.7288,41.0811,33.9806,3.5169,1.3559,2.161,26.5678,19.3644,7.2034,54.4492,40.1695,14.2797
2026-08-17,17.5349,14.0195,43.7198,37.7644,2.9225,1.8636,1.0589,26.3448,18.8056,7.5392,54.8073,39.6442,15.1631
2026-08-14,15.7962,12.3142,32.5269,38.9655,2.7601,1.2739,1.4862,25.6051,18.4713,7.1338,54.9045,39.0234,15.8811
2026-08-13,18.7182,11.7148,39.6825,38.0435,3.0136,1.1885,1.8251,26.2733,17.8268,8.4465,55.2632,38.2852,16.9779
2026-08-12,14.6684,14.2432,39.4203,39.1045,2.8061,1.3605,1.4456,25.9779,17.432,8.5459,54.5918,38.4354,16.1565
2026-08-11,15.4271,10.7947,42.1488,42.126,3.5274,1.2325,2.2949,26.7318,16.8296,9.9023,54.9511,37.9941,16.9571
2026-08-10,18.1664,13.1579,42.0561,42.2581,4.4143,1.0187,3.3956,26.4007,16.129,10.2716,55.0509,37.8608,17.1902
2026-08-07,14.9362,10.8511,38.1766,42.7451,3.1489,0.9787,2.1702,26.3404,15.5319,10.8085,54.8936,38.1277,16.766
2026-08-06,16.2692,9.7956,36.6492,35.6522,3.9182,0.7666,3.1516,26.2777,14.8637,11.414,55.4514,37.9472,17.5043
2026-08-05,17.8723,7.617,43.0952,30.7263,3.8298,0.6383,3.1915,26.383,15.3617,11.0213,54.8511,37.4894,17.3617
2026-08-04,15.0405,8.8198,44.4759,33.8164,3.4512,0.4261,3.0251,25.6498,15.2535,10.3963,54.2821,38.4746,15.8074
2026-08-03,28.3893,6.2473,45.2096,34.0136,3.6974,0.425,3.2724,25.4569,15.4696,9.9873,54.1861,38.504,15.6821
2026-07-31,19.9402,7.3442,39.4004,33.1395,2.4338,0.5978,1.836,23.228,17.1221,6.1059,52.3484,41.2468,11.1016
2026-07-30,9.9103,10.9782,28.8793,39.6887,2.3067,0.7262,1.5805,21.9564,17.5993,4.3571,51.8582,41.9052,9.953
2026-07-29,17.3151,7.1398,42.4691,32.9341,2.0522,0.6841,1.3681,23.044,16.5455,6.4985,52.159,41.1287,11.0304
2026-07-28,10.7311,13.4673,27.49,47.3016,2.0522,0.7696,1.2826,22.1035,18.3412,3.7623,51.3467,41.9838,9.363
2026-07-27,23.9557,7.8431,35.4093,34.2391,2.6002,0.7673,1.8329,23.1884,17.0077,6.1807,51.7903,41.006,10.7843
2026-07-24,10.9876,10.3891,39.2996,22.6337,1.2826,1.6246,-0.342,21.8897,18.0847,3.805,50.5344,42.454,8.0804
2026-07-23,13.9246,9.7258,26.7692,37.0044,1.3282,1.114,0.2142,21.8081,18.2948,3.5133,50.3428,42.8449,7.4979
2026-07-22,10.0556,13.1365,34.0426,40.3909,1.9683,1.0697,0.8986,22.5503,17.6294,4.9208,50.7488,41.4634,9.2854
