Date,Symbol,Changeinpercentage
2026-09-11 15:29,VHLTD-RE1,38.7755
2026-09-11 15:29,LADDERUP,19.9903
2026-09-11 15:29,GRAVISSHO,19.9775
2026-09-11 15:29,STLSTRINF,19.9774
2026-09-11 15:29,ASHOKAMET,19.9442
2026-09-11 15:29,AWFIS,17.468
2026-09-11 15:29,RAYMOND,17.4445
2026-09-11 15:29,PINELABS,16.7465
2026-09-11 15:29,VGL,15.6456
2026-09-11 15:29,FILATEX,14.6361
2026-09-11 15:29,KSHITIJ-RE,14.2857
2026-09-11 15:29,AMDIND,14.2577
2026-09-11 15:29,GENESYS-RE,13.917
2026-09-11 15:29,DEEP,12.4451
2026-09-11 15:29,SHERVANI,12.1704
2026-09-11 15:29,AHCL,11.5735
2026-09-11 15:29,TRACXN,11.4995
2026-09-11 15:29,SMSPHARMA,11.0193
2026-09-11 15:29,DIGJAMLMTD,10.6404
2026-09-11 15:29,RACLGEAR,10.6095
2026-09-11 15:29,DUCON-RE1,10.2564
2026-09-11 15:29,ESDS,9.9987
2026-09-11 15:29,HLEGLAS,9.9973
2026-09-11 15:29,MONEYBOXX,9.9865
2026-09-11 15:29,ANMOL,9.9739
2026-09-11 15:29,DAVANGERE,9.9476
2026-09-11 15:29,QUADFUTURE,9.7981
2026-09-11 15:29,CFEL,9.7507
2026-09-11 15:29,PRIMO,9.2627
2026-09-11 15:29,NAGREEKCAP,8.8763
2026-09-11 15:29,UGARSUGAR,8.774
2026-09-11 15:29,NIBL,8.6658
2026-09-11 15:29,FINKURVE,8.6318
2026-09-11 15:29,INCREDIBLE,8.3925
2026-09-11 15:29,ELANTAS,8.3302
2026-09-11 15:29,MONQ50,8.2345
2026-09-11 15:29,MOBIKWIK,7.7152
2026-09-11 15:29,BBOX,7.5116
2026-09-11 15:29,PWL,7.3937
2026-09-11 15:29,BLACKBUCK,7.2111
2026-09-11 15:29,KIRLOSIND,7.0314
2026-09-11 15:29,AUSTENG,6.494
2026-09-11 15:29,TEXMOPIPES,6.4493
2026-09-11 15:29,AIIL,6.2561
2026-09-11 15:29,RRECL,6.1905
2026-09-11 15:29,SUMEDHA,6.1539
2026-09-11 15:29,TANAA,6.1431
2026-09-11 15:29,ORIENTTECH,6.0673
2026-09-11 15:29,CCAVENUE,6.0547
2026-09-11 15:29,SOLARA,5.9244
2026-09-11 15:29,SIKA,5.9228
2026-09-11 15:29,RPEL,5.8331
2026-09-11 15:29,YASHO,5.7449
2026-09-11 15:29,INNOVANA,5.7226
2026-09-11 15:29,CRESTO,5.6215
2026-09-11 15:29,PTCIL,5.5618
2026-09-11 15:29,TDPOWERSYS,5.5261
2026-09-11 15:29,NRAIL,5.4762
2026-09-11 15:29,OSWALSEEDS,5.3559
2026-09-11 15:29,YESBANK,5.2915
2026-09-11 15:29,VEDAVAAG,5.2679
2026-09-11 15:29,SUBEXLTD,5.2632
2026-09-11 15:29,WSI,5.2524
2026-09-11 15:29,MUKKA,5.2339
2026-09-11 15:29,ALLTIME,5.2293
2026-09-11 15:29,KANPRPLA,5.1252
2026-09-11 15:29,MEDICAMEQ,5.0569
2026-09-11 15:29,UEL,5
2026-09-11 15:29,ARCL,5
2026-09-11 15:29,MILKYMIST,4.9995
2026-09-11 15:29,SPECTRUM,4.999
2026-09-11 15:29,QMSMEDI,4.998
2026-09-11 15:29,TBZ,4.9975
2026-09-11 15:29,SIGMAADV,4.9946
2026-09-11 15:29,VALIANTORG,4.994
2026-09-11 15:29,DIACABS,4.9929
2026-09-11 15:29,HTEL,4.992
2026-09-11 15:29,STLNETWORK,4.9914
2026-09-11 15:29,SETL,4.9899
2026-09-11 15:29,STLTECH,4.9898
2026-09-11 15:29,RAJTV,4.9872
2026-09-11 15:29,CALSOFT,4.9865
2026-09-11 15:29,SHEKHAWATI,4.9865
2026-09-11 15:29,CHEMBONDCH,4.985
2026-09-11 15:29,JHS,4.9813
2026-09-11 15:29,IBULLSLTD,4.9799
2026-09-11 15:29,KALYANIFRG,4.9784
2026-09-11 15:29,UPHOT,4.972
2026-09-11 15:29,GFSTEELS,4.9599
2026-09-11 15:29,GAYAPROJ,4.9597
2026-09-11 15:29,MMP,4.9464
2026-09-11 15:29,TAKE,4.9464
2026-09-11 15:29,BANKA,4.9403
2026-09-11 15:29,CURAA,4.9157
2026-09-11 15:29,SABEVENTS,4.9051
2026-09-11 15:29,LAKPRE,4.8951
2026-09-11 15:29,SMARTLINK,4.8868
2026-09-11 15:29,GLOBALE,4.8848
2026-09-11 15:29,NIMBSPROJ,4.8807
2026-09-11 15:29,ELITECON,4.8718
2026-09-11 15:29,HERITGFOOD,4.8612
2026-09-11 15:29,SMLMAH,4.8582
2026-09-11 15:29,SIKKO,4.8561
2026-09-11 15:29,ORTINGLOBE,4.8466
2026-09-11 15:29,SKIL,4.8193
2026-09-11 15:29,DYNAMATECH,4.7994
2026-09-11 15:29,LIBAS,4.7708
2026-09-11 15:29,TOYAMSL,4.7619
2026-09-11 15:29,BIRLACABLE,4.7244
2026-09-11 15:29,VENKEYS,4.7167
2026-09-11 15:29,ASSAMENT,4.6772
2026-09-11 15:29,VIRTUALG,4.6512
2026-09-11 15:29,ZEELEARN,4.6296
2026-09-11 15:29,KARMAENG,4.6199
2026-09-11 15:29,DISHTV,4.6025
2026-09-11 15:29,BHAGERIA,4.6024
2026-09-11 15:29,MEDICO,4.6019
2026-09-11 15:29,MANGALAM,4.5298
2026-09-11 15:29,SUNTV,4.4891
2026-09-11 15:29,MAKERSL,4.4389
2026-09-11 15:29,MAFANG,4.3686
2026-09-11 15:29,SGRL,4.3616
2026-09-11 15:29,SKYWAYS,4.3349
2026-09-11 15:29,INDORAMA,4.3048
2026-09-11 15:29,INDUSTOWER,4.3011
2026-09-11 15:29,ANTGRAPHIC,4.1667
2026-09-11 15:29,INDIAVIX,4.1525
2026-09-11 15:29,ASPINWALL,4.1375
2026-09-11 15:29,RCOM,4.1237
2026-09-11 15:29,BLUESTONE,4.1162
2026-09-11 15:29,EMPOWER,4.1096
2026-09-11 15:29,DHATRE,4.1063
2026-09-11 15:29,PLAZACABLE,4.0654
2026-09-11 15:29,GOLDENTOBC,4.0408
2026-09-11 15:29,APOORVA,4.0286
2026-09-11 15:29,ANUHPHR,4.0018
2026-09-11 15:29,SOFTTECH,3.9885
