Date,Symbol,Market cap,Category,Sector,Industry,% change,Volume
2026-09-21 15:29,HDFCBANK,1125837.0397,largecap,bank,banks - private sector,1.1628,35482683
2026-09-21 15:29,ETERNAL,315421.7109,largecap,i.t,miscellaneous,2.7689,20274532
2026-09-21 15:29,ICICIAMC,158493.8796,largecap,financials,finance & investments,0.0343,424027
2026-09-21 15:29,CGPOWER,140488.149,largecap,industrials,electric equipment,2.0179,2999705
2026-09-21 15:29,PNB,134777.7457,largecap,bank,banks - public sector,0.6225,8624424
2026-09-21 15:29,INDHOTEL,104301.9964,largecap,services,hotels,1.6718,2983659
2026-09-21 15:29,MAXHEALTH,102122.4708,largecap,healthcare,healthcare,1.6487,965254
2026-09-21 15:29,DRREDDY,98909.0823,largecap,healthcare,pharmaceuticals - indian - bulk drugs & formln,1.1224,1718834
2026-09-21 15:29,MEESHO,98828.1233,largecap,transportation,miscellaneous,2.1964,10943685
2026-09-21 15:29,YESBANK,71310.7238,largecap,bank,banks - private sector,1.9806,52755958
2026-09-21 15:29,WELCORP,70170.9495,largecap,industrials,steel - large,3.857,2544698
2026-09-21 15:29,SAILIFE,33976.3769,largecap,healthcare,pharmaceuticals - indian - bulk drugs & formln,0.4686,368349
2026-09-21 15:29,WOCKPHARMA,33897.4914,largecap,healthcare,pharmaceuticals - indian - bulk drugs & formln,4.8512,1771282
2026-09-21 15:29,LICHSGFIN,30151.7033,largecap,financials,finance - housing,3.6213,3749732
2026-09-21 15:29,BANDHANBNK,28193.865,largecap,bank,banks - private sector,2.2857,15271152
2026-09-21 15:29,JYOTICNC,23872.6024,largecap,industrials,engineering,6.1113,5723374
2026-09-21 15:29,EMMVEE,22708.9171,largecap,industrials,electric equipment,3.8415,11448479
2026-09-21 15:29,CARBORUNIV,21419.0894,largecap,industrials,abrasives and grinding wheels,4.847,3767733
2026-09-21 15:29,CAPLIPOINT,20892.5748,largecap,healthcare,pharmaceuticals - indian - formulations,0.2911,91962
2026-09-21 15:29,CONCORDBIO,15633.8455,midcap,healthcare,pharmaceuticals - indian - bulk drugs & formln,5.6879,561323
2026-09-21 15:29,USHAMART,15456.5147,midcap,metals & mining,steel - medium / small,5.2642,3336342
2026-09-21 15:29,ENGINERSIN,14969.9986,midcap,realty,engineering - turnkey services,7.0959,10639611
2026-09-21 15:29,SHADOWFAX,14717.8036,midcap,transportation,couriers,8.4277,13465306
2026-09-21 15:29,LUMAXTECH,14331.5206,midcap,auto,auto ancillaries,-1.6122,74594
2026-09-21 15:29,VARROC,13163.3123,midcap,auto,auto ancillaries,1.2768,233688
2026-09-21 15:29,ASKAUTOLTD,12937.4831,midcap,auto,auto ancillaries,-0.1752,515955
2026-09-21 15:29,AKUMS,12334.9668,midcap,healthcare,pharmaceuticals - indian - bulk drugs & formln,4.8169,825339
2026-09-21 15:29,UTIAMC,11503.0178,midcap,financials,finance & investments,3.3296,129186
2026-09-21 15:29,SUPRIYA,7294.1562,midcap,healthcare,pharmaceuticals - indian - bulk drugs & formln,5.6714,538805
2026-09-21 15:29,SBCL,6314.5724,midcap,metals & mining,mining / minerals / metals,4.3696,526873
2026-09-21 15:29,ISGEC,5781.2577,midcap,realty,engineering - turnkey services,8.4706,592841
2026-09-21 15:29,GOODLUCK,5157.7856,midcap,metals & mining,steel - medium / small,1.2856,603046
2026-09-21 15:29,CMRGREEN,5079.2396,midcap,miscellaneous,miscellaneous,-0.8496,489891
2026-09-21 15:29,DEEDEV,5031.6374,midcap,metals & mining,steel - medium / small,1.8467,284817
2026-09-21 15:29,ORCHPHARMA,5019.6698,midcap,healthcare,pharmaceuticals - indian - bulk drugs & formln,9.3059,573549
2026-09-21 15:29,AGI,4820.2784,smallcap,industrials,packaging,9.9725,1015912
