Date,Symbol,Close,Yearhigh,Market cap,Market cap category,Industry,Sector,Weekly return,Current vol multiple of yearly avg
2026-09-21 15:29,JASH,575.9,575.9,3293.3407,smallcap,engineering,industrials,10.5056,78.1933
2026-09-21 15:29,SAMBHV,155.13,155.13,4348.4663,smallcap,steel - medium / small,metals & mining,5.123,36.0307
2026-09-21 15:29,INDORAMA,106.55,106.55,2377.4352,smallcap,textiles - manmade,textiles,17.0236,27.8601
2026-09-21 15:29,TEGA,2129,2129,14597.3117,midcap,engineering,industrials,9.5728,23.083
2026-09-21 15:29,SRHHYPOLTD,627.7,627.7,897.8918,smallcap,chemicals,chemicals,19.9962,22.6033
2026-09-21 15:29,AHCL,26.24,26.24,1217.1693,smallcap,pharmaceuticals - indian - bulk drugs & formln,healthcare,14.5852,19.4692
2026-09-21 15:29,CPCAP,156.9,156.9,264.1433,smallcap,finance & investments,financials,8.0653,10.4523
2026-09-21 15:29,ASHIANA,405.55,405.55,3566.1193,smallcap,construction,realty,14.3199,7.3727
2026-09-21 15:29,GCSL,635.1,635.1,1546.7077,smallcap,finance & investments,financials,2.6756,7.1861
2026-09-21 15:29,RAYMOND,1084.95,1084.95,6510.9109,midcap,transport - airlines,transportation,10.9356,7.1682
2026-09-21 15:29,RATNAVEER,334.55,334.55,2137.4434,smallcap,steel - medium / small,metals & mining,11.7962,7.1616
2026-09-21 15:29,HARSHA,467.9,467.9,4010.0376,smallcap,engineering,industrials,6.2323,6.7122
2026-09-21 15:29,FILATEX,102.2,102.2,4166.5997,smallcap,textiles - manmade,textiles,8.9204,6.28
2026-09-21 15:29,JYOTICNC,1113.85,1113.85,23872.6024,largecap,engineering,industrials,6.1113,5.4906
2026-09-21 15:29,BODALCHEM,197.71,197.71,2408.4284,smallcap,dyes and pigments,chemicals,3.3886,5.4537
2026-09-21 15:29,KROSS,256.93,256.93,1543.0009,smallcap,auto ancillaries,auto,7.4167,5.4339
2026-09-21 15:29,GMMPFAUDLR,1507.2,1507.2,6595.2248,midcap,engineering,industrials,2.7403,5.0585
2026-09-21 15:29,UNIMECH,1698.4,1698.4,8092.8558,midcap,engineering,aerospace & defence,6.7303,4.8344
2026-09-21 15:29,CENTUM,4739.2002,4739.2002,6395.5244,midcap,electronics - components,aerospace & defence,9.367,4.5541
2026-09-21 15:29,GLOBAL,130.6,130.6,662.5339,smallcap,miscellaneous,services,0.338,4.5191
2026-09-21 15:29,SURAKSHA,349.1,349.1,1745.2262,smallcap,healthcare,healthcare,4.1779,4.4066
2026-09-21 15:29,USHAMART,533.9,533.9,15456.5147,midcap,steel - medium / small,metals & mining,5.2642,4.3203
2026-09-21 15:29,SALSTEEL,82.26,82.43,1190.8509,smallcap,steel - sponge iron,metals & mining,0,4.1889
2026-09-21 15:29,SMSPHARMA,466.5,466.5,4148.3167,smallcap,pharmaceuticals - indian - bulk drugs,healthcare,5.3166,4.0892
2026-09-21 15:29,ACMESOLAR,458.1,458.1,30766.7055,largecap,engineering - turnkey services,realty,5.2499,4.0545
2026-09-21 15:29,SOMANYCERA,589.45,589.45,2348.3933,smallcap,ceramics - tiles / sanitaryware,building materials,2.9427,3.6866
2026-09-21 15:29,PAISALO,92.85,92.85,8141.1303,midcap,finance & investments,financials,3.7314,3.2155
2026-09-21 15:29,AKUMS,821.45,821.45,12334.9668,midcap,pharmaceuticals - indian - bulk drugs & formln,healthcare,4.8169,3.1024
2026-09-21 15:29,BHAGERIA,361.4,361.4,1460.9889,smallcap,dyes and pigments,chemicals,7.9612,2.7862
2026-09-21 15:29,MAXESTATES,597.9,597.9,9711.7378,midcap,construction,realty,0.6566,2.5611
