Date,Symbol,Current price,Market cap,Category,Sector,Industry,% change,Volume
2026-09-22 15:29,ULTRACEMCO,11000,327093.8798,largecap,building materials,cement - north india,-0.9009,320797
2026-09-22 15:29,JKCEMENT,5104,39306.3593,largecap,building materials,cement - north india,0.3342,19306
2026-09-22 15:29,VSTTILLERS,4305.3999,3712.6372,smallcap,auto,automobiles - tractors,0.3426,13939
2026-09-22 15:29,DMART,3777,247879.5611,largecap,consumer discretionary,trading,-0.6157,473697
2026-09-22 15:29,HDFCAMC,2430,104591.394,largecap,financials,finance & investments,-0.4098,481994
2026-09-22 15:29,SBILIFE,1756.3,176169.0378,largecap,financials,finance & investments,0.0171,329671
2026-09-22 15:29,INTERARCH,1701.6,2866.9806,smallcap,metals & mining,steel - medium / small,-0.4563,32052
2026-09-22 15:29,COCHINSHIP,1388.9,36436.688,largecap,aerospace & defence,miscellaneous,0.2816,830403
2026-09-22 15:29,DHANUKA,966.4,4349.0613,smallcap,chemicals,pesticides / agrochemicals - indian,-0.943,9208
2026-09-22 15:29,UTIAMC,919.95,11886.0233,midcap,financials,finance & investments,-0.5244,129398
2026-09-22 15:29,ISGEC,840.75,6270.9643,midcap,realty,engineering - turnkey services,-1.4188,64283
2026-09-22 15:29,FACT,798.45,51878.9955,largecap,chemicals,fertilizers,-0.4116,106175
2026-09-22 15:29,ALLDIGI,784.6,1200.6277,smallcap,i.t,computers - software - medium / small,-0.4188,6147
2026-09-22 15:29,PROTEAN,620.65,2389.9479,smallcap,i.t,computers - software - medium / small,5.4899,14817622
2026-09-22 15:29,CAPILLARY,547.1,4054.2632,smallcap,i.t,computers - software - medium / small,7.243,1529129
2026-09-22 15:29,TENNIND,532.75,20749.2975,largecap,auto,auto ancillaries,3.6277,1047619
2026-09-22 15:29,SUNTV,490.1,18031.3418,midcap,media,entertainment / electronic media software,7.114,3413835
2026-09-22 15:29,TRANSRAILL,477.15,5560.8846,midcap,realty,engineering - turnkey services,15.198,23971640
2026-09-22 15:29,EMAMILTD,390,16613.19,midcap,fmcg,personal care - indian,2.4698,1848450
2026-09-22 15:29,INDUSTOWER,382.1,99630.2165,largecap,telecom,transmisson line towers / equipment,1.1783,3537704
2026-09-22 15:29,REPCOHOME,357.25,2265.6597,smallcap,financials,finance - housing,-1.353,62778
2026-09-22 15:29,CSBBANK,334.95,5808.3055,midcap,bank,banks - private sector,0.0448,231055
2026-09-22 15:29,MEDIASSIST,328.6,2514.464,smallcap,miscellaneous,miscellaneous,-2.3767,740848
2026-09-22 15:29,ROHLTD,306,846.0679,smallcap,services,hotels,-0.8104,8254
2026-09-22 15:29,BGRENERGY,271.56,1936.8163,smallcap,realty,engineering - turnkey services,1.1773,64190
2026-09-22 15:29,KEYFINSERV,240.05,134.4065,smallcap,financials,finance & investments,-0.5798,276
2026-09-22 15:29,ARIHANTSUP,234.9,991.7223,smallcap,realty,construction,2.4422,2580
2026-09-22 15:29,JIOFIN,230.7,151852.4479,largecap,financials,finance & investments,0.3174,8586144
2026-09-22 15:29,SURAJEST,217,1033.8639,smallcap,realty,construction,0.2726,622792
2026-09-22 15:29,RVNL,211.15,43724.9565,largecap,realty,construction,0.6867,4049857
2026-09-22 15:29,CHEMPLASTS,198.67,2864.4712,smallcap,chemicals,chemicals,9.6594,7329815
2026-09-22 15:29,PACEDIGITK,167.74,3342.6736,smallcap,telecom,engineering - turnkey services,8.3172,26735640
2026-09-22 15:29,HERANBA,166.47,668.545,smallcap,chemicals,pesticides / agrochemicals - indian,-0.3651,19818
2026-09-22 15:29,BLAL,164.24,688.1337,smallcap,realty,construction,-0.6052,7668
2026-09-22 15:29,PTC,155.63,4626.018,smallcap,power & utilities,trading,-0.4159,1053065
2026-09-22 15:29,DPWIRES,154.23,228.213,smallcap,metals & mining,steel - medium / small,4.7545,14883
2026-09-22 15:29,EUROBOND,153.1,375.683,smallcap,metals & mining,aluminium and aluminium products,-0.1565,2636
2026-09-22 15:29,SHREYANIND,127.31,182.885,smallcap,building materials,paper,-3.7645,13105
2026-09-22 15:29,VHLTD,126.18,985.2661,smallcap,services,hotels,-1.6677,26659
2026-09-22 15:29,RACE,119.98,172.5547,smallcap,services,trading,19.992,682329
