Date,Symbol,Sector,Market cap,1 week %,Vol > yr avg
2026-09-22 15:29,AVTNPL,fmcg,smallcap,14.6558,24.37
2026-09-22 15:29,GABRIEL,auto,largecap,11.3179,16.4351
2026-09-22 15:29,STEELCAS,industrials,smallcap,9.4561,10.3306
2026-09-22 15:29,AHCL,healthcare,smallcap,26.0262,10.0591
2026-09-22 15:29,INDORAMA,textiles,smallcap,13.7507,8.9695
2026-09-22 15:29,UNIMECH,aerospace & defence,midcap,8.8732,7.8266
2026-09-22 15:29,RAYMOND,transportation,midcap,14.2076,5.1834
2026-09-22 15:29,CORDSCABLE,industrials,smallcap,5.149,4.9202
2026-09-22 15:29,ENGINERSIN,realty,midcap,13.5911,4.7493
2026-09-22 15:29,ROSSTECH,aerospace & defence,midcap,8.7172,4.5139
2026-09-22 15:29,IRISDOREME,consumer discretionary,smallcap,2.5704,4.4858
2026-09-22 15:29,STLNETWORK,telecom-service,smallcap,10.2212,4.4197
2026-09-22 15:29,PASUPTAC,textiles,smallcap,9.1312,4.3697
2026-09-22 15:29,BODALCHEM,chemicals,smallcap,0.8733,4.2555
2026-09-22 15:29,ORCHPHARMA,healthcare,midcap,11.8723,4.0227
2026-09-22 15:29,SANSERA,auto,largecap,7.6668,4.0012
2026-09-22 15:29,BIRLACABLE,industrials,smallcap,-8.3639,3.9515
2026-09-22 15:29,RAMRAT,metals & mining,midcap,1.4421,3.921
2026-09-22 15:29,ITDC,services,midcap,7.208,3.7402
2026-09-22 15:29,NRL,services,smallcap,10.2179,3.6115
2026-09-22 15:29,SSWL,auto,midcap,-2.0408,3.6017
2026-09-22 15:29,MMP,metals & mining,smallcap,-1.1888,3.5411
2026-09-22 15:29,SAMBHV,metals & mining,smallcap,2.9613,3.4483
2026-09-22 15:29,SALSTEEL,metals & mining,smallcap,-1.556,3.3759
2026-09-22 15:29,FILATEX,textiles,smallcap,7.7161,3.268
2026-09-22 15:29,SYNCOMF,healthcare,smallcap,1.7964,3.1545
2026-09-22 15:29,NPST,i.t,smallcap,3.2978,3.1306
2026-09-22 15:29,COMSYN,industrials,smallcap,-1.7289,2.8347
2026-09-22 15:29,BALPHARMA,healthcare,smallcap,7.4402,2.7892
2026-09-22 15:29,FINCABLES,industrials,largecap,4.032,2.7577
2026-09-22 15:29,VADILALIND,fmcg,midcap,3.2057,2.6454
2026-09-22 15:29,GCSL,financials,smallcap,3.3385,2.6447
