Date,Symbol,Ltp,Vwap
2026-09-22 15:29,TASTYBITE,9829,9822.38
2026-09-22 15:29,YASHO,3959.3999,3932.2
2026-09-22 15:29,KPL,3752.8,3738.02
2026-09-22 15:29,WELINV,2408.8999,2304.93
2026-09-22 15:29,VENUSPIPES,2223.3,2212.63
2026-09-22 15:29,THEJO,2167.8999,2161.82
2026-09-22 15:29,MACPOWER,2096.5,2042.85
2026-09-22 15:29,GRPLTD,2000,1995.84
2026-09-22 15:29,VELJAN,1996.7,1980.28
2026-09-22 15:29,AKCAPIT,1766.8,1760.3
2026-09-22 15:29,SEAMECLTD,1734.7,1724.24
2026-09-22 15:29,VENKEYS,1675.9,1670.11
2026-09-22 15:29,DPABHUSHAN,1469.4,1456.48
2026-09-22 15:29,INVPRECQ,1395.3,1343.81
2026-09-22 15:29,SAKAR,1188.4,1177.69
2026-09-22 15:29,YUKEN,1137.95,1107.54
2026-09-22 15:29,KSL,959.15,954.77
2026-09-22 15:29,MVELECTRO,877.35,876.66
2026-09-22 15:29,SVLL,867.65,847.32
2026-09-22 15:29,UNIPARTS,851.7,849.77
2026-09-22 15:29,63MOONS,841.75,837.08
2026-09-22 15:29,DEEPINDS,761.6,752.95
2026-09-22 15:29,DOLPHIN,724.3,717.77
2026-09-22 15:29,TBZ,665.35,659.77
2026-09-22 15:29,DICIND,654.25,653.26
2026-09-22 15:29,GCSL,639.2,628.34
2026-09-22 15:29,SGIL,636.8,634.14
2026-09-22 15:29,GNA,561.65,559.83
2026-09-22 15:29,SHIVAUM,515.05,468.5
2026-09-22 15:29,LANDMARK,510.5,507.11
2026-09-22 15:29,PRADPME,498.85,496.7
2026-09-22 15:29,ASIANENE,489.6,487.53
2026-09-22 15:29,SMSPHARMA,483.35,482.87
2026-09-22 15:29,PANAMAPET,481.25,480.38
2026-09-22 15:29,ARIES,469.95,466.53
2026-09-22 15:29,RUBYMILLS,459.95,459.1
2026-09-22 15:29,TECHNOCRAF,457.5,451.31
2026-09-22 15:29,SUNSHINE,440.4,435.03
2026-09-22 15:29,MBECL,430.09,430.08
2026-09-22 15:29,VALIANTORG,418.35,409.4
2026-09-22 15:29,INDSWFTLAB,405.55,404.43
2026-09-22 15:29,ASIANHOTNR,385.1,380.3
2026-09-22 15:29,VIDHIING,359.95,358.94
2026-09-22 15:29,SURAKSHA,353.4,351.99
2026-09-22 15:29,STEELCAS,350.15,348.51
2026-09-22 15:29,KAYA,338.35,333.71
2026-09-22 15:29,BAFNAPH,329.95,313.98
2026-09-22 15:29,HITECHCORP,329.75,329.42
2026-09-22 15:29,MENONBE,306.7,304.64
2026-09-22 15:29,GREENPLY,296.65,292.17
2026-09-22 15:29,AYMSYNTEX,295.4,294.47
2026-09-22 15:29,SREEL,279.9,279.2
2026-09-22 15:29,PARAGMILK,279.4,277.34
2026-09-22 15:29,GANDHAR,269.05,268.79
2026-09-22 15:29,KANPRPLA,266.75,265.08
2026-09-22 15:29,CHEMBONDCH,260.4,259.94
2026-09-22 15:29,EPACKPEB,250.34,248.25
2026-09-22 15:29,LIKHITHA,227.96,226.57
2026-09-22 15:29,DECNGOLD,225.17,222.25
2026-09-22 15:29,AURUM,222.04,220.93
2026-09-22 15:29,KIRANVYPAR,218.79,218.35
2026-09-22 15:29,MVGJL,213.26,211.7
2026-09-22 15:29,MOLDTECH,194.44,193.82
2026-09-22 15:29,NOCIL,193.89,193.55
2026-09-22 15:29,KRISHANA,189.55,188.32
2026-09-22 15:29,INDIQUBE,187.96,186.95
2026-09-22 15:29,KRONOX,182.27,179.82
2026-09-22 15:29,GARUDA,181.56,179.58
2026-09-22 15:29,RBZJEWEL,177.78,177.09
2026-09-22 15:29,MBAPL,165.68,164.66
2026-09-22 15:29,SHINDL,162.53,162.29
2026-09-22 15:29,NRL,158.35,158.03
2026-09-22 15:29,SPECIALITY,149.53,148.75
2026-09-22 15:29,MUKANDLTD,141.41,140.71
2026-09-22 15:29,TURTLEMINT,140.23,139.46
2026-09-22 15:29,ARIS,140.1,139.76
2026-09-22 15:29,ZIMLAB,133.8,133.24
2026-09-22 15:29,GLOBAL,132.23,130.99
2026-09-22 15:29,BLUSPRING,125.47,125.32
2026-09-22 15:29,GANESHBE,125.22,125.05
2026-09-22 15:29,TEXINFRA,115.02,114.98
2026-09-22 15:29,BLACKROSE,113.25,112.46
2026-09-22 15:29,MANAKSTEEL,107.25,106.65
2026-09-22 15:29,ALEMBICLTD,104.79,104.48
2026-09-22 15:29,AVTNPL,98.26,97.15
2026-09-22 15:29,REGAAL,97.21,94.26
2026-09-22 15:29,SMCGLOBAL,82.43,82.12
2026-09-22 15:29,PREMIERPOL,81.02,80.59
2026-09-22 15:29,PASUPTAC,76.37,75.11
2026-09-22 15:29,IRISDOREME,66.24,66.15
2026-09-22 15:29,PVP,65.35,65.01
2026-09-22 15:29,JINDWORLD,52.22,52.15
2026-09-22 15:29,STLNETWORK,47.34,46
2026-09-22 15:29,ESAFSFB,39.46,39.18
2026-09-22 15:29,AHCL,28.86,28.18
2026-09-22 15:29,3IINFOLTD,26.03,25.85
2026-09-22 15:29,SUBEXLTD,19.37,19.36
2026-09-22 15:29,MGEL,15.52,15.5
