Date,4% advance,4% decline,Net breadth,3% range,5d range,Volume,+15% in 5d,-10% in 5d,10% + 10ema,10% - 10ema
2026-09-23,9.8402,1.3036,8.5366,45.0799,8.3263,0.4966,4.1632,0.6728,2.6072,0.2523
2026-09-22,6.5574,2.1858,4.3716,43.4636,5.0441,0.4063,3.0265,1.1349,2.1017,0.2942
2026-09-21,8.7066,2.6789,6.0276,41.6074,3.265,0.4211,1.8418,2.7208,2.1348,0.4186
2026-09-18,10.7563,1.8908,8.8655,36.3025,3.3613,0.6671,1.3866,2.7311,1.5966,0.5882
2026-09-17,7.9933,2.3559,5.6374,40.0926,3.6601,0.2748,1.178,4.1649,1.3462,0.9255
2026-09-16,4.7899,5.5462,-0.7563,23.6555,3.0252,0.4697,1.3025,6.5546,1.1765,0.9244
2026-09-15,2.8057,23.4925,-20.6868,17.2529,4.5226,0.6079,1.5494,6.1558,1.1725,1.0469
2026-09-11,4.4538,3.4874,0.9664,42.1429,6.4706,0.4837,2.8571,2.0168,2.3529,0.5882
2026-09-10,6.0976,3.5744,2.5231,43.8183,9.2094,0.4521,3.0698,1.64,2.4811,0.5046
2026-09-09,6.1739,3.9479,2.226,44.4351,9.5758,0.5278,3.4439,1.386,2.5619,0.546
2026-09-08,6.7142,3.1473,3.5669,45.4889,10.449,0.4993,3.9866,1.0911,3.0214,0.4616
2026-09-07,7.2117,3.8574,3.3543,40.9224,8.7212,0.549,2.935,1.4256,3.2285,0.6709
2026-09-04,8.1581,2.2708,5.8873,45.8789,7.3171,0.4608,2.397,1.64,2.3129,0.5046
2026-09-03,7.7829,1.7669,6.016,45.8982,6.8153,0.3955,2.398,1.5145,2.1035,0.631
2026-09-02,5.139,2.1904,2.9486,42.8812,6.3184,0.3353,1.8955,2.2325,1.6428,0.7161
2026-09-01,4.335,4.7138,-0.3788,38.5522,7.9545,0.4028,2.2306,1.5993,1.936,0.7576
2026-08-31,5.9815,5.3496,0.6318,33.1087,8.5088,0.6131,1.9798,1.7692,1.8534,0.674
2026-08-28,7.5949,1.8565,5.7384,50,12.2363,0.3018,2.3629,1.308,1.8987,0.4219
2026-08-27,3.8007,4.0963,-0.2956,45.9459,12.3733,0.3179,2.7872,1.3514,1.3936,0.4645
2026-08-26,7.4199,1.6863,5.7336,47.9342,13.3642,0.3371,3.2884,0.8853,2.3609,0.5059
2026-08-25,4.3497,3.0828,1.2669,47.6774,13.3446,0.3483,2.576,1.3091,1.9003,0.549
2026-08-24,7.2934,2.9933,4.3002,39.5868,12.6054,0.5195,3.0776,1.3912,2.8668,0.4216
2026-08-21,6.6892,1.7782,4.9111,47.8408,12.2354,0.4327,3.0059,2.1169,1.9475,0.4234
2026-08-20,7.3243,2.2862,5.0381,46.3167,10.8806,0.4244,2.8789,3.0483,2.4132,0.4234
2026-08-19,5.074,3.7209,1.3531,44.2706,10.1903,0.4057,2.8753,3.2558,1.9873,0.6342
2026-08-18,6.5116,2.9175,3.5941,45.9619,10.2326,0.444,3.0444,3.9746,2.3679,0.8879
2026-08-17,7.65,5.4522,2.1978,40.7016,9.552,0.5627,3.1276,4.3533,3.0854,1.0566
2026-08-14,5.1402,4.8003,0.3398,42.9057,8.8785,0.503,2.7188,3.6534,2.4214,0.4673
2026-08-13,7.431,4.4586,2.9724,41.8259,9.2144,0.6199,2.7601,3.0573,2.293,0.5096
2026-08-12,5.7848,5.5721,0.2127,40.4083,8.9749,0.6949,2.5096,3.4453,2.6797,0.5104
2026-08-11,6.5051,4.5493,1.9558,45.068,9.8639,0.6743,3.1463,2.7211,3.0187,0.4252
2026-08-10,7.6433,5.5626,2.0807,38.0042,10.5308,0.8786,3.1847,2.4628,2.845,0.4671
2026-08-07,5.7046,4.6403,1.0643,45.6364,10.1745,0.6491,3.7888,1.6177,2.3414,0.4683
2026-08-06,5.9651,3.4512,2.5138,44.738,9.4589,0.823,4.4312,1.2356,2.3008,0.4261
2026-08-05,7.748,2.2989,5.4491,44.785,9.0251,0.7853,3.576,1.6177,2.8523,0.5534
2026-08-04,6.6922,2.9838,3.7084,46.2916,8.4825,0.6511,3.0691,1.4919,2.6002,0.4689
2026-08-03,12.8401,2.1259,10.7143,37.9252,8.4609,0.9363,2.0833,1.6156,2.2109,0.4252
2026-07-31,7.8599,2.4349,5.425,44.0837,10.6792,0.5373,1.8795,1.3669,1.4524,0.4272
2026-07-30,2.8645,4.3608,-1.4964,46.8149,7.3536,0.3826,1.4536,2.0522,1.1971,0.5558
2026-07-29,7.3599,2.3534,5.0064,47.1545,7.0603,0.4438,1.4121,1.6688,1.3693,0.5135
