Date,Symbol,Sector,Market cap,1 week %,Vol > yr avg
2026-09-23 15:29,SUPRIYA,healthcare,midcap,10.438,3.1092
2026-09-23 15:29,WOCKPHARMA,healthcare,largecap,11.6773,2.968
2026-09-23 15:29,ICIL,textiles,midcap,6.5273,2.4575
2026-09-23 15:29,TIRUPATIFL,industrials,smallcap,15.7506,2.0955
2026-09-23 15:29,STEELCAS,industrials,smallcap,12.4414,2.0044
2026-09-23 15:29,NELCO,telecom,smallcap,0.8796,1.8887
2026-09-23 15:29,BLUSPRING,miscellaneous,smallcap,7.4996,1.2974
2026-09-23 15:29,RSWM,textiles,smallcap,2.2142,0.9276
2026-09-23 15:29,AGI,industrials,midcap,12.3683,0.7531
2026-09-23 15:29,VADILALIND,fmcg,midcap,1.7658,0.666
2026-09-23 15:29,INOXINDIA,industrials,midcap,3.34,0.6397
2026-09-23 15:29,CAPLIPOINT,healthcare,largecap,1.6445,0.53
2026-09-23 15:29,KILITCH,healthcare,smallcap,15.7587,0.4139
2026-09-23 15:29,TARSONS,healthcare,smallcap,9.5884,0.2553
