Date,Symbol,% change
2026-09-23 15:29,CNXIT,7.7379
2026-09-23 15:29,CNXPHARMA,7.2087
2026-09-23 15:29,NIFTYSMALLCAP50,7.1786
2026-09-23 15:29,NIFTYMICROCAP250,6.5628
2026-09-23 15:29,NIFTYMETAL,6.256
2026-09-23 15:29,NIFTYMEDIA,5.9828
2026-09-23 15:29,CNXSMALLCAP,5.9821
2026-09-23 15:29,CNXREALTY,4.9967
2026-09-23 15:29,NIFTYHEALTHCARE,4.5131
2026-09-23 15:29,NIFTYSMALLCAP250,3.9
2026-09-23 15:29,NIFTYAUTO,2.5595
2026-09-23 15:29,NIFTYMIDCAP50,2.1867
2026-09-23 15:29,NIFTYMIDSMALLCAP400,1.7771
2026-09-23 15:29,NIFTYMIDSELECT,1.0113
2026-09-23 15:29,NIFTYMIDCAP150,0.6788
2026-09-23 15:29,NIFTYCONSUMPTION,0.2705
2026-09-23 15:29,NIFTYTOTALMKT,0.0381
2026-09-23 15:29,NIFTYOILANDGAS,-0.2271
2026-09-23 15:29,NIFTY500,-0.2633
2026-09-23 15:29,NIFTYLARGEMID250,-0.2646
2026-09-23 15:29,NIFTYINDDEFENCE,-0.6103
2026-09-23 15:29,NIFTYCHEMICALS,-0.6358
2026-09-23 15:29,NIFTY200,-0.7784
2026-09-23 15:29,NIFTY100,-1.2175
2026-09-23 15:29,NIFTYCOMMODITIES,-1.4955
2026-09-23 15:29,NIFTYPSUBANK,-1.4978
2026-09-23 15:29,BANKNIFTY,-1.7274
2026-09-23 15:29,NIFTY,-1.7554
2026-09-23 15:29,NIFTYPVTBANK,-2.0258
2026-09-23 15:29,CNXINFRA,-3.1638
2026-09-23 15:29,NIFTYFINSERVICE,-3.727
2026-09-23 15:29,CNXENERGY,-4.9842
2026-09-23 15:29,NIFTYFMCG,-5.195
2026-09-23 15:29,INDIAVIX,-23.8971
2026-09-23 15:29,NIFTYHOUSING,1.7e+308
