Date,Symbol,% change,Ltp
2026-09-24 15:29,INDIAVIX,22.6087,12.69
2026-09-24 15:29,CNXIT,-0.4419,28208.8496
2026-09-24 15:29,CNXPHARMA,-0.4545,27028.6992
2026-09-24 15:29,NIFTYHEALTHCARE,-0.6578,16757.1992
2026-09-24 15:29,NIFTYMEDIA,-0.8042,1554.25
2026-09-24 15:29,NIFTYINDDEFENCE,-1.0527,9361.7002
2026-09-24 15:29,CNXENERGY,-1.0562,37360.9492
2026-09-24 15:29,NIFTYFMCG,-1.0809,45759.3516
2026-09-24 15:29,CNXREALTY,-1.1022,861.4
2026-09-24 15:29,NIFTYPSUBANK,-1.1273,8271.1504
2026-09-24 15:29,NIFTYCHEMICALS,-1.1851,29078.4492
2026-09-24 15:29,NIFTYOILANDGAS,-1.2299,10869.8496
2026-09-24 15:29,NIFTYCOMMODITIES,-1.357,9515.5996
2026-09-24 15:29,NIFTYSMALLCAP250,-1.3899,18155.5
2026-09-24 15:29,NIFTYMICROCAP250,-1.4845,26396.3496
2026-09-24 15:29,CNXSMALLCAP,-1.5344,19684.75
2026-09-24 15:29,NIFTYAUTO,-1.574,26730.0996
2026-09-24 15:29,NIFTY100,-1.6092,24216.1992
2026-09-24 15:29,NIFTYSMALLCAP50,-1.6276,9839.7002
2026-09-24 15:29,NIFTY,-1.6365,23063.0996
2026-09-24 15:29,CNXINFRA,-1.6514,8944.8496
2026-09-24 15:29,NIFTYTOTALMKT,-1.659,12768.0498
2026-09-24 15:29,NIFTY500,-1.6677,22552.5996
2026-09-24 15:29,NIFTYCONSUMPTION,-1.6681,11353.4502
2026-09-24 15:29,NIFTY200,-1.7407,13457.5498
2026-09-24 15:29,NIFTYMIDSMALLCAP400,-1.7895,20923.5508
2026-09-24 15:29,NIFTYLARGEMID250,-1.8086,16135.5498
2026-09-24 15:29,NIFTYMETAL,-1.9575,13041.9502
2026-09-24 15:29,BANKNIFTY,-1.9636,55438.5
2026-09-24 15:29,NIFTYMIDCAP150,-2.0016,22469.9004
2026-09-24 15:29,NIFTYPVTBANK,-2.1905,26763.9492
2026-09-24 15:29,NIFTYFINSERVICE,-2.3888,24954.1504
2026-09-24 15:29,NIFTYMIDCAP50,-2.5673,17518.0508
2026-09-24 15:29,NIFTYMIDSELECT,-3.6504,14040.2998
2026-09-24 15:29,NIFTYHOUSING,1.7e+308,11061.2002
