Date,Symbol,Sector,Market cap,1 week %,Vol > yr avg
2026-09-21,ADANIPORTS,transportation,largecap,-2.023,0.9446
2026-09-22,ADANIPORTS,transportation,largecap,-1.5899,0.3556
2026-09-23,ADANIPORTS,transportation,largecap,-0.9156,0.4838
2026-09-24,ADANIPORTS,transportation,largecap,-2.1217,0.6482
2026-09-25,ADANIPORTS,transportation,largecap,-1.9737,0.3653
2026-09-21,RAYMOND,transportation,midcap,10.9356,7.1682
2026-09-22,RAYMOND,transportation,midcap,14.2076,5.1834
2026-09-23,RAYMOND,transportation,midcap,13.9724,4.5901
2026-09-24,RAYMOND,transportation,midcap,23.093,7.4618
2026-09-25,RAYMOND,transportation,midcap,22.3569,3.0624
2026-09-21,GESHIP,transportation,largecap,3.6939,1.522
2026-09-22,GESHIP,transportation,largecap,2.0878,1.1143
2026-09-23,GESHIP,transportation,largecap,3.6101,0.5392
2026-09-24,GESHIP,transportation,largecap,3.5263,0.7944
2026-09-25,GESHIP,transportation,largecap,4.5458,0.5964
2026-09-21,SIGMAADV,aerospace & defence,midcap,4.9475,1.5449
2026-09-22,SIGMAADV,aerospace & defence,midcap,9.4562,1.2846
2026-09-23,SIGMAADV,aerospace & defence,midcap,8.1515,0.879
2026-09-24,SIGMAADV,aerospace & defence,midcap,9.6467,0.975
2026-09-25,SIGMAADV,aerospace & defence,midcap,9.2253,0.6888
2026-09-21,CENTUM,aerospace & defence,midcap,9.367,4.5541
2026-09-22,CENTUM,aerospace & defence,midcap,12.1247,1.5128
2026-09-23,CENTUM,aerospace & defence,midcap,11.3724,2.9703
2026-09-24,CENTUM,aerospace & defence,midcap,11.6378,1.3778
2026-09-25,CENTUM,aerospace & defence,midcap,10.8232,1.1033
2026-09-21,AXISCADES,aerospace & defence,midcap,1.5735,1.0798
2026-09-22,AXISCADES,aerospace & defence,midcap,4.4114,1.2406
2026-09-23,AXISCADES,aerospace & defence,midcap,7.1224,1.9662
2026-09-24,AXISCADES,aerospace & defence,midcap,6.1782,0.8032
2026-09-25,AXISCADES,aerospace & defence,midcap,4.4667,0.8863
2026-09-21,DYNAMATECH,aerospace & defence,midcap,0.8954,0.3843
2026-09-22,DYNAMATECH,aerospace & defence,midcap,3.7725,1.3166
2026-09-23,DYNAMATECH,aerospace & defence,midcap,4.1456,1.3624
2026-09-24,DYNAMATECH,aerospace & defence,midcap,4.0627,0.8723
2026-09-25,DYNAMATECH,aerospace & defence,midcap,9.054,1.3825
2026-09-21,REDINGTON,services,largecap,-1.9507,0.3438
2026-09-22,REDINGTON,services,largecap,2.626,0.8225
2026-09-23,REDINGTON,services,largecap,0.2251,0.7205
2026-09-24,REDINGTON,services,largecap,1.6381,0.7558
2026-09-25,REDINGTON,services,largecap,1.8507,0.3972
2026-09-21,ASIANHOTNR,services,smallcap,0.0534,0.1283
2026-09-22,ASIANHOTNR,services,smallcap,2.7207,0.1975
2026-09-23,ASIANHOTNR,services,smallcap,4.1478,0.8927
2026-09-24,ASIANHOTNR,services,smallcap,3.8944,0.1797
2026-09-25,ASIANHOTNR,services,smallcap,5.1881,0.1856
2026-09-21,PGIL,readymade garments/apparels,midcap,-0.6718,0.394
2026-09-22,PGIL,readymade garments/apparels,midcap,4.2579,0.7889
2026-09-23,PGIL,readymade garments/apparels,midcap,13.498,2.6053
2026-09-24,PGIL,readymade garments/apparels,midcap,11.1247,0.9903
2026-09-25,PGIL,readymade garments/apparels,midcap,15.9672,1.6141
2026-09-21,KALYANIFRG,"castings, forgings & fasteners",smallcap,-3.4248,0.6428
2026-09-22,KALYANIFRG,"castings, forgings & fasteners",smallcap,-4.9218,0.8494
2026-09-23,KALYANIFRG,"castings, forgings & fasteners",smallcap,-1.8098,0.57
2026-09-24,KALYANIFRG,"castings, forgings & fasteners",smallcap,-3.9272,0.2647
2026-09-25,KALYANIFRG,"castings, forgings & fasteners",smallcap,-0.1025,0.6808
2026-09-21,SUNFLAG,metals & mining,midcap,2.2457,0.5869
2026-09-22,SUNFLAG,metals & mining,midcap,2.8832,0.5799
2026-09-23,SUNFLAG,metals & mining,midcap,13.1701,2.6386
2026-09-24,SUNFLAG,metals & mining,midcap,14.9812,4.3982
2026-09-25,SUNFLAG,metals & mining,midcap,18.9945,5.7587
2026-09-21,JSL,metals & mining,largecap,0.0666,1.4866
2026-09-22,JSL,metals & mining,largecap,-0.9987,1.2741
2026-09-23,JSL,metals & mining,largecap,1.012,1.295
2026-09-24,JSL,metals & mining,largecap,-1.598,1.0565
2026-09-25,JSL,metals & mining,largecap,-0.3595,2.5087
2026-09-21,GANDHITUBE,metals & mining,smallcap,1.1232,0.3816
2026-09-22,GANDHITUBE,metals & mining,smallcap,11.5658,23.6307
2026-09-23,GANDHITUBE,metals & mining,smallcap,10.6595,2.0345
2026-09-24,GANDHITUBE,metals & mining,smallcap,8.8857,1.111
2026-09-25,GANDHITUBE,metals & mining,smallcap,7.4844,0.5626
2026-09-21,USHAMART,metals & mining,midcap,5.2642,4.3203
2026-09-22,USHAMART,metals & mining,midcap,4.7516,3.5293
2026-09-23,USHAMART,metals & mining,midcap,5.4909,2.1889
2026-09-24,USHAMART,metals & mining,midcap,3.1546,0.7921
2026-09-25,USHAMART,metals & mining,midcap,2.2871,0.5354
2026-09-21,VSSL,metals & mining,smallcap,1.5073,0.8694
2026-09-22,VSSL,metals & mining,smallcap,0.766,0.5404
2026-09-23,VSSL,metals & mining,smallcap,2.1992,0.612
2026-09-24,VSSL,metals & mining,smallcap,0.0741,0.6819
2026-09-25,VSSL,metals & mining,smallcap,1.6803,0.4611
2026-09-21,PRECWIRE,metals & mining,midcap,-0.9824,0.3822
2026-09-22,PRECWIRE,metals & mining,midcap,2.6547,0.9509
2026-09-23,PRECWIRE,metals & mining,midcap,4.2747,0.7078
2026-09-24,PRECWIRE,metals & mining,midcap,2.1948,0.3126
2026-09-25,PRECWIRE,metals & mining,midcap,5.0585,0.6111
2026-09-21,KSL,metals & mining,smallcap,-1.1099,1.0583
2026-09-22,KSL,metals & mining,smallcap,0.4293,0.8215
2026-09-23,KSL,metals & mining,smallcap,4.5233,10.8759
2026-09-24,KSL,metals & mining,smallcap,2.0051,1.8444
2026-09-25,KSL,metals & mining,smallcap,1.0104,1.5755
2026-09-21,JINDALSTEL,metals & mining,largecap,0.9915,0.53
2026-09-22,JINDALSTEL,metals & mining,largecap,1.9205,0.6666
2026-09-23,JINDALSTEL,metals & mining,largecap,4.9844,0.7443
2026-09-24,JINDALSTEL,metals & mining,largecap,3.4212,0.448
2026-09-25,JINDALSTEL,metals & mining,largecap,4.0465,0.317
2026-09-21,SALSTEEL,metals & mining,smallcap,0,4.1889
2026-09-22,SALSTEEL,metals & mining,smallcap,-1.556,3.3759
2026-09-23,SALSTEEL,metals & mining,smallcap,3.3552,1.6907
2026-09-24,SALSTEEL,metals & mining,smallcap,8.5218,4.5746
2026-09-25,SALSTEEL,metals & mining,smallcap,13.7856,3.4471
2026-09-21,CUBEXTUB,metals & mining,smallcap,2.4144,1.0183
2026-09-22,CUBEXTUB,metals & mining,smallcap,22.8903,5.8015
2026-09-23,CUBEXTUB,metals & mining,smallcap,47.4684,5.7695
2026-09-24,CUBEXTUB,metals & mining,smallcap,62.2128,4.3168
2026-09-25,CUBEXTUB,metals & mining,smallcap,78.4341,13.0846
2026-09-21,GOODLUCK,metals & mining,midcap,1.2856,1.1032
2026-09-22,GOODLUCK,metals & mining,midcap,4.0213,1.5104
2026-09-23,GOODLUCK,metals & mining,midcap,3.8376,1.6892
2026-09-24,GOODLUCK,metals & mining,midcap,2.552,0.6883
2026-09-25,GOODLUCK,metals & mining,midcap,1.624,0.4366
2026-09-21,MUKANDLTD,metals & mining,smallcap,0.9274,0.3265
2026-09-22,MUKANDLTD,metals & mining,smallcap,4.9191,1.2201
2026-09-23,MUKANDLTD,metals & mining,smallcap,16.5677,14.0786
2026-09-24,MUKANDLTD,metals & mining,smallcap,15.1951,5.5992
2026-09-25,MUKANDLTD,metals & mining,smallcap,23.9427,5.9294
2026-09-21,MANINDS,metals & mining,midcap,0.963,0.8712
2026-09-22,MANINDS,metals & mining,midcap,-0.1938,0.6967
2026-09-23,MANINDS,metals & mining,midcap,15.8711,11.3865
2026-09-24,MANINDS,metals & mining,midcap,13.0703,1.5019
2026-09-25,MANINDS,metals & mining,midcap,19.8227,1.8603
2026-09-21,KDDL,consumer discretionary,midcap,3.8462,2.1187
2026-09-22,KDDL,consumer discretionary,midcap,2.9727,1.1572
2026-09-23,KDDL,consumer discretionary,midcap,10.1985,4.9055
2026-09-24,KDDL,consumer discretionary,midcap,6.7748,2.1495
2026-09-25,KDDL,consumer discretionary,midcap,4.5356,1.4788
2026-09-21,RGL,consumer discretionary,smallcap,5.3129,0.792
2026-09-22,RGL,consumer discretionary,smallcap,2.2034,0.2699
2026-09-23,RGL,consumer discretionary,smallcap,11.1343,2.3956
2026-09-24,RGL,consumer discretionary,smallcap,8.4094,0.8284
2026-09-25,RGL,consumer discretionary,smallcap,9.1721,0.2696
2026-09-21,TBZ,consumer discretionary,smallcap,4.9954,0.6279
2026-09-22,TBZ,consumer discretionary,smallcap,10.2394,0.6756
2026-09-23,TBZ,consumer discretionary,smallcap,14.7295,0.6389
2026-09-24,TBZ,consumer discretionary,smallcap,11.8134,0.4799
2026-09-25,TBZ,consumer discretionary,smallcap,8.624,0.2432
2026-09-21,SHILPAMED,healthcare,midcap,4.8673,1.6035
2026-09-22,SHILPAMED,healthcare,midcap,1.1801,0.7321
2026-09-23,SHILPAMED,healthcare,midcap,1.6257,0.6639
2026-09-24,SHILPAMED,healthcare,midcap,-1.3515,0.6717
2026-09-25,SHILPAMED,healthcare,midcap,-0.7492,0.6512
2026-09-21,AJANTPHARM,healthcare,largecap,-0.6033,1.1724
2026-09-22,AJANTPHARM,healthcare,largecap,-1.2431,0.9183
2026-09-23,AJANTPHARM,healthcare,largecap,0.1263,0.2634
2026-09-24,AJANTPHARM,healthcare,largecap,-0.6763,0.3203
2026-09-25,AJANTPHARM,healthcare,largecap,-0.4434,0.3991
2026-09-21,RPGLIFE,healthcare,smallcap,-1.5059,0.2228
2026-09-22,RPGLIFE,healthcare,smallcap,-1.9804,0.319
2026-09-23,RPGLIFE,healthcare,smallcap,7.9575,6.006
2026-09-24,RPGLIFE,healthcare,smallcap,3.4792,2.5895
2026-09-25,RPGLIFE,healthcare,smallcap,8.8567,4.529
2026-09-21,AUROPHARMA,healthcare,largecap,-1.188,0.694
2026-09-22,AUROPHARMA,healthcare,largecap,-1.9608,0.6699
2026-09-23,AUROPHARMA,healthcare,largecap,-0.7209,0.7331
2026-09-24,AUROPHARMA,healthcare,largecap,-1.0381,0.6318
2026-09-25,AUROPHARMA,healthcare,largecap,-1.2687,0.4833
2026-09-21,INDSWFTLAB,healthcare,smallcap,1.6477,0.905
2026-09-22,INDSWFTLAB,healthcare,smallcap,8.6537,2.3725
2026-09-23,INDSWFTLAB,healthcare,smallcap,8.5198,0.9459
2026-09-24,INDSWFTLAB,healthcare,smallcap,7.5017,0.7487
2026-09-25,INDSWFTLAB,healthcare,smallcap,8.3322,0.5148
2026-09-21,APOLLOHOSP,healthcare,largecap,-0.3634,0.5611
2026-09-22,APOLLOHOSP,healthcare,largecap,-1.2186,0.9379
2026-09-23,APOLLOHOSP,healthcare,largecap,1.3919,1.12
2026-09-24,APOLLOHOSP,healthcare,largecap,-0.6261,1.0212
2026-09-25,APOLLOHOSP,healthcare,largecap,-0.6205,1.1666
2026-09-21,BAFNAPH,healthcare,smallcap,1.9861,0.0344
2026-09-22,BAFNAPH,healthcare,smallcap,4.0195,0.0429
2026-09-23,BAFNAPH,healthcare,smallcap,6.0845,0.0485
2026-09-24,BAFNAPH,healthcare,smallcap,8.1967,0.0625
2026-09-25,BAFNAPH,healthcare,smallcap,10.3562,0.1836
2026-09-21,CAPLIPOINT,healthcare,largecap,0.2911,0.7576
2026-09-22,CAPLIPOINT,healthcare,largecap,1.0442,0.976
2026-09-23,CAPLIPOINT,healthcare,largecap,1.6445,0.53
2026-09-24,CAPLIPOINT,healthcare,largecap,4.3222,9.9851
2026-09-25,CAPLIPOINT,healthcare,largecap,3.1471,1.4524
2026-09-21,MOREPENLAB,healthcare,midcap,1.1993,1.9802
2026-09-22,MOREPENLAB,healthcare,midcap,-1.5385,1.1452
2026-09-23,MOREPENLAB,healthcare,midcap,1.1993,1.2402
2026-09-24,MOREPENLAB,healthcare,midcap,-3.5567,1.012
2026-09-25,MOREPENLAB,healthcare,midcap,-0.4301,0.9868
2026-09-21,TORNTPHARM,healthcare,largecap,2.686,0.9216
2026-09-22,TORNTPHARM,healthcare,largecap,1.9628,0.6228
2026-09-23,TORNTPHARM,healthcare,largecap,2.9959,0.7875
2026-09-24,TORNTPHARM,healthcare,largecap,1.8285,0.6501
2026-09-25,TORNTPHARM,healthcare,largecap,3.0682,0.9806
2026-09-21,BLISSGVS,healthcare,midcap,-2.9772,0.0777
2026-09-22,BLISSGVS,healthcare,midcap,1.8699,0.1469
2026-09-23,BLISSGVS,healthcare,midcap,2.5446,0.0633
2026-09-24,BLISSGVS,healthcare,midcap,0.7626,0.0663
2026-09-25,BLISSGVS,healthcare,midcap,3.3512,0.1803
2026-09-21,WOCKPHARMA,healthcare,largecap,4.8512,1.3894
2026-09-22,WOCKPHARMA,healthcare,largecap,4.7601,0.7873
2026-09-23,WOCKPHARMA,healthcare,largecap,11.6773,2.968
2026-09-24,WOCKPHARMA,healthcare,largecap,9.664,0.6371
2026-09-25,WOCKPHARMA,healthcare,largecap,8.6046,0.5321
2026-09-21,ZYDUSLIFE,healthcare,largecap,0.0862,0.7968
2026-09-22,ZYDUSLIFE,healthcare,largecap,0.1983,1.1428
2026-09-23,ZYDUSLIFE,healthcare,largecap,0.8707,0.998
2026-09-24,ZYDUSLIFE,healthcare,largecap,1.75,1.7947
2026-09-25,ZYDUSLIFE,healthcare,largecap,3.7845,1.8117
2026-09-21,SMSPHARMA,healthcare,smallcap,5.3166,4.0892
2026-09-22,SMSPHARMA,healthcare,smallcap,9.1207,3.462
2026-09-23,SMSPHARMA,healthcare,smallcap,9.0304,1.4486
2026-09-24,SMSPHARMA,healthcare,smallcap,7.0211,0.9214
2026-09-25,SMSPHARMA,healthcare,smallcap,7.2356,0.6623
2026-09-21,LALPATHLAB,healthcare,largecap,1.2389,0.5589
2026-09-22,LALPATHLAB,healthcare,largecap,0.6801,0.683
2026-09-23,LALPATHLAB,healthcare,largecap,1.4445,0.6003
2026-09-24,LALPATHLAB,healthcare,largecap,3.395,1.1178
2026-09-25,LALPATHLAB,healthcare,largecap,2.9206,1.1732
2026-09-21,LAURUSLABS,healthcare,largecap,3.2497,1.0131
2026-09-22,LAURUSLABS,healthcare,largecap,2.6868,0.6929
2026-09-23,LAURUSLABS,healthcare,largecap,4.0942,0.635
2026-09-24,LAURUSLABS,healthcare,largecap,3.695,0.6459
2026-09-25,LAURUSLABS,healthcare,largecap,2.7124,0.673
2026-09-21,GRANULES,healthcare,largecap,-0.04,0.5334
2026-09-22,GRANULES,healthcare,largecap,-1.3078,0.5731
2026-09-23,GRANULES,healthcare,largecap,-1.7419,0.3534
2026-09-24,GRANULES,healthcare,largecap,-2.57,0.2942
2026-09-25,GRANULES,healthcare,largecap,-0.7824,0.5383
2026-09-21,DIVISLAB,healthcare,largecap,0.3787,0.9695
