Date,Up 4.5%+ today,Down 4.5%+ today,Up 20%+ in 5d,Down 20%+ in 5d,Above 20dma,Below 20dma,Above 50dma,Below 50dma,Above 200dma,Below 200dma
2026-09-25,108,24,24,6,818,1450,889,1379,1102,1166
2026-09-24,53,85,31,3,781,1488,851,1418,1092,1177
2026-09-23,157,10,39,3,1058,1211,1027,1242,1184,1085
2026-09-22,103,21,26,2,861,1408,922,1347,1123,1146
2026-09-21,143,28,17,0,852,1419,936,1335,1131,1140
2026-09-18,167,25,16,5,849,1420,909,1360,1124,1145
2026-09-17,123,22,11,3,605,1665,767,1503,1069,1201
2026-09-16,76,61,15,3,483,1787,709,1561,1041,1229
2026-09-15,43,345,17,7,475,1796,703,1568,1035,1236
2026-09-11,74,36,29,4,791,1479,964,1306,1179,1091
2026-09-10,96,52,32,5,871,1399,1026,1244,1189,1081
2026-09-09,107,58,41,4,915,1357,1066,1206,1208,1064
2026-09-08,114,37,39,1,965,1307,1077,1195,1249,1023
2026-09-07,120,39,30,1,936,1336,1073,1199,1254,1018
2026-09-04,129,25,25,2,1026,1246,1179,1093,1265,1007
2026-09-03,133,14,33,2,961,1311,1117,1155,1251,1021
2026-09-02,79,21,23,3,815,1456,1000,1272,1226,1046
2026-09-01,76,53,28,2,881,1390,1082,1189,1254,1017
2026-08-31,93,53,18,2,1014,1255,1183,1086,1263,1006
2026-08-28,125,19,19,3,1113,1158,1260,1011,1309,962
2026-08-27,59,41,22,4,1065,1205,1231,1039,1295,975
2026-08-26,116,16,21,4,1170,1101,1302,969,1332,939
2026-08-25,71,39,22,3,1096,1172,1253,1017,1305,965
2026-08-24,110,38,25,2,1049,1221,1246,1025,1287,984
2026-08-21,100,21,28,3,1096,1175,1268,1003,1289,982
2026-08-20,125,26,35,6,1078,1192,1253,1017,1282,988
2026-08-19,73,41,24,6,940,1331,1142,1129,1245,1026
2026-08-18,110,36,27,7,1025,1246,1227,1044,1268,1003
2026-08-17,130,79,34,10,1087,1184,1235,1036,1283,988
2026-08-14,85,75,29,9,1137,1130,1272,995,1299,968
2026-08-13,115,68,32,6,1194,1074,1318,951,1318,951
2026-08-12,101,91,29,5,1186,1082,1329,940,1317,952
2026-08-11,102,68,30,3,1265,1003,1374,895,1359,910
2026-08-10,120,71,31,3,1336,931,1427,842,1371,898
2026-08-07,84,69,35,3,1386,882,1428,841,1373,896
2026-08-06,100,50,42,3,1448,819,1452,816,1360,908
2026-08-05,129,37,31,3,1469,799,1453,816,1366,903
2026-08-04,113,41,29,3,1349,919,1370,899,1332,938
2026-08-03,206,29,20,6,1389,879,1385,884,1336,934
2026-07-31,124,31,16,6,1072,1194,1215,1052,1248,1020
2026-07-30,39,64,12,8,929,1337,1149,1118,1217,1051
2026-07-29,111,40,11,5,1044,1222,1229,1038,1231,1037
2026-07-28,46,89,10,5,881,1384,1132,1134,1175,1092
2026-07-27,143,30,19,4,1079,1188,1240,1028,1223,1046
2026-07-24,71,33,16,4,760,1506,1094,1173,1197,1071
2026-07-23,63,48,14,4,788,1477,1075,1191,1177,1090
2026-07-22,48,70,13,1,956,1310,1223,1044,1212,1056
2026-07-21,100,21,10,2,1192,1073,1351,914,1283,983
2026-07-20,86,26,9,4,1152,1113,1349,916,1267,999
2026-07-17,29,62,7,3,1089,1176,1303,962,1249,1017
2026-07-16,56,36,13,2,1183,1080,1361,902,1257,1007
2026-07-15,79,28,23,1,1243,1018,1388,873,1289,973
2026-07-14,53,39,17,2,1186,1073,1361,899,1271,990
2026-07-13,132,16,14,2,1404,858,1493,770,1303,961
2026-07-10,135,9,12,2,1349,911,1448,812,1280,981
2026-07-09,182,7,10,2,1049,1212,1278,983,1209,1053
2026-07-08,32,167,8,1,754,1505,1117,1142,1141,1119
2026-07-07,36,71,13,1,1267,992,1419,840,1283,977
