"Date","Symbol","Market cap","Category","Sector","Industry","% change","Volume"
"4th Sep'26 3:29:00","IDEA",162731.24,"largecap","telecom-service","telecommunications - service provider",3.73,525960563
"4th Sep'26 3:29:00","TATACAP",159203.81,"largecap","financials","finance & investments",0.861,1331842
"4th Sep'26 3:29:00","APLAPOLLO",62473.14,"largecap","industrials","steel - large",4.2,955928
"4th Sep'26 3:29:00","MOTILALOFS",62442.61,"largecap","financials","finance & investments",2.39,807197
"4th Sep'26 3:29:00","WOCKPHARMA",33939.74,"largecap","healthcare","pharmaceuticals - indian - bulk drugs & formln",7.08,3557646
"4th Sep'26 3:29:00","LICHSGFIN",30916.29,"largecap","financials","finance - housing",1.45,7126780
"4th Sep'26 3:29:00","ABSLAMC",30679.88,"largecap","financials","finance & investments",1.64,127937
"4th Sep'26 3:29:00","CDSL",29147.14,"largecap","financials","miscellaneous",0.043,1117172
"4th Sep'26 3:29:00","PFOCUS",23838.26,"largecap","realty","miscellaneous",5.26,1960283
"4th Sep'26 3:29:00","IGL",22125.63,"largecap","energy","miscellaneous",5.77,8174532
"4th Sep'26 3:29:00","ELGIEQUIP",20348.73,"largecap","industrials","compressors / drilling equipment",1.86,691967
"4th Sep'26 3:29:00","USHAMART",15668.31,"midcap","metals & mining","steel - medium / small",-0.291,1631592
"4th Sep'26 3:29:00","CANHLIFE",14936.85,"midcap","financials","finance & investments",1.89,1086892
"4th Sep'26 3:29:00","SPLPETRO",14498.93,"midcap","energy","petrochemicals",6.23,1726190
"4th Sep'26 3:29:00","JSWDULUX",14456.77,"midcap","building materials","paints / varnishes",0.218,24093
"4th Sep'26 3:29:00","MANYAVAR",14437.71,"midcap","consumer discretionary","textiles - products",4.58,775723
"4th Sep'26 3:29:00","HOMEFIRST",12648.6,"midcap","financials","finance - housing",0.724,128463
"4th Sep'26 3:29:00","SOUTHBANK",12380.83,"midcap","bank","banks - private sector",-0.86,8819050
"4th Sep'26 3:29:00","MANORAMA",11902.3,"midcap","fmcg","food - processing - indian",1.38,521970
"4th Sep'26 3:29:00","TITAGARH",11741.53,"midcap","industrials","engineering",3.28,3001183
"4th Sep'26 3:29:00","PCJEWELLER",11516.69,"midcap","consumer discretionary","diamond cutting / jewellery",12.74,1088942848
"4th Sep'26 3:29:00","SHREEJISPG",11080.89,"midcap","transportation","shipping",2.39,2336669
"4th Sep'26 3:29:00","NCC",9398.86,"midcap","realty","construction",1.67,2168692
"4th Sep'26 3:29:00","SMLMAH",9114.97,"midcap","auto","automobiles - lcvs / hcvs",10,427607
"4th Sep'26 3:29:00","ICIL",8908.48,"midcap","textiles","textiles - cotton/blended",2.85,621520
"4th Sep'26 3:29:00","KSHINTL",7370.47,"midcap","metals & mining","mining / minerals / metals",6.37,542413
"4th Sep'26 3:29:00","SKIPPER",7218.95,"midcap","industrials","engineering",8.08,10118419
"4th Sep'26 3:29:00","PAISALO",6739.56,"midcap","financials","finance & investments",5.44,31201929
"4th Sep'26 3:29:00","GSFC",6490.4,"midcap","chemicals","fertilizers",0.63,1107016
"4th Sep'26 3:29:00","SBCL",6458.01,"midcap","metals & mining","mining / minerals / metals",-3.01,810275
"4th Sep'26 3:29:00","SMARTWORKS",6187.29,"midcap","co-working","miscellaneous",1.9,44075
"4th Sep'26 3:29:00","FEDFINA",6056.98,"midcap","financials","finance & investments",2.34,818017
"4th Sep'26 3:29:00","PURVA",5471.52,"midcap","realty","construction",9.3,17390475
"4th Sep'26 3:29:00","GMMPFAUDLR",5160.64,"midcap","industrials","engineering",6.93,1049404
"4th Sep'26 3:29:00","AYE",4560.82,"smallcap","financials","finance & investments",2.33,1223851
"4th Sep'26 3:29:00","VIPIND",4461.14,"smallcap","plastic products","moulded luggage",1.19,440277
"4th Sep'26 3:29:00","ROSSTECH",4336.98,"smallcap","aerospace & defence","engineering",3.06,234989
"4th Sep'26 3:29:00","63MOONS",4038.78,"smallcap","i.t","computers - software - medium / small",2.97,1136718
"4th Sep'26 3:29:00","SMSPHARMA",3675.84,"smallcap","healthcare","pharmaceuticals - indian - bulk drugs",4.9,473075
"4th Sep'26 3:29:00","RML",3581.5,"smallcap","auto","auto ancillaries",14.95,2195205
