"Date","Symbol","Current price","Market cap","Category","Sector","Industry","% change","Volume"
"4th Sep'26 3:29:00","ELCIDIN",107590,2151.8,"smallcap","financials","finance & investments",1.02,12
"4th Sep'26 3:29:00","ABBOTINDIA",26065,55386.31,"largecap","healthcare","pharmaceuticals - multinational",0.463,8803
"4th Sep'26 3:29:00","CERA",5787.5,7464.45,"midcap","building materials","ceramics - tiles / sanitaryware",1.83,19476
"4th Sep'26 3:29:00","HESTERBIO",2405.4,2046.24,"smallcap","healthcare","pharmaceuticals - indian - formulations",9.25,93542
"4th Sep'26 3:29:00","GODFRYPHLP",2051,31991.86,"largecap","fmcg","cigarettes",0.293,100359
"4th Sep'26 3:29:00","COROMANDEL",1938.8,57197.79,"largecap","chemicals","fertilizers",0.388,143726
"4th Sep'26 3:29:00","KERNEX",1817,3053.22,"smallcap","consumer discretionary","electronics - components",6.28,852400
"4th Sep'26 3:29:00","SBILIFE",1775,178075.19,"largecap","financials","finance & investments",3.5,1720166
"4th Sep'26 3:29:00","IKS",1759.9,30195.16,"largecap","i.t","computers - software - medium / small",1.59,220451
"4th Sep'26 3:29:00","AKCAPIT",1736.9,1146.35,"smallcap","financials","finance & investments",2.33,674
"4th Sep'26 3:29:00","ASTRAMICRO",1729,16415.99,"midcap","aerospace & defence","telecommunications - equipment",3.84,502645
"4th Sep'26 3:29:00","TATVA",1678.5,3926.36,"smallcap","chemicals","chemicals",5.16,85803
"4th Sep'26 3:29:00","AFFLE",1616.5,22759.74,"largecap","i.t","computers - software - medium / small",6.4,3213241
"4th Sep'26 3:29:00","CHOLAHLDNG",1525.7,28649.21,"largecap","financials","finance & investments",1.52,77666
"4th Sep'26 3:29:00","ABREL",1373.6,15342.52,"midcap","realty","construction",-0.24,68679
"4th Sep'26 3:29:00","ERIS",1321.7,18315.92,"midcap","healthcare","pharmaceuticals - indian - formulations",1.4,69111
"4th Sep'26 3:29:00","IFBIND",1305.7,5290.54,"midcap","consumer discretionary","domestic appliances",-0.465,19145
"4th Sep'26 3:29:00","AAVAS",1304.2,10340.71,"midcap","financials","finance - housing",0.493,60456
"4th Sep'26 3:29:00","GODREJIND",1163.5,39187.24,"largecap","chemicals","chemicals",0.797,60778
"4th Sep'26 3:29:00","MGL",1096.6,10831.97,"midcap","energy","miscellaneous",2.83,288338
"4th Sep'26 3:29:00","THACKER",1050,114.21,"smallcap","miscellaneous","diversified - medium / small",4.79,38
"4th Sep'26 3:29:00","INDUSINDBK",1008.5,78575.54,"largecap","bank","banks - private sector",0.368,1321066
"4th Sep'26 3:29:00","TECHNOE",979.5,11391.54,"midcap","realty","engineering - turnkey services",0.601,82871
"4th Sep'26 3:29:00","CANFINHOME",807.4,10750.9,"midcap","financials","finance - housing",0.304,222474
"4th Sep'26 3:29:00","GOKEX",789.2,5782.75,"midcap","consumer discretionary","textiles - products",2.81,472178
"4th Sep'26 3:29:00","IDEAFORGE",777.05,3860.82,"smallcap","aerospace & defence","engineering",0.064,208626
"4th Sep'26 3:29:00","CAMS",748.8,18585.57,"midcap","financials","miscellaneous",0.187,469646
"4th Sep'26 3:29:00","GOODYEAR",741.5,1710.38,"smallcap","auto","tyres",0.652,2498
"4th Sep'26 3:29:00","ASALCBR",706.35,1418.29,"smallcap","fmcg","breweries & distilleries",1.48,14302
"4th Sep'26 3:29:00","HBLENGINE",695.75,19285.84,"midcap","auto","auto ancillaries",4.54,14312325
"4th Sep'26 3:29:00","HSCL",671.05,33857.26,"largecap","chemicals","chemicals",1.37,2597175
"4th Sep'26 3:29:00","BUTTERFLY",624.85,1117.2,"smallcap","consumer discretionary","domestic appliances",1.83,11660
"4th Sep'26 3:29:00","ASTAR",585,936.4,"smallcap","consumer discretionary","diamond cutting / jewellery",1.12,9
"4th Sep'26 3:29:00","TRITURBINE",577.3,18352.08,"midcap","industrials","electric equipment",0.98,254725
"4th Sep'26 3:29:00","HDFCLIFE",546.4,118704.03,"largecap","financials","finance & investments",2.42,6016219
"4th Sep'26 3:29:00","RAYMONDREL",529.15,3522.75,"smallcap","realty","construction",-1.42,936640
"4th Sep'26 3:29:00","POWERICA",525.05,6644.61,"midcap","industrials","electric equipment",2.36,291923
"4th Sep'26 3:29:00","LANDMARK",510.15,2115.33,"smallcap","consumer discretionary","trading",2.44,79884
"4th Sep'26 3:29:00","SAREGAMA",492.75,9500.69,"midcap","media","entertainment / electronic media software",-0.182,353123
"4th Sep'26 3:29:00","CAPILLARY",490.05,3894.52,"smallcap","i.t","computers - software - medium / small",2.08,109289
"4th Sep'26 3:29:00","JASH",478.5,3023.82,"smallcap","industrials","engineering",3.09,280288
"4th Sep'26 3:29:00","SUNTV",470.9,18557.44,"midcap","media","entertainment / electronic media software",1.07,846938
"4th Sep'26 3:29:00","SANATHAN",456.2,3850.51,"smallcap","textiles","textiles - cotton/blended",5.35,330832
"4th Sep'26 3:29:00","AMBUJACEM",405,100635.1,"largecap","building materials","cement - north india",0,807422
"4th Sep'26 3:29:00","DBL",401,6514.04,"midcap","realty","construction",0.615,58236
"4th Sep'26 3:29:00","HGS",399.25,1857.32,"smallcap","i.t","computers - software - medium / small",1.59,9933
"4th Sep'26 3:29:00","PFC",355.6,117351.62,"largecap","financials","finance - term-lending institutions",2.92,19206290
"4th Sep'26 3:29:00","NTPC",332.5,322414.15,"largecap","power & utilities","power generation and supply",0.483,7032282
"4th Sep'26 3:29:00","NIPPOBATRY",331.75,248.81,"smallcap","industrials","dry cells",2.39,2225
"4th Sep'26 3:29:00","TMPV",311.5,114712.46,"largecap","auto","automobiles - passenger cars",-0.16,4010174
"4th Sep'26 3:29:00","BORANA",307.6,819.61,"smallcap","textiles","textiles - processing",2.41,11240
"4th Sep'26 3:29:00","HPL",304.15,1955.7,"smallcap","industrials","electric equipment",0.297,97614
"4th Sep'26 3:29:00","ANGELONE",299.8,27387.3,"largecap","financials","finance & investments",4.83,29274355
"4th Sep'26 3:29:00","MASFIN",295,5352.87,"midcap","financials","finance & investments",0.786,69659
"4th Sep'26 3:29:00","OSWALPUMPS",279.2,3183.02,"smallcap","industrials","pumps",-0.125,858028
"4th Sep'26 3:29:00","DENTA",275.35,735.18,"smallcap","realty","construction",1.83,56286
"4th Sep'26 3:29:00","ITI",272.5,26237.72,"largecap","aerospace & defence","telecommunications - equipment",1.51,264152
"4th Sep'26 3:29:00","PPL",262,626.66,"smallcap","plastic products","plastics products",1.79,23505
"4th Sep'26 3:29:00","BGRENERGY",246.26,1777.05,"smallcap","realty","engineering - turnkey services",3.28,42914
"4th Sep'26 3:29:00","JWL",243.24,10395.36,"midcap","industrials","engineering",0.892,1056588
"4th Sep'26 3:29:00","RITES",215.8,10371.43,"midcap","miscellaneous","miscellaneous",0.945,278299
"4th Sep'26 3:29:00","ALLTIME",206.08,1349.98,"smallcap","plastic products","plastics products",3.15,171524
