"Date","Symbol","Sector","Market cap","1 week %","Vol > yr avg"
"4th Sep'26 3:29:00","RML","auto","smallcap",15.02,45.75
"4th Sep'26 3:29:00","JINDWORLD","textiles","midcap",51.9,31.43
"4th Sep'26 3:29:00","RBZJEWEL","consumer discretionary","smallcap",37.27,26.27
"4th Sep'26 3:29:00","IFCI","financials","largecap",12.69,11.64
"4th Sep'26 3:29:00","ANTELOPUS","energy","smallcap",21.57,11.26
"4th Sep'26 3:29:00","DIFFNKG","industrials","smallcap",15.55,9.85
"4th Sep'26 3:29:00","BODALCHEM","chemicals","smallcap",57.06,9.66
"4th Sep'26 3:29:00","SYNCOMF","healthcare","smallcap",5.76,6.05
"4th Sep'26 3:29:00","RRKABEL","industrials","largecap",-15.53,5.97
"4th Sep'26 3:29:00","OAL","chemicals","smallcap",6.58,5.84
"4th Sep'26 3:29:00","GLOBAL","services","smallcap",10.51,5.03
"4th Sep'26 3:29:00","INOXINDIA","industrials","largecap",5.72,4.82
"4th Sep'26 3:29:00","INDORAMA","textiles","smallcap",14.63,4.77
"4th Sep'26 3:29:00","MANALIPETC","energy","smallcap",18.27,4.74
"4th Sep'26 3:29:00","IRISDOREME","consumer discretionary","smallcap",8.31,4.51
"4th Sep'26 3:29:00","TEJASNET","telecom","midcap",11.63,4.25
"4th Sep'26 3:29:00","SMLMAH","auto","midcap",21.44,4.12
"4th Sep'26 3:29:00","PREMIERPOL","plastic products","smallcap",1.6,4.11
"4th Sep'26 3:29:00","OMAXE","realty","smallcap",3.52,3.82
"4th Sep'26 3:29:00","ACMESOLAR","realty","largecap",6.17,3.74
"4th Sep'26 3:29:00","PVP","realty","smallcap",4.17,3.73
"4th Sep'26 3:29:00","DEEPINDS","energy","midcap",16.61,3.56
"4th Sep'26 3:29:00","MODISONLTD","industrials","smallcap",13.84,3.53
"4th Sep'26 3:29:00","DYCL","industrials","smallcap",0.061,3.21
"4th Sep'26 3:29:00","RAYMOND","transportation","smallcap",18.19,3.16
"4th Sep'26 3:29:00","PAISALO","financials","midcap",9.68,2.92
"4th Sep'26 3:29:00","MMP","metals & mining","smallcap",-0.062,2.88
"4th Sep'26 3:29:00","AYMSYNTEX","textiles","smallcap",22.13,2.82
"4th Sep'26 3:29:00","TBZ","consumer discretionary","smallcap",59.38,2.81
"4th Sep'26 3:29:00","WHEELS","auto","smallcap",11.45,2.61
"4th Sep'26 3:29:00","SETL","industrials","midcap",12.29,2.61
"4th Sep'26 3:29:00","MANAKSTEEL","metals & mining","smallcap",13.2,2.57
"4th Sep'26 3:29:00","PARACABLES","industrials","smallcap",5.03,2.54
"4th Sep'26 3:29:00","SBCL","metals & mining","midcap",6.85,2.37
"4th Sep'26 3:29:00","BIRLACABLE","industrials","smallcap",27.6,2.35
"4th Sep'26 3:29:00","EBGNG","services","midcap",-5.33,2.19
"4th Sep'26 3:29:00","SHREEJISPG","transportation","midcap",4.24,2.17
"4th Sep'26 3:29:00","RPEL","building materials","midcap",3.36,2.14
"4th Sep'26 3:29:00","MOREPENLAB","healthcare","midcap",7.11,2.08
"4th Sep'26 3:29:00","CYIENTDLM","aerospace & defence","midcap",4.62,1.9
"4th Sep'26 3:29:00","AVALON","consumer discretionary","midcap",-1.57,1.83
"4th Sep'26 3:29:00","KAPSTON","miscellaneous","smallcap",4.44,1.82
"4th Sep'26 3:29:00","RATNAVEER","metals & mining","smallcap",3.32,1.76
"4th Sep'26 3:29:00","RAMRAT","metals & mining","midcap",-5.28,1.72
"4th Sep'26 3:29:00","FCL","chemicals","midcap",2.96,1.72
"4th Sep'26 3:29:00","SEAMECLTD","miscellaneous","smallcap",6.98,1.67
"4th Sep'26 3:29:00","KOPRAN","healthcare","smallcap",15.26,1.63
"4th Sep'26 3:29:00","VINDHYATEL","realty","smallcap",5.69,1.6
"4th Sep'26 3:29:00","UNIMECH","aerospace & defence","midcap",-0.027,1.59
"4th Sep'26 3:29:00","SSWL","auto","midcap",22.45,1.59
"4th Sep'26 3:29:00","UNITEDPOLY","textiles","smallcap",7.37,1.58
"4th Sep'26 3:29:00","ASIANENE","energy","smallcap",7.62,1.55
"4th Sep'26 3:29:00","NPST","i.t","smallcap",1.04,1.54
"4th Sep'26 3:29:00","IOLCP","healthcare","midcap",2.56,1.53
"4th Sep'26 3:29:00","APCOTEXIND","chemicals","smallcap",1.64,1.52
"4th Sep'26 3:29:00","UNIPARTS","industrials","smallcap",0.103,1.51
"4th Sep'26 3:29:00","UEL","power & utilities","smallcap",27.61,1.49
"4th Sep'26 3:29:00","NRL","services","smallcap",1.54,1.42
"4th Sep'26 3:29:00","QUESS","miscellaneous","midcap",-4.7,1.41
"4th Sep'26 3:29:00","ATHERENERG","auto","largecap",-2,1.38
"4th Sep'26 3:29:00","WELCORP","industrials","largecap",9.13,1.32
"4th Sep'26 3:29:00","KABRAEXTRU","industrials","smallcap",-4.03,1.3
"4th Sep'26 3:29:00","RISHABH","industrials","smallcap",6.77,1.27
"4th Sep'26 3:29:00","MARINE","industrials","midcap",6.23,1.26
"4th Sep'26 3:29:00","IKIO","consumer discretionary","smallcap",-0.646,1.24
"4th Sep'26 3:29:00","IBULLSLTD","miscellaneous","midcap",-2.43,1.22
"4th Sep'26 3:29:00","MACPOWER","industrials","smallcap",-5.09,1.19
"4th Sep'26 3:29:00","KENNAMET","industrials","midcap",2.36,1.16
"4th Sep'26 3:29:00","BLUSPRING","miscellaneous","smallcap",9.05,1.12
"4th Sep'26 3:29:00","SALSTEEL","metals & mining","smallcap",8.26,1.05
"4th Sep'26 3:29:00","BHAGERIA","chemicals","smallcap",27.6,1.05
"4th Sep'26 3:29:00","GAYAPROJ","realty","smallcap",-1.76,1
"4th Sep'26 3:29:00","SAILIFE","healthcare","largecap",6.69,1
"4th Sep'26 3:29:00","DIVGIITTS","auto","smallcap",5.16,0.992
"4th Sep'26 3:29:00","GHCLTEXTIL","textiles","smallcap",4.53,0.988
"4th Sep'26 3:29:00","CONFIPET","miscellaneous","smallcap",3.27,0.979
"4th Sep'26 3:29:00","JGCHEM","chemicals","smallcap",-8.16,0.924
"4th Sep'26 3:29:00","VALIANTLAB","healthcare","smallcap",6.34,0.917
"4th Sep'26 3:29:00","TFCILTD","financials","midcap",1.94,0.9
"4th Sep'26 3:29:00","SOTL","energy","midcap",6.86,0.897
"4th Sep'26 3:29:00","UFLEX","industrials","smallcap",6.5,0.896
"4th Sep'26 3:29:00","HAPPYFORGE","industrials","largecap",-2.97,0.892
"4th Sep'26 3:29:00","AEROENTER","metals & mining","smallcap",-3.06,0.89
"4th Sep'26 3:29:00","AVADHSUGAR","fmcg","smallcap",-2.48,0.871
"4th Sep'26 3:29:00","MARKSANS","healthcare","midcap",-0.895,0.862
"4th Sep'26 3:29:00","INDSWFTLAB","healthcare","smallcap",-1.92,0.855
"4th Sep'26 3:29:00","PRECWIRE","metals & mining","midcap",-6.81,0.84
"4th Sep'26 3:29:00","LOKESHMACH","industrials","smallcap",16.69,0.812
"4th Sep'26 3:29:00","SAKAR","healthcare","smallcap",15.78,0.793
"4th Sep'26 3:29:00","SHILPAMED","healthcare","midcap",6.68,0.739
"4th Sep'26 3:29:00","NGLFINE","healthcare","smallcap",3.34,0.738
"4th Sep'26 3:29:00","SPORTKING","textiles","smallcap",2.82,0.724
"4th Sep'26 3:29:00","JTLIND","metals & mining","smallcap",2,0.708
"4th Sep'26 3:29:00","FILATEX","textiles","smallcap",-1.48,0.601
"4th Sep'26 3:29:00","INDOBORAX","chemicals","smallcap",4,0.571
"4th Sep'26 3:29:00","ZIMLAB","healthcare","smallcap",0.032,0.55
"4th Sep'26 3:29:00","LAURUSLABS","healthcare","largecap",-5.08,0.509
"4th Sep'26 3:29:00","KANORICHEM","chemicals","smallcap",-2.32,0.5
"4th Sep'26 3:29:00","MAHASTEEL","metals & mining","smallcap",-3.55,0.492
"4th Sep'26 3:29:00","SIGMAADV","aerospace & defence","midcap",-1.89,0.419
