"Date","Abv 10ma","Abv 20ma","Abv 50ma","Abv 200ma"
"4th Sep'26",46.23,44.32,48.09,48.98
"3rd Sep'26",42.86,42.52,46.25,48.2
"2nd Sep'26",33.6,36.66,43.32,47.26
"1st Sep'26",35.97,39.36,44.75,48.6
"31st Aug'26",41.28,43.82,47.71,49.15
"28th Aug'26",46.23,46.56,49.62,50.68
"27th Aug'26",41.9,44.19,47.71,50.04
"26th Aug'26",47.8,47.67,50.76,50.93
"25th Aug'26",44.21,44.6,48.54,50.02
"24th Aug'26",44.1,45.2,48.67,49.98
"21st Aug'26",45.65,45.48,49.38,49.47
"20th Aug'26",42.6,43.53,48.66,48.96
"19th Aug'26",36.65,39.87,45.81,48.01
"18th Aug'26",39.07,41.99,47.46,49.03
"17th Aug'26",40.45,42.57,47.4,48.75
"14th Aug'26",41.15,44.46,49.21,49.38
"13th Aug'26",44.74,46.94,51.23,50.08
"12th Aug'26",43.58,46.56,51.32,49.91
"11th Aug'26",48.32,49.72,53.25,51.42
"10th Aug'26",51.36,52.38,55.69,51.87
"7th Aug'26",55.28,55.11,55.57,52.3
"6th Aug'26",58.69,57.54,57.11,51.92
"5th Aug'26",62.17,58.43,58.04,52
"4th Aug'26",60.63,55.18,54.58,51.47
"3rd Aug'26",63.07,56.35,55.29,51.25
"31st Jul'26",44.92,42.49,47.95,47.99
"30th Jul'26",36.31,37.33,45.24,47.07
"29th Jul'26",43.39,41.9,49,48.05
"28th Jul'26",35.53,36.08,45.23,46
"27th Jul'26",42.88,43.14,49.49,47.31
"24th Jul'26",30.18,33.13,45.19,46.47
"23rd Jul'26",28.15,33.08,44.47,45.89
"22nd Jul'26",32.61,38.3,48.14,46.94
"21st Jul'26",43.33,46.54,52.95,49.66
"20th Jul'26",41.11,45.09,53.25,49.15
"17th Jul'26",36,42.34,51.41,48.67
"16th Jul'26",44.23,47.27,54.62,50.04
"15th Jul'26",45.61,50.02,55.63,50.41
"14th Jul'26",42.36,47.45,54.05,49.94
"13th Jul'26",56.08,55.52,59.28,51.26
"10th Jul'26",53.36,53.79,58.59,50.02
"9th Jul'26",39.97,43.96,52.1,47.69
"8th Jul'26",24.11,33.42,45.43,45.3
"7th Jul'26",45.88,50.9,57.98,49.96
"6th Jul'26",53.95,57.23,61.63,51.43
"3rd Jul'26",59.12,60.23,63.49,52.04
"2nd Jul'26",59.55,60.97,62.39,51.05
"1st Jul'26",50.13,54.47,58.03,48.93
"30th Jun'26",46.1,51.53,55.88,48
"29th Jun'26",38.93,46.17,54.65,47.19
"25th Jun'26",46.01,54.37,60.02,48.77
"24th Jun'26",59.87,62.54,63.32,50.73
"23rd Jun'26",59.12,63.3,63.43,49.46
"22nd Jun'26",73.32,71.73,68.74,51.82
"19th Jun'26",69.85,68,65.85,48.71
"18th Jun'26",73.13,69.72,65.68,47.72
"17th Jun'26",71.9,66.98,63.84,46.85
"16th Jun'26",73,65.81,61.93,45.65
"15th Jun'26",73.35,63.13,58.88,44.76
"12th Jun'26",53,46.78,49.29,41.82
"11th Jun'26",23.47,28.26,38.2,36.69
"10th Jun'26",30.79,34.5,42.66,39.21
"9th Jun'26",42.59,42.38,48.98,41.38
"8th Jun'26",27.43,32.82,41.65,38.46
"5th Jun'26",42.91,44.89,51.01,41.74
"4th Jun'26",43.41,44.7,50.04,41.34
"3rd Jun'26",39.14,42.33,49.83,40.39
"2nd Jun'26",40.83,43.58,51.42,41.39
"1st Jun'26",34.32,39.66,48.77,39.66
"29th May'26",44.45,48.47,55.98,41.91
"27th May'26",57.7,57.14,61.55,44.37
"26th May'26",57.1,56.41,60.42,43.63
"25th May'26",58.36,56.34,60.12,43.19
"22nd May'26",43.82,46.41,54.19,40.19
"21st May'26",42.44,45.38,54.02,39.76
"20th May'26",34.25,40.73,50.93,38.1
"19th May'26",30.5,38.36,50.67,37.45
"18th May'26",21.12,30.15,45.59,34.67
"15th May'26",28.42,40.69,55.85,38.4
"14th May'26",32.11,45.62,57.88,39.79
"13th May'26",30.73,45.12,58.86,39.67
"12th May'26",23.65,40.55,57.16,37.83
"11th May'26",51.68,68.56,73.93,46.91
"8th May'26",74.1,82.43,81.83,50.76
"7th May'26",80.94,86,83.84,50.43
"6th May'26",75.67,83.28,80.73,46.89
"5th May'26",60.07,74.68,73.98,43.82
"4th May'26",64.6,77.25,75.7,42.84
"30th Apr'26",56.8,75.63,72.86,40.61
"29th Apr'26",67.11,80.18,76.42,41.24
"28th Apr'26",70.17,81.5,76.39,41.07
"27th Apr'26",76.67,85.36,77.96,40.81
"24th Apr'26",58.94,77.7,70.59,36.47
"23rd Apr'26",79.63,87.11,78.94,40.22
"22nd Apr'26",86.94,89.66,81.23,40.87
"21st Apr'26",86.29,89.1,78.63,37.07
"20th Apr'26",91.05,92.88,79.63,36.48
"17th Apr'26",96.11,95.52,84.31,37.86
"16th Apr'26",95.07,93.8,80.28,34.42
"15th Apr'26",95.98,93.76,76.13,32.32
"13th Apr'26",90.6,86.28,59.92,27.17
"10th Apr'26",95.12,90.09,63.68,26.41
"9th Apr'26",91.78,84.38,49.62,23.21
"8th Apr'26",94.22,86.27,48.96,22.81
"7th Apr'26",76.3,54.72,26.59,17.16
"6th Apr'26",74.62,46.85,22.37,16.79
"2nd Apr'26",57.66,31.68,17.62,15
"1st Apr'26",44.68,23.04,15.3,15.03
"30th Mar'26",10.15,9.43,9.7,12.27
"27th Mar'26",16.87,13.51,11.43,13.7
"25th Mar'26",38.79,22.64,15.15,15.11
"24th Mar'26",17.75,12.94,11.21,13.53
"23rd Mar'26",7.14,7.19,8.09,11.35
"20th Mar'26",24.9,17.99,15.04,15.49
"19th Mar'26",16.62,12.67,11.72,14.44
"18th Mar'26",39.64,23.82,16.86,17.45
"17th Mar'26",15.73,12.01,12.19,15.42
"16th Mar'26",10,9.41,10.95,14.66
"13th Mar'26",11.45,10.5,11.95,14.55
"12th Mar'26",25.07,18.7,17.47,17.47
"11th Mar'26",25.6,19.37,17.96,18.28
"10th Mar'26",24.11,18.88,17.83,18.47
"9th Mar'26",10.83,11.83,12.96,15.91
"6th Mar'26",17.71,16.85,17.85,18.81
"5th Mar'26",16.99,17.31,18.59,18.63
"4th Mar'26",9.11,11.48,15.89,17.21
"2nd Mar'26",14.16,18.02,19.84,20.34
"27th Feb'26",27.75,28.75,26.88,23.73
"26th Feb'26",33.68,32.95,29.71,24.83
"25th Feb'26",28.81,31.05,28.86,24.57
"24th Feb'26",24.86,28.25,26.51,24.18
"23rd Feb'26",31.76,34.53,30.98,25.61
"20th Feb'26",31.51,35.43,30.91,25.11
"19th Feb'26",30.12,35.1,31.08,25.41
"18th Feb'26",46.59,46.41,36.63,27.94
"17th Feb'26",43.46,43.69,34.68,26.99
"16th Feb'26",34.75,38.49,31.37,26.17
"13th Feb'26",39,42.53,32.86,25.99
"12th Feb'26",57.79,57.01,40.93,28.64
"11th Feb'26",71.54,66.09,45.23,29.84
"10th Feb'26",79.31,69.91,46.93,30.14
"9th Feb'26",77.2,66.65,42.85,29.28
"6th Feb'26",58.09,47.78,31.06,24.23
"5th Feb'26",62.79,49.68,30.98,24.56
"4th Feb'26",75.4,57.76,32.94,26.11
"3rd Feb'26",66.97,47.05,27.99,24.64
"2nd Feb'26",31.28,21.4,15.23,18.88
"1st Feb'26",30.95,20.7,14.1,17.81
"30th Jan'26",42.71,27.84,18.58,20.5
"29th Jan'26",30.47,20.38,15.37,18.72
"28th Jan'26",32.45,20.7,15.24,18.54
"27th Jan'26",14.9,11.33,11.33,16.45
