"Date","Breakouts","Breakdowns","Up close %","Down close %","New 52-wk high","New 52-wk low","Net nh-nl","15% 52wh","15% 52wl","Net 15% h-l","30% 52wh","30% 52 wl","Net 30% h-l"
"4th Sep'26",18.45,7.08,44.14,31.14,3.6,1.06,2.54,28.24,20.95,7.29,55,40.63,14.38
"3rd Sep'26",19.71,5,39.14,33.9,3.39,1.27,2.12,27.98,21.53,6.44,54.73,40.95,13.78
"2nd Sep'26",11.84,10.48,41.22,21.46,2.33,2.63,-0.297,26.3,22.32,3.99,54.22,41.41,12.81
"1st Sep'26",13.18,13.43,32.48,34.7,3.09,1.99,1.1,26.91,21.69,5.21,54.53,40.72,13.81
"31st Aug'26",14.9,14.48,39.77,36.84,3.77,2.75,1.02,27.27,21.13,6.14,54.53,39.84,14.69
"28th Aug'26",17.18,6.11,43.7,29.86,3.31,1.23,2.08,28.41,19.8,8.61,55.81,39.36,16.45
"27th Aug'26",11.11,10.01,34.35,39.41,2.5,1.19,1.31,27.27,20.23,7.04,55.17,39.61,15.56
"26th Aug'26",17.1,6.05,43.32,27.97,2.79,0.931,1.86,27.77,19.09,8.68,55.8,38.99,16.81
"25th Aug'26",12.42,9.5,34.13,33.04,2.37,1.48,0.89,27.68,19.33,8.35,55.45,39.04,16.41
"24th Aug'26",18.9,9.26,38.26,32.88,3.38,1.27,2.11,27.44,19.28,8.16,55.31,39.58,15.73
"21st Aug'26",16.12,6.79,41.05,26.88,2.67,0.806,1.87,27.66,19.18,8.49,55.54,39.46,16.08
"20th Aug'26",18.46,6.62,39.54,34.62,3.22,1.23,1.99,27.24,19.26,7.98,54.77,39.33,15.44
"19th Aug'26",14.07,9.92,35.54,36.75,2.67,1.86,0.805,26.61,19.32,7.29,54.36,40.64,13.73
"18th Aug'26",15.68,8.73,41.08,33.98,3.52,1.36,2.16,26.57,19.36,7.2,54.45,40.17,14.28
"17th Aug'26",17.53,14.02,43.72,37.76,2.92,1.86,1.06,26.34,18.81,7.54,54.81,39.64,15.16
"14th Aug'26",15.8,12.31,32.53,38.97,2.76,1.27,1.49,25.61,18.47,7.13,54.9,39.02,15.88
"13th Aug'26",18.72,11.71,39.68,38.04,3.01,1.19,1.83,26.27,17.83,8.45,55.26,38.29,16.98
"12th Aug'26",14.67,14.24,39.42,39.1,2.81,1.36,1.45,25.98,17.43,8.55,54.59,38.44,16.16
"11th Aug'26",15.43,10.79,42.15,42.13,3.53,1.23,2.29,26.73,16.83,9.9,54.95,37.99,16.96
"10th Aug'26",18.17,13.16,42.06,42.26,4.41,1.02,3.4,26.4,16.13,10.27,55.05,37.86,17.19
"7th Aug'26",14.94,10.85,38.18,42.75,3.15,0.979,2.17,26.34,15.53,10.81,54.89,38.13,16.77
"6th Aug'26",16.27,9.8,36.65,35.65,3.92,0.767,3.15,26.28,14.86,11.41,55.45,37.95,17.5
"5th Aug'26",17.87,7.62,43.1,30.73,3.83,0.638,3.19,26.38,15.36,11.02,54.85,37.49,17.36
"4th Aug'26",15.08,8.82,44.35,33.82,3.45,0.426,3.03,25.65,15.25,10.4,54.28,38.47,15.81
