"Date","4% advance","4% decline","Net breadth","3% range","5d range","Volume","+15% in 5d","-10% in 5d","10% + 10ema","10% - 10ema"
"4th Sep'26",8.14,2.21,5.94,46.06,7.38,0.466,2.33,1.74,2.25,0.721
"3rd Sep'26",7.72,1.7,6.02,46.25,6.91,0.396,2.33,1.57,2.08,0.848
"2nd Sep'26",4.88,2.25,2.63,43.19,6.36,0.339,1.82,2.25,1.61,0.933
"1st Sep'26",4.28,4.66,-0.381,38.81,8.05,0.405,2.16,1.57,1.86,0.932
"31st Aug'26",5.93,5.33,0.593,33.32,8.59,0.62,1.95,1.82,1.82,0.847
"28th Aug'26",7.51,1.82,5.68,50.25,12.34,0.307,2.37,1.4,1.82,0.636
"27th Aug'26",3.82,3.94,-0.127,46.18,12.47,0.322,2.76,1.53,1.4,0.678
"26th Aug'26",7.41,1.69,5.72,48.18,13.46,0.34,3.22,1.06,2.29,0.677
"25th Aug'26",4.24,3.14,1.1,47.9,13.44,0.35,2.5,1.48,1.74,0.721
"24th Aug'26",7.23,3.04,4.19,39.79,12.69,0.527,3,1.52,2.83,0.507
"21st Aug'26",6.62,1.82,4.79,47.98,12.3,0.434,3.01,2.04,1.91,0.424
"20th Aug'26",7.3,2.29,5.01,46.46,10.95,0.427,2.88,2.93,2.38,0.382
"19th Aug'26",5,3.64,1.36,44.36,10.25,0.408,2.88,3.14,1.91,0.593
"18th Aug'26",6.44,2.97,3.47,46.14,10.3,0.446,3.05,3.86,2.37,0.848
"17th Aug'26",7.67,5.29,2.37,40.79,9.61,0.567,3.13,4.19,3.05,1.02
"14th Aug'26",5.14,4.8,0.34,42.93,8.92,0.504,2.72,3.65,2.42,0.552
"13th Aug'26",7.43,4.46,2.97,41.85,9.25,0.622,2.76,3.06,2.29,0.679
"12th Aug'26",5.78,5.57,0.213,40.43,9.01,0.698,2.51,3.49,2.68,0.68
"11th Aug'26",6.5,4.55,1.96,45.09,9.9,0.677,3.14,2.8,3.02,0.552
"10th Aug'26",7.64,5.56,2.08,38.03,10.53,0.883,3.18,2.55,2.84,0.637
"7th Aug'26",5.7,4.64,1.06,45.66,10.17,0.652,3.74,1.7,2.34,0.638
