"Date","Symbol","% change"
"4th Sep'26 3:29:00","PVP",148.77
"4th Sep'26 3:29:00","BODALCHEM",128.79
"4th Sep'26 3:29:00","MOREPENLAB",111.41
"4th Sep'26 3:29:00","UEL",101.37
"4th Sep'26 3:29:00","BIRLACABLE",90.84
"4th Sep'26 3:29:00","TBZ",85.74
"4th Sep'26 3:29:00","DOLPHIN",78.8
"4th Sep'26 3:29:00","VALIANTLAB",72.31
"4th Sep'26 3:29:00","RATNAVEER",70.62
"4th Sep'26 3:29:00","MODISONLTD",70.09
"4th Sep'26 3:29:00","MARINE",69.6
"4th Sep'26 3:29:00","MAHASTEEL",69.34
"4th Sep'26 3:29:00","COMSYN",68.78
"4th Sep'26 3:29:00","KENNAMET",68.48
"4th Sep'26 3:29:00","PRABHA",64.88
"4th Sep'26 3:29:00","TFCILTD",64.16
"4th Sep'26 3:29:00","DEEPINDS",63.98
"4th Sep'26 3:29:00","SMLMAH",63.84
"4th Sep'26 3:29:00","WELCORP",62.23
"4th Sep'26 3:29:00","SUDEEPPHRM",61.1
"4th Sep'26 3:29:00","SHILPAMED",59.05
"4th Sep'26 3:29:00","SYNCOMF",57.22
"4th Sep'26 3:29:00","INDSWFTLAB",56.47
"4th Sep'26 3:29:00","OMAXE",55.58
"4th Sep'26 3:29:00","MOLDTECH",55.15
"4th Sep'26 3:29:00","AVADHSUGAR",54.09
"4th Sep'26 3:29:00","KABRAEXTRU",53.7
"4th Sep'26 3:29:00","JINDWORLD",52.02
"4th Sep'26 3:29:00","MANAKSTEEL",51.73
"4th Sep'26 3:29:00","INDORAMA",50.65
"4th Sep'26 3:29:00","MENONBE",50.35
"4th Sep'26 3:29:00","SETL",49.96
"4th Sep'26 3:29:00","MANINDS",49.53
"4th Sep'26 3:29:00","RBA",49.09
"4th Sep'26 3:29:00","ENTERO",48.63
"4th Sep'26 3:29:00","SBCL",48.35
"4th Sep'26 3:29:00","SHANTIGEAR",48.04
"4th Sep'26 3:29:00","MANYAVAR",47.7
"4th Sep'26 3:29:00","ARIES",46.64
"4th Sep'26 3:29:00","SIGMAADV",45.77
"4th Sep'26 3:29:00","ASIANENE",45.47
"4th Sep'26 3:29:00","VINDHYATEL",44.89
"4th Sep'26 3:29:00","IFCI",44.58
"4th Sep'26 3:29:00","BLISSGVS",44.43
"4th Sep'26 3:29:00","SALSTEEL",43.48
"4th Sep'26 3:29:00","MMP",43.47
"4th Sep'26 3:29:00","REDINGTON",43.33
"4th Sep'26 3:29:00","STYLEBAAZA",42.74
"4th Sep'26 3:29:00","YUKEN",42.72
"4th Sep'26 3:29:00","RBZJEWEL",42.42
"4th Sep'26 3:29:00","GMMPFAUDLR",42.06
"4th Sep'26 3:29:00","MACPOWER",41.68
"4th Sep'26 3:29:00","UFLEX",41.19
"4th Sep'26 3:29:00","MAXESTATES",40.02
"4th Sep'26 3:29:00","TNPETRO",39.68
"4th Sep'26 3:29:00","PAUSHAKLTD",39.66
"4th Sep'26 3:29:00","URBANCO",39.56
"4th Sep'26 3:29:00","OAL",39.38
"4th Sep'26 3:29:00","RPEL",38.67
"4th Sep'26 3:29:00","HAPPYFORGE",38.56
"4th Sep'26 3:29:00","RAMBHAJO",38.44
"4th Sep'26 3:29:00","UNITEDPOLY",38.08
"4th Sep'26 3:29:00","KIRIINDUS",37.86
"4th Sep'26 3:29:00","RSL",36.75
"4th Sep'26 3:29:00","GFLLIMITED",36.69
"4th Sep'26 3:29:00","MUKKA",36.62
"4th Sep'26 3:29:00","BOSCH-HCIL",36.46
"4th Sep'26 3:29:00","SIGACHI",36.24
"4th Sep'26 3:29:00","UNIVASTU",36.11
"4th Sep'26 3:29:00","WELENT",35.87
"4th Sep'26 3:29:00","TRANSPEK",35.83
"4th Sep'26 3:29:00","RAMRAT",35.39
"4th Sep'26 3:29:00","QPOWER",35.27
"4th Sep'26 3:29:00","GKSL",34.8
"4th Sep'26 3:29:00","YASHO",34.57
"4th Sep'26 3:29:00","PTCIL",34.39
"4th Sep'26 3:29:00","UGARSUGAR",34.32
"4th Sep'26 3:29:00","EMIL",34.02
"4th Sep'26 3:29:00","IOLCP",34
"4th Sep'26 3:29:00","KAMATHOTEL",33.35
"4th Sep'26 3:29:00","LUMAXTECH",33.16
"4th Sep'26 3:29:00","BHAGERIA",33.05
"4th Sep'26 3:29:00","IRISDOREME",32.93
"4th Sep'26 3:29:00","COFORGE",32.88
"4th Sep'26 3:29:00","STLTECH",32.75
"4th Sep'26 3:29:00","NIACL",32.74
"4th Sep'26 3:29:00","CUPID",32.67
"4th Sep'26 3:29:00","MARKSANS",32.66
"4th Sep'26 3:29:00","AYMSYNTEX",32.5
"4th Sep'26 3:29:00","BRIGADE",32.48
"4th Sep'26 3:29:00","BALUFORGE",32.4
"4th Sep'26 3:29:00","TVSSRICHAK",32.12
"4th Sep'26 3:29:00","MAWANASUG",32.08
"4th Sep'26 3:29:00","ELANTAS",31.87
"4th Sep'26 3:29:00","HATSUN",31.79
"4th Sep'26 3:29:00","KWIL",31.63
"4th Sep'26 3:29:00","ORIENTBELL",31.49
"4th Sep'26 3:29:00","SURAKSHA",31.43
"4th Sep'26 3:29:00","WINDLAS",31.28
"4th Sep'26 3:29:00","CYIENT",31.16
