"Date","Symbol","% 3 qtr ago","% 2 qtr ago","% 1 qtr ago","% current qtr","Change in 3 qtrs"
"4th Sep'26 3:29:00","RBLBANK",0,0,0,60,60
"4th Sep'26 3:29:00","NEUEON",36.31,93.63,93.63,90,53.69
"4th Sep'26 3:29:00","SANGINITA",30,26.67,25.4,68,37.99
"4th Sep'26 3:29:00","SIGMAADV",35.07,71.22,71.22,71.22,36.15
"4th Sep'26 3:29:00","SADHNANIQ",29.97,29.97,60.9,60.9,30.94
"4th Sep'26 3:29:00","SAMMAANCAP",0,0,0,28.34,28.34
"4th Sep'26 3:29:00","MMP",74.48,74.48,74.48,100,25.52
"4th Sep'26 3:29:00","SGMART",36.27,36.27,36.27,57.9,21.63
"4th Sep'26 3:29:00","SALSTEEL",50.56,61.47,70.98,70.98,20.42
"4th Sep'26 3:29:00","GAYAPROJ",3.94,3.94,3.94,23.56,19.61
"4th Sep'26 3:29:00","SUDARCOLOR",54.37,70.26,70.26,70.26,15.89
"4th Sep'26 3:29:00","BOHRAIND",22.33,12.62,9.81,38.01,15.68
"4th Sep'26 3:29:00","AKG",37.6,37.6,37.6,50.69,13.09
"4th Sep'26 3:29:00","SUPREMEINF",34.68,34.68,46.95,47.32,12.64
"4th Sep'26 3:29:00","BAIDFIN",36.25,45.71,47.39,47.39,11.14
"4th Sep'26 3:29:00","HILTON",7.71,7.71,13.71,18.56,10.85
"4th Sep'26 3:29:00","BHANDARI",31.02,31.02,41.83,41.83,10.82
"4th Sep'26 3:29:00","TREJHARA",23.07,23.07,23.07,33.87,10.8
"4th Sep'26 3:29:00","EFCIL",45.46,60.45,60.44,56.08,10.62
"4th Sep'26 3:29:00","SUNDROP",33.92,38.91,38.91,43.9,9.98
"4th Sep'26 3:29:00","MSPL",35.24,37.74,40.22,45.12,9.88
"4th Sep'26 3:29:00","VISACHROME",52.66,57.6,57.6,62.4,9.74
"4th Sep'26 3:29:00","IOLCP",52.62,52.62,52.62,62.28,9.65
"4th Sep'26 3:29:00","KAVDEFENCE",15.41,15.41,24.56,24.56,9.15
