"Date","Symbol","% 3 qtrs ago","% 2 qtr ago","% 1 qtr ago","% current qtr","Change in 3 qtrs"
"4th Sep'26 3:29:00","SHRENIK",3.76,74.62,74.62,75.47,71.71
"4th Sep'26 3:29:00","IRB",16.58,16.27,52.13,51.96,35.38
"4th Sep'26 3:29:00","DHARAN",44.65,56.59,60.67,71.61,26.97
"4th Sep'26 3:29:00","ONELIFECAP",47.9,47.9,73.97,73.97,26.07
"4th Sep'26 3:29:00","DEVIT",32.69,32.69,32.69,57.74,25.05
"4th Sep'26 3:29:00","ALLCARGO",25.58,45.9,47.89,49.07,23.49
"4th Sep'26 3:29:00","GENSOL",35.25,35.12,35.34,57.76,22.51
"4th Sep'26 3:29:00","VPRPL",35.66,40.54,50.8,57.64,21.98
"4th Sep'26 3:29:00","RBA",22.25,34.34,32.22,41.63,19.38
"4th Sep'26 3:29:00","FILATFASH",75.16,74.84,80.42,94.1,18.94
"4th Sep'26 3:29:00","STALLION",31.23,34.01,46.38,49.85,18.63
"4th Sep'26 3:29:00","PINELABS",0,11.48,11.36,18.59,18.59
"4th Sep'26 3:29:00","AQYLON",1.27,40.07,10.15,18.42,17.14
"4th Sep'26 3:29:00","KAYNES",12.08,20.84,24.03,28.84,16.76
"4th Sep'26 3:29:00","SEPC",57.51,58.32,66.47,73.38,15.87
"4th Sep'26 3:29:00","OSIAHYPER",49.91,52.37,53.25,65.68,15.77
"4th Sep'26 3:29:00","UEL",10.02,25.03,25.03,25.03,15.02
"4th Sep'26 3:29:00","ACL",9.26,9.25,24.25,24.25,14.99
"4th Sep'26 3:29:00","MANGALAM",49.48,64.22,64.02,64.15,14.66
"4th Sep'26 3:29:00","STANLEY",17.43,18.78,23.9,31.89,14.46
"4th Sep'26 3:29:00","DELPHIFX",22.68,36.59,37.09,37.11,14.42
"4th Sep'26 3:29:00","SILGO",44.62,46.92,59.55,58.97,14.34
"4th Sep'26 3:29:00","VIJIFIN",45.26,45.96,51.04,59.49,14.22
"4th Sep'26 3:29:00","RAMASTEEL",48.48,54.88,54.59,62.64,14.15
"4th Sep'26 3:29:00","CMICABLES",61.59,67.94,75.59,75.59,14.01
"4th Sep'26 3:29:00","FCONSUMER",83,86.07,96.51,96.51,13.51
"4th Sep'26 3:29:00","SICALLOG",10.04,10.04,23.28,23.25,13.2
"4th Sep'26 3:29:00","ONIDA",45.96,58.93,58.94,58.89,12.93
"4th Sep'26 3:29:00","GOCOLORS",3.6,6.88,12.95,15.17,11.57
"4th Sep'26 3:29:00","FABTECH",17.52,29.04,28.6,28.58,11.06
"4th Sep'26 3:29:00","ZEEL",56.26,59.12,59.2,67.27,11.01
"4th Sep'26 3:29:00","INTENTECH",77.66,79.97,88.43,88.45,10.79
"4th Sep'26 3:29:00","VINDHYATEL",35.4,45.96,46.13,46.02,10.62
"4th Sep'26 3:29:00","UTKARSHBNK",22.31,32.77,33.28,32.88,10.58
"4th Sep'26 3:29:00","HIMATSEIDE",44.28,44.34,45.42,54.67,10.39
"4th Sep'26 3:29:00","JSFB",35.64,35.04,39.7,45.98,10.34
"4th Sep'26 3:29:00","AEQUS",2.62,10.74,11.14,12.92,10.31
"4th Sep'26 3:29:00","AUTOIND",43.43,43.39,53.28,53.65,10.22
"4th Sep'26 3:29:00","PAISALO",29.46,29.67,33.06,39.66,10.21
"4th Sep'26 3:29:00","ITCHOTELS",14.25,22.72,23.91,24.34,10.09
