"Date","Symbol","Changeinpercentage"
"4th Sep'26 3:29:00","XTRANET",20
"4th Sep'26 3:29:00","KAVDEFENCE",19.57
"4th Sep'26 3:29:00","JINDWORLD",19.44
"4th Sep'26 3:29:00","NRAIL",17.73
"4th Sep'26 3:29:00","NIACL",17.7
"4th Sep'26 3:29:00","SUVIDHAA",17.48
"4th Sep'26 3:29:00","RADHIKAJWE",16.6
"4th Sep'26 3:29:00","LANCORHOL",16.12
"4th Sep'26 3:29:00","RML",14.95
"4th Sep'26 3:29:00","GENESYS-RE",13.92
"4th Sep'26 3:29:00","SVGLOBAL",13.62
"4th Sep'26 3:29:00","NAGREEKEXP",13.15
"4th Sep'26 3:29:00","PCJEWELLER",12.74
"4th Sep'26 3:29:00","BIRLAPREC",12.1
"4th Sep'26 3:29:00","MARALOVER",11.89
"4th Sep'26 3:29:00","CYBERMEDIA",10.55
"4th Sep'26 3:29:00","ZSARACOM",10.51
"4th Sep'26 3:29:00","MASTERTR",10.03
"4th Sep'26 3:29:00","SMLMAH",10
"4th Sep'26 3:29:00","RAMBHAJO",10
"4th Sep'26 3:29:00","TBZ",10
"4th Sep'26 3:29:00","RHETAN",10
"4th Sep'26 3:29:00","ICDSLTD",9.99
"4th Sep'26 3:29:00","UNITECH",9.97
"4th Sep'26 3:29:00","AKI",9.89
"4th Sep'26 3:29:00","ZENITHSTL",9.87
"4th Sep'26 3:29:00","KSR",9.73
"4th Sep'26 3:29:00","JISLJALEQS",9.62
"4th Sep'26 3:29:00","MARSONS",9.58
"4th Sep'26 3:29:00","CURAA",9.46
"4th Sep'26 3:29:00","PURVA",9.3
"4th Sep'26 3:29:00","HESTERBIO",9.25
"4th Sep'26 3:29:00","MUKKA",9.12
"4th Sep'26 3:29:00","SAHYADRI",9.11
"4th Sep'26 3:29:00","RGL",8.85
"4th Sep'26 3:29:00","DOLPHIN",8.78
"4th Sep'26 3:29:00","CPCAP",8.48
"4th Sep'26 3:29:00","TEJASNET",8.23
"4th Sep'26 3:29:00","SKIPPER",8.08
"4th Sep'26 3:29:00","LAXMICOT",8.03
"4th Sep'26 3:29:00","UMIYA-MRO",7.83
"4th Sep'26 3:29:00","RIR",7.79
"4th Sep'26 3:29:00","HEADSUP",7.77
"4th Sep'26 3:29:00","ODYCORP",7.65
"4th Sep'26 3:29:00","MOTISONS",7.22
"4th Sep'26 3:29:00","PROZONER",7.2
"4th Sep'26 3:29:00","OMAXE",7.14
"4th Sep'26 3:29:00","GFLLIMITED",7.09
"4th Sep'26 3:29:00","WOCKPHARMA",7.08
"4th Sep'26 3:29:00","IONEXCHANG",7.06
"4th Sep'26 3:29:00","EXICOM",7.05
"4th Sep'26 3:29:00","DJML",6.97
"4th Sep'26 3:29:00","GMMPFAUDLR",6.93
"4th Sep'26 3:29:00","NITIRAJ",6.85
"4th Sep'26 3:29:00","PKTEA",6.77
"4th Sep'26 3:29:00","SIGACHI",6.73
"4th Sep'26 3:29:00","SHANTIGEAR",6.68
"4th Sep'26 3:29:00","MANAKSIA",6.65
"4th Sep'26 3:29:00","RATNAVEER",6.52
"4th Sep'26 3:29:00","RUBFILA",6.43
"4th Sep'26 3:29:00","AFFLE",6.4
"4th Sep'26 3:29:00","FCL",6.4
"4th Sep'26 3:29:00","WELENT",6.39
"4th Sep'26 3:29:00","KSHINTL",6.37
"4th Sep'26 3:29:00","PINELABS",6.31
"4th Sep'26 3:29:00","WELSPLSOL",6.3
"4th Sep'26 3:29:00","KERNEX",6.28
"4th Sep'26 3:29:00","SPLPETRO",6.23
"4th Sep'26 3:29:00","TOUCHWOOD",6.1
"4th Sep'26 3:29:00","CINELINE",6.01
"4th Sep'26 3:29:00","IRISDOREME",6
"4th Sep'26 3:29:00","INDORAMA",5.94
"4th Sep'26 3:29:00","DICIND",5.92
"4th Sep'26 3:29:00","SBC",5.8
"4th Sep'26 3:29:00","ORIENTALTL",5.78
"4th Sep'26 3:29:00","PRISMX",5.77
"4th Sep'26 3:29:00","IGL",5.77
"4th Sep'26 3:29:00","IFCI",5.7
"4th Sep'26 3:29:00","ANSALBU",5.67
"4th Sep'26 3:29:00","PNBGILTS",5.66
"4th Sep'26 3:29:00","DEEPINDS",5.58
"4th Sep'26 3:29:00","SINDHUTRAD",5.55
"4th Sep'26 3:29:00","PAISALO",5.44
"4th Sep'26 3:29:00","GENCON",5.36
"4th Sep'26 3:29:00","VIKRAN",5.36
"4th Sep'26 3:29:00","SANATHAN",5.35
"4th Sep'26 3:29:00","INDOMIM",5.32
"4th Sep'26 3:29:00","SKYGOLD",5.32
