"Date","Symbol","% change"
"4th Sep'26 3:29:00","NIFTYOILANDGAS",1.08
"4th Sep'26 3:29:00","NIFTYPVTBANK",0.315
"4th Sep'26 3:29:00","CNXENERGY",0.169
"4th Sep'26 3:29:00","CNXSMALLCAP",0.077
"4th Sep'26 3:29:00","NIFTYSMALLCAP50",0.045
"4th Sep'26 3:29:00","NIFTYMICROCAP250",0.02
"4th Sep'26 3:29:00","INDIAVIX",0
"4th Sep'26 3:29:00","NIFTYCOMMODITIES",-0.054
"4th Sep'26 3:29:00","NIFTYSMALLCAP250",-0.08
"4th Sep'26 3:29:00","CNXREALTY",-0.104
"4th Sep'26 3:29:00","BANKNIFTY",-0.22
"4th Sep'26 3:29:00","NIFTYCHEMICALS",-0.295
"4th Sep'26 3:29:00","NIFTYINDDEFENCE",-0.439
"4th Sep'26 3:29:00","CNXINFRA",-0.486
"4th Sep'26 3:29:00","NIFTYFINSERVICE",-0.896
"4th Sep'26 3:29:00","NIFTYMIDSMALLCAP400",-0.976
"4th Sep'26 3:29:00","NIFTYPSUBANK",-1.04
"4th Sep'26 3:29:00","NIFTYTOTALMKT",-1.11
"4th Sep'26 3:29:00","NIFTY",-1.15
"4th Sep'26 3:29:00","NIFTY500",-1.17
"4th Sep'26 3:29:00","NIFTY100",-1.26
"4th Sep'26 3:29:00","NIFTY200",-1.32
"4th Sep'26 3:29:00","NIFTYLARGEMID250",-1.35
"4th Sep'26 3:29:00","NIFTYMIDCAP150",-1.44
"4th Sep'26 3:29:00","NIFTYMIDCAP50",-1.51
"4th Sep'26 3:29:00","NIFTYMETAL",-1.54
"4th Sep'26 3:29:00","NIFTYMIDSELECT",-1.69
"4th Sep'26 3:29:00","CNXIT",-1.88
"4th Sep'26 3:29:00","CNXPHARMA",-1.9
"4th Sep'26 3:29:00","NIFTYFMCG",-1.97
"4th Sep'26 3:29:00","NIFTYHEALTHCARE",-2.32
"4th Sep'26 3:29:00","NIFTYMEDIA",-2.34
"4th Sep'26 3:29:00","NIFTYCONSUMPTION",-2.57
"4th Sep'26 3:29:00","NIFTYAUTO",-3.95
"4th Sep'26 3:29:00","NIFTYHOUSING","NaN"
