date,time,%,50/50
2025-02-28,00:00,12.5264,50
2025-03-03,00:00,11.8438,50
2025-03-04,00:00,12.1519,50
2025-03-05,00:00,14.4543,50
2025-03-06,00:00,16.2663,50
2025-03-07,00:00,17.5727,50
2025-03-10,00:00,15.604,50
2025-03-11,00:00,15.1835,50
2025-03-12,00:00,14.4182,50
2025-03-13,00:00,13.9721,50
2025-03-17,00:00,14.3156,50
2025-03-18,00:00,16.3368,50
2025-03-19,00:00,18.8473,50
2025-03-20,00:00,20.8666,50
2025-03-21,00:00,23.8015,50
2025-03-24,00:00,27.6107,50
2025-03-25,00:00,25.2101,50
2025-03-26,00:00,23.0898,50
2025-03-27,00:00,24.9266,50
2025-03-28,00:00,23.9832,50
2025-04-01,00:00,22.426,50
2025-04-02,00:00,24.9371,50
2025-04-03,00:00,27.5052,50
2025-04-04,00:00,22.4969,50
2025-04-07,00:00,15.8949,50
2025-04-08,00:00,19.321,50
2025-04-09,00:00,18.5744,50
2025-04-11,00:00,22.3943,50
2025-04-15,00:00,27.965,50
2025-04-16,00:00,30.4475,50
2025-04-17,00:00,32.7204,50
2025-04-21,00:00,36.4544,50
2025-04-22,00:00,38.0176,50
2025-04-23,00:00,38.954,50
2025-04-24,00:00,38.468,50
2025-04-25,00:00,32.7889,50
2025-04-28,00:00,33.361,50
2025-04-29,00:00,32.9707,50
2025-04-30,00:00,30.4603,50
2025-05-02,00:00,30.2131,50
2025-05-05,00:00,32.4201,50
2025-05-06,00:00,27.2043,50
2025-05-07,00:00,29.2815,50
2025-05-08,00:00,26.8395,50
2025-05-09,00:00,26.0251,50
2025-05-12,00:00,35.9751,50
2025-05-13,00:00,38.1012,50
2025-05-14,00:00,42.3077,50
2025-05-15,00:00,45.8194,50
2025-05-16,00:00,48.6419,50
2025-05-19,00:00,50.7252,50
2025-05-20,00:00,47.8897,50
2025-05-21,00:00,49.5198,50
2025-05-22,00:00,48.81,50
2025-05-23,00:00,50.6889,50
2025-05-26,00:00,51.47,50
2025-05-27,00:00,52.3154,50
2025-05-28,00:00,52.0634,50
2025-05-29,00:00,53.1667,50
2025-05-30,00:00,51.7716,50
2025-06-02,00:00,51.3223,50
2025-06-03,00:00,51.495,50
2025-06-04,00:00,52.2208,50
2025-06-05,00:00,53.7122,50
2025-06-06,00:00,56.0763,50
2025-06-09,00:00,59.5543,50
2025-06-10,00:00,61.1872,50
2025-06-11,00:00,62.2978,50
2025-06-12,00:00,58.887,50
2025-06-13,00:00,56.0996,50
2025-06-16,00:00,57.5309,50
2025-06-17,00:00,55.5141,50
2025-06-18,00:00,54.063,50
2025-06-19,00:00,48.6957,50
2025-06-20,00:00,50.5795,50
2025-06-23,00:00,50.9442,50
2025-06-24,00:00,53.3526,50
2025-06-25,00:00,57.7401,50
2025-06-26,00:00,58.0952,50
2025-06-27,00:00,59.5031,50
2025-06-30,00:00,60.2217,50
2025-07-01,00:00,59.8679,50
2025-07-02,00:00,59.2165,50
2025-07-03,00:00,60.4038,50
2025-07-04,00:00,61.1363,50
2025-07-07,00:00,60.0981,50
2025-07-08,00:00,60.0247,50
2025-07-09,00:00,60.1401,50
2025-07-10,00:00,60.4038,50
2025-07-11,00:00,58.1242,50
2025-07-14,00:00,57.9291,50
2025-07-15,00:00,61.3646,50
2025-07-16,00:00,62.9782,50
2025-07-17,00:00,63.3265,50
2025-07-18,00:00,62.018,50
2025-07-21,00:00,61.0411,50
2025-07-22,00:00,60.7304,50
2025-07-23,00:00,60.6483,50
2025-07-24,00:00,59.9097,50
2025-07-25,00:00,53.9155,50
2025-07-28,00:00,49.1071,50
2025-07-29,00:00,52.3165,50
2025-07-30,00:00,52.5,50
2025-07-31,00:00,50.9619,50
2025-08-01,00:00,46.2699,50
2025-08-04,00:00,48.4211,50
2025-08-05,00:00,47.4969,50
2025-08-06,00:00,44.77,50
2025-08-07,00:00,44.2636,50
2025-08-08,00:00,40.358,50
2025-08-11,00:00,41.3974,50
2025-08-12,00:00,42.1951,50
2025-08-13,00:00,43.4906,50
2025-08-14,00:00,41.8293,50
2025-08-18,00:00,44.9054,50
2025-08-19,00:00,46.9777,50
2025-08-20,00:00,47.2853,50
2025-08-21,00:00,47.4047,50
2025-08-22,00:00,46.8775,50
2025-08-25,00:00,47.2055,50
2025-08-26,00:00,42.8745,50
2025-08-28,00:00,39.8706,50
2025-08-29,00:00,39.2149,50
2025-09-01,00:00,42.8629,50
2025-09-02,00:00,44.4086,50
2025-09-03,00:00,46.3897,50
2025-09-04,00:00,45.6487,50
2025-09-05,00:00,44.9416,50
2025-09-08,00:00,46.7574,50
2025-09-09,00:00,46.4573,50
2025-09-10,00:00,49.1948,50
2025-09-11,00:00,48.9936,50
2025-09-12,00:00,49.6579,50
2025-09-15,00:00,51.2185,50
2025-09-16,00:00,53.8245,50
2025-09-17,00:00,54.9618,50
2025-09-18,00:00,54.9618,50
2025-09-19,00:00,55.1807,50
2025-09-22,00:00,53.6838,50
2025-09-23,00:00,52.1268,50
2025-09-24,00:00,50.3811,50
2025-09-25,00:00,47.3726,50
2025-09-26,00:00,41.65,50
2025-09-29,00:00,41.3328,50
2025-09-30,00:00,41.4936,50
2025-10-01,00:00,45.1035,50
2025-10-03,00:00,47.5149,50
2025-10-06,00:00,46.7009,50
2025-10-07,00:00,46.8043,50
2025-10-08,00:00,46.2912,50
2025-10-09,00:00,47.1451,50
2025-10-10,00:00,48.2937,50
2025-10-13,00:00,46.5171,50
2025-10-14,00:00,43.5248,50
2025-10-15,00:00,45.289,50
2025-10-16,00:00,46.8565,50
2025-10-17,00:00,45.3539,50
2025-10-20,00:00,46.7451,50
2025-10-21,00:00,48.7921,50
2025-10-23,00:00,48.559,50
2025-10-24,00:00,47.4556,50
2025-10-27,00:00,48.6285,50
2025-10-28,00:00,47.8107,50
2025-10-29,00:00,49.6244,50
2025-10-30,00:00,49.0514,50
2025-10-31,00:00,47.8845,50
2025-11-03,00:00,49.118,50
2025-11-04,00:00,47.2792,50
2025-11-06,00:00,42.9416,50
2025-11-07,00:00,43.3977,50
2025-11-10,00:00,43.5938,50
2025-11-11,00:00,43.3294,50
2025-11-12,00:00,45.1181,50
2025-11-13,00:00,44.5537,50
2025-11-14,00:00,43.5022,50
2025-11-17,00:00,44.6436,50
2025-11-18,00:00,42.6275,50
2025-11-19,00:00,42.4931,50
2025-11-20,00:00,41.9342,50
2025-11-21,00:00,40.1097,50
2025-11-24,00:00,37.5194,50
2025-11-25,00:00,38.2238,50
2025-11-26,00:00,40.8291,50
2025-11-27,00:00,40.1249,50
2025-11-28,00:00,40.2187,50
2025-12-01,00:00,40.0619,50
2025-12-02,00:00,38.8327,50
2025-12-03,00:00,37.8452,50
2025-12-04,00:00,36.9751,50
2025-12-05,00:00,36.9996,50
2025-12-08,00:00,32.6633,50
2025-12-09,00:00,33.8121,50
2025-12-10,00:00,33.3721,50
2025-12-11,00:00,34.289,50
2025-12-12,00:00,35.7862,50
2025-12-15,00:00,36.6436,50
2025-12-16,00:00,35.4876,50
2025-12-17,00:00,33.952,50
2025-12-18,00:00,33.591,50
2025-12-19,00:00,35.8687,50
2025-12-22,00:00,37.898,50
2025-12-23,00:00,38.3044,50
2025-12-24,00:00,38.3815,50
2025-12-26,00:00,37.3652,50
2025-12-29,00:00,35.8346,50
2025-12-30,00:00,35.3644,50
2025-12-31,00:00,38.0586,50
2026-01-01,00:00,38.1538,50
2026-01-02,00:00,40.5239,50
2026-01-05,00:00,40.2751,50
2026-01-06,00:00,39.3613,50
2026-01-07,00:00,40.1384,50
2026-01-08,00:00,36.0385,50
2026-01-09,00:00,32.1799,50
2026-01-12,00:00,31.41,50
2026-01-13,00:00,31.6942,50
2026-01-14,00:00,32.3213,50
