date,time,group,sector,market cap,1 week %,vol > yr avg
2026-08-31,00:00,63MOONS,i.t,smallcap,0.3156,0.3701
2026-08-31,00:00,ADOR,industrials,smallcap,4.2553,6.2387
2026-08-31,00:00,ANTELOPUS,energy,smallcap,-0.381,0.1875
2026-08-31,00:00,APARINDS,industrials,largecap,-0.5673,0.7481
2026-08-31,00:00,APCOTEXIND,chemicals,smallcap,3.3667,4.1642
2026-08-31,00:00,APLAPOLLO,industrials,largecap,-1.8626,1.6487
2026-08-31,00:00,ARIES,chemicals,smallcap,-2.0339,0.5715
2026-08-31,00:00,ARMANFIN,financials,smallcap,-2.63,0.491
2026-08-31,00:00,ASAHIINDIA,building materials,largecap,-0.0682,0.6013
2026-08-31,00:00,ASIANHOTNR,services,smallcap,15.9677,32.8184
2026-08-31,00:00,AUROPHARMA,healthcare,largecap,4.3579,1.7989
2026-08-31,00:00,AUSOMENT,consumer discretionary,smallcap,1.0051,0.2031
2026-08-31,00:00,AYMSYNTEX,textiles,smallcap,10.2398,39.4433
2026-08-31,00:00,BAFNAPH,healthcare,smallcap,4.5173,2.2718
2026-08-31,00:00,BALRAMCHIN,fmcg,midcap,5.9021,35.9834
2026-08-31,00:00,BHAGERIA,chemicals,smallcap,4.9969,0.7195
2026-08-31,00:00,BHEL,industrials,largecap,2.7388,0.7161
2026-08-31,00:00,BIL,consumer discretionary,smallcap,-0.6412,3.0798
2026-08-31,00:00,BIRLACABLE,industrials,smallcap,4.9981,5.2201
2026-08-31,00:00,BLISSGVS,healthcare,midcap,4.8716,0.3107
2026-08-31,00:00,BODALCHEM,chemicals,smallcap,19.9939,23.3897
2026-08-31,00:00,CAPLIPOINT,healthcare,largecap,0.0079,0.8756
2026-08-31,00:00,CARERATING,financials,midcap,2.7882,2.6573
2026-08-31,00:00,CENTUM,aerospace & defence,midcap,0.0784,0.9272
2026-08-31,00:00,CGCL,financials,largecap,-0.5892,1.3506
2026-08-31,00:00,CGPOWER,industrials,largecap,3.0371,0.9291
2026-08-31,00:00,CHENNPETRO,energy,largecap,1.9611,0.4983
2026-08-31,00:00,COFORGE,i.t,largecap,-1.4544,0.763
2026-08-31,00:00,CORDSCABLE,industrials,smallcap,12.4428,20.1624
2026-08-31,00:00,CUB,bank,largecap,3.1272,1.3705
2026-08-31,00:00,CUPID,fmcg,largecap,-0.6623,0.3626
2026-08-31,00:00,DCBBANK,bank,midcap,2.4557,0.7606
2026-08-31,00:00,DEEPINDS,energy,midcap,2.2833,0.8527
2026-08-31,00:00,DIVISLAB,healthcare,largecap,2.4678,1.7664
2026-08-31,00:00,DYNAMATECH,aerospace & defence,midcap,4.6345,1.1322
2026-08-31,00:00,ELGIEQUIP,industrials,largecap,-0.2385,0.6803
2026-08-31,00:00,ENGINERSIN,realty,midcap,3.2122,1.3384
2026-08-31,00:00,FCL,chemicals,midcap,1.5191,1.4547
2026-08-31,00:00,FOSECOIND,chemicals,smallcap,1.1003,5.6017
2026-08-31,00:00,GANDHITUBE,metals & mining,smallcap,0.3006,0.5856
2026-08-31,00:00,GIPCL,power & utilities,smallcap,-3.181,1.5516
2026-08-31,00:00,GLENMARK,healthcare,largecap,-1.3917,1.359
2026-08-31,00:00,GNA,auto,smallcap,-0.516,1.2923
2026-08-31,00:00,GRASIM,textiles,largecap,2.462,1.385
2026-08-31,00:00,GUFICBIO,healthcare,smallcap,2.4735,1.5171
2026-08-31,00:00,HATSUN,fmcg,largecap,1.2244,1.1802
2026-08-31,00:00,HITECHCORP,industrials,smallcap,0.4805,0.7144
2026-08-31,00:00,ICIL,textiles,midcap,7.9319,3.4021
2026-08-31,00:00,IDBI,bank,largecap,-1.921,0.4219
2026-08-31,00:00,IDFCFIRSTB,bank,largecap,3.4288,0.6623
2026-08-31,00:00,IFCI,financials,largecap,-0.289,1.6342
2026-08-31,00:00,IIFL,financials,largecap,-1.8961,0.661
2026-08-31,00:00,INDORAMA,textiles,smallcap,3.5664,5.8853
2026-08-31,00:00,INDSWFTLAB,healthcare,smallcap,0.5373,0.8335
2026-08-31,00:00,INGERRAND,industrials,midcap,-0.2407,2.9367
2026-08-31,00:00,IOLCP,healthcare,midcap,-0.6463,0.8431
2026-08-31,00:00,IPCALAB,healthcare,largecap,1.2613,1.2572
2026-08-31,00:00,JINDALSAW,industrials,midcap,0.3402,0.5631
2026-08-31,00:00,JINDALSTEL,metals & mining,largecap,1.1618,0.5605
2026-08-31,00:00,JSL,metals & mining,largecap,-0.4254,1.441
2026-08-31,00:00,JSWSTEEL,metals & mining,largecap,-2.0376,1.1651
2026-08-31,00:00,KABRAEXTRU,industrials,smallcap,-0.5302,2.068
2026-08-31,00:00,KAJARIACER,building materials,midcap,2.4105,1.9842
2026-08-31,00:00,KALYANIFRG,industrials,smallcap,19.9947,23.3017
2026-08-31,00:00,KARURVYSYA,bank,largecap,0.4624,0.5399
2026-08-31,00:00,KDDL,consumer discretionary,smallcap,-0.1854,0.4988
2026-08-31,00:00,KINGFA,plastic products,midcap,1.7404,1.2307
2026-08-31,00:00,KIRLOSENG,industrials,largecap,-1.1163,0.6773
2026-08-31,00:00,KOTAKBANK,bank,largecap,-1.0149,1.1399
2026-08-31,00:00,KPIL,realty,largecap,1.0532,1.0844
2026-08-31,00:00,KPRMILL,consumer discretionary,largecap,4.194,1.8137
2026-08-31,00:00,KTKBANK,bank,midcap,1.453,1.1914
2026-08-31,00:00,LGBBROSLTD,auto,midcap,-1.4729,0.3001
2026-08-31,00:00,LOKESHMACH,industrials,smallcap,10.4977,5.0278
2026-08-31,00:00,LTFOODS,fmcg,midcap,1.6388,0.7817
