date,time,current,1 yr back
2026-04-15,00:00,602.3677,404.3975
2026-04-16,00:00,579.6916,493.2355
2026-04-17,00:00,612.2655,351.8904
2026-04-20,00:00,532.3564,302.7595
2026-04-21,00:00,479.6133,348.0285
2026-04-22,00:00,516.0579,363.5869
2026-04-23,00:00,491.5937,361.6372
2026-04-24,00:00,450.9454,387.4914
2026-04-27,00:00,465.9635,481.8572
2026-04-28,00:00,526.6916,443.5837
2026-04-29,00:00,520.8006,412.7906
2026-04-30,00:00,473.6131,394.328
2026-05-04,00:00,557.4682,560.9546
2026-05-05,00:00,493.1062,313.7719
2026-05-06,00:00,585.0146,326.8027
2026-05-07,00:00,556.0484,331.4588
2026-05-08,00:00,501.3988,314.7805
2026-05-11,00:00,662.6013,320.3616
2026-05-12,00:00,613.5454,345.2184
2026-05-13,00:00,658.844,351.2636
2026-05-14,00:00,557.7443,361.1532
2026-05-15,00:00,611.6332,403.2127
2026-05-18,00:00,532.9898,435.6275
2026-05-19,00:00,542.4296,383.2786
2026-05-20,00:00,457.5075,388.5216
2026-05-21,00:00,489.7981,440.7287
2026-05-22,00:00,446.5767,472.8266
2026-05-25,00:00,518.0002,553.6695
2026-05-26,00:00,524.3798,448.9478
2026-05-27,00:00,682.5645,395.3897
2026-05-29,00:00,956.9409,361.0389
2026-06-01,00:00,586.1707,384.1361
2026-06-02,00:00,551.0545,378.2186
2026-06-03,00:00,604.7114,372.5913
2026-06-04,00:00,601.2189,489.0564
2026-06-05,00:00,563.6769,394.6163
2026-06-08,00:00,511.9794,676.6447
2026-06-09,00:00,565.2808,532.4395
2026-06-10,00:00,569.2835,585.4649
2026-06-11,00:00,518.8389,447.1499
2026-06-12,00:00,558.4416,404.55
2026-06-15,00:00,606.4216,458.9215
2026-06-16,00:00,589.0582,497.0024
2026-06-17,00:00,609.3504,524.5968
2026-06-18,00:00,581.9749,666.0082
2026-06-19,00:00,621.3608,561.1227
2026-06-22,00:00,483.0171,471.9058
2026-06-23,00:00,536.153,416.9238
2026-06-24,00:00,505.0227,454.3795
2026-06-25,00:00,529.3506,340.8204
2026-06-29,00:00,625.5849,400.4781
2026-06-30,00:00,564.1766,515.8294
2026-07-01,00:00,556.9029,347.2399
2026-07-02,00:00,556.7984,468.9913
2026-07-03,00:00,603.5875,501.8535
2026-07-06,00:00,463.4892,460.1659
2026-07-07,00:00,468.4363,528.4743
2026-07-08,00:00,567.0003,451.6824
2026-07-09,00:00,527.6127,452.8476
2026-07-10,00:00,461.157,458.8244
2026-07-13,00:00,459.088,424.8468
2026-07-14,00:00,423.9574,375.703
2026-07-15,00:00,497.1936,469.7235
2026-07-16,00:00,420.0925,498.3978
2026-07-17,00:00,456.4778,442.5713
2026-07-20,00:00,426.5197,427.075
2026-07-21,00:00,429.0904,415.1853
2026-07-22,00:00,425.5244,576.4855
2026-07-23,00:00,426.4152,442.7172
2026-07-24,00:00,422.3001,460.3805
2026-07-27,00:00,394.0419,399.5223
2026-07-28,00:00,412.2037,386.2478
2026-07-29,00:00,431.7257,368.3364
2026-07-30,00:00,394.0798,371.6696
2026-07-31,00:00,433.2664,384.3841
2026-08-03,00:00,456.9538,408.9224
2026-08-04,00:00,415.7382,395.7644
2026-08-05,00:00,472.1117,374.1112
2026-08-06,00:00,438.7998,334.9016
2026-08-07,00:00,403.3256,328.1666
2026-08-10,00:00,457.2118,392.1929
2026-08-11,00:00,490.5136,372.55
2026-08-12,00:00,502.1223,333.4766
2026-08-13,00:00,410.9862,305.1674
2026-08-14,00:00,454.5923,291.8726
2026-08-17,00:00,404.956,338.6747
2026-08-18,00:00,432.719,297.5275
2026-08-19,00:00,436.379,275.05
2026-08-20,00:00,446.2396,277.4461
2026-08-21,00:00,482.1392,345.7107
2026-08-24,00:00,568.0994,332.5616
2026-08-25,00:00,605.2421,376.8246
2026-08-26,00:00,541.1708,380.48
2026-08-27,00:00,501.4003,462.0672
2026-08-28,00:00,468.8742,382.9999
2026-08-31,00:00,666.4506,448.5698
2026-09-01,00:00,498.5653,401.5579
2026-09-02,00:00,489.375,580.9064
2026-09-03,00:00,478.6684,413.4296
2026-09-04,00:00,612.2389,401.9782
2026-09-07,00:00,677.0359,404.2245
2026-09-08,00:00,530.7157,426.6016
2026-09-09,00:00,537.51,484.6215
2026-09-10,00:00,518.8399,458.5043
2026-09-11,00:00,529.7659,491.6872
2026-09-15,00:00,465.0915,398.7701
2026-09-16,00:00,471.2522,366.3967
2026-09-17,00:00,378.7985,407.8367
2026-09-18,00:00,510.4732,396.0154
2026-09-21,00:00,436.1709,420.5223
2026-09-22,00:00,469.7517,498.2436
2026-09-23,00:00,521.6771,436.7791
2026-09-24,00:00,484.4317,486.8575
2026-09-25,00:00,402.3597,443.4425
