date,time,group,sector,market cap,1 week %,vol > yr avg
2026-09-04,15:29,ACMESOLAR,realty,largecap,6.1722,3.7411
2026-09-04,15:29,AEROENTER,metals & mining,smallcap,-3.0624,0.8899
2026-09-04,15:29,ANTELOPUS,energy,smallcap,21.5737,11.2621
2026-09-04,15:29,APCOTEXIND,chemicals,smallcap,1.6393,1.519
2026-09-04,15:29,ASIANENE,energy,smallcap,7.6227,1.5478
2026-09-04,15:29,ATHERENERG,auto,largecap,-1.9984,1.3795
2026-09-04,15:29,AVADHSUGAR,fmcg,smallcap,-2.4758,0.871
2026-09-04,15:29,AVALON,consumer discretionary,midcap,-1.5728,1.8332
2026-09-04,15:29,AYMSYNTEX,textiles,smallcap,22.1305,2.8214
2026-09-04,15:29,BAFNAPH,healthcare,smallcap,1.6317,0.3763
2026-09-04,15:29,BHAGERIA,chemicals,smallcap,27.6021,1.0464
2026-09-04,15:29,BIRLACABLE,industrials,smallcap,27.5965,2.3454
2026-09-04,15:29,BLUSPRING,miscellaneous,smallcap,9.0481,1.1244
2026-09-04,15:29,BODALCHEM,chemicals,smallcap,57.065,9.6604
2026-09-04,15:29,COMSYN,industrials,smallcap,6.844,0.345
2026-09-04,15:29,CONFIPET,miscellaneous,smallcap,3.2678,0.9792
2026-09-04,15:29,CYIENTDLM,aerospace & defence,midcap,4.6209,1.8952
2026-09-04,15:29,DEEPINDS,energy,midcap,16.6061,3.5562
2026-09-04,15:29,DIFFNKG,industrials,smallcap,15.5474,9.8455
2026-09-04,15:29,DIVGIITTS,auto,smallcap,5.161,0.9915
2026-09-04,15:29,DYCL,industrials,smallcap,0.0615,3.2051
2026-09-04,15:29,EBGNG,services,midcap,-5.3299,2.1934
2026-09-04,15:29,FCL,chemicals,midcap,2.9582,1.7209
2026-09-04,15:29,FILATEX,textiles,smallcap,-1.4831,0.6006
2026-09-04,15:29,GAYAPROJ,realty,smallcap,-1.7607,1.0036
2026-09-04,15:29,GCSL,financials,smallcap,9.9483,1.7e+308
2026-09-04,15:29,GHCLTEXTIL,textiles,smallcap,4.534,0.9879
2026-09-04,15:29,GLOBAL,services,smallcap,10.5147,5.0302
2026-09-04,15:29,HAPPYFORGE,industrials,largecap,-2.9692,0.8918
2026-09-04,15:29,IBULLSLTD,miscellaneous,midcap,-2.4325,1.2231
2026-09-04,15:29,IFCI,financials,largecap,12.6945,11.6414
2026-09-04,15:29,IKIO,consumer discretionary,smallcap,-0.6457,1.2359
2026-09-04,15:29,INDOBORAX,chemicals,smallcap,3.9992,0.5708
2026-09-04,15:29,INDORAMA,textiles,smallcap,14.6269,4.7672
2026-09-04,15:29,INDSWFTLAB,healthcare,smallcap,-1.9205,0.855
