date,time,blw 3%
2025-02-28,00:00,1047
2025-03-03,00:00,703
2025-03-04,00:00,155
2025-03-05,00:00,30
2025-03-06,00:00,35
2025-03-07,00:00,72
2025-03-10,00:00,906
2025-03-11,00:00,410
2025-03-12,00:00,296
2025-03-13,00:00,258
2025-03-17,00:00,440
2025-03-18,00:00,78
2025-03-19,00:00,29
2025-03-20,00:00,89
2025-03-21,00:00,55
2025-03-24,00:00,90
2025-03-25,00:00,732
2025-03-26,00:00,648
2025-03-27,00:00,340
2025-03-28,00:00,299
2025-04-01,00:00,113
2025-04-02,00:00,46
2025-04-03,00:00,78
2025-04-04,00:00,1053
2025-04-07,00:00,1557
2025-04-08,00:00,45
2025-04-09,00:00,318
2025-04-11,00:00,22
2025-04-15,00:00,26
2025-04-16,00:00,48
2025-04-17,00:00,47
2025-04-21,00:00,53
2025-04-22,00:00,70
2025-04-23,00:00,89
2025-04-24,00:00,115
2025-04-25,00:00,1049
2025-04-28,00:00,153
2025-04-29,00:00,116
2025-04-30,00:00,483
2025-05-02,00:00,150
2025-05-05,00:00,80
2025-05-06,00:00,899
2025-05-07,00:00,119
2025-05-08,00:00,260
2025-05-09,00:00,261
2025-05-12,00:00,47
2025-05-13,00:00,50
2025-05-14,00:00,31
2025-05-15,00:00,60
2025-05-16,00:00,69
2025-05-19,00:00,98
2025-05-20,00:00,300
2025-05-21,00:00,99
2025-05-22,00:00,98
2025-05-23,00:00,84
2025-05-26,00:00,123
2025-05-27,00:00,84
2025-05-28,00:00,122
2025-05-29,00:00,128
2025-05-30,00:00,182
2025-06-02,00:00,158
2025-06-03,00:00,108
2025-06-04,00:00,86
2025-06-05,00:00,50
2025-06-06,00:00,84
2025-06-09,00:00,50
2025-06-10,00:00,58
2025-06-11,00:00,76
2025-06-12,00:00,304
2025-06-13,00:00,142
2025-06-16,00:00,86
2025-06-17,00:00,191
2025-06-18,00:00,115
2025-06-19,00:00,483
2025-06-20,00:00,75
2025-06-23,00:00,106
2025-06-24,00:00,68
2025-06-25,00:00,39
2025-06-26,00:00,69
2025-06-27,00:00,65
2025-06-30,00:00,71
2025-07-01,00:00,73
2025-07-02,00:00,93
2025-07-03,00:00,75
2025-07-04,00:00,55
2025-07-07,00:00,146
2025-07-08,00:00,92
2025-07-09,00:00,64
2025-07-10,00:00,51
2025-07-11,00:00,118
2025-07-14,00:00,102
2025-07-15,00:00,47
2025-07-16,00:00,54
2025-07-17,00:00,60
2025-07-18,00:00,80
2025-07-21,00:00,122
2025-07-22,00:00,106
2025-07-23,00:00,98
2025-07-24,00:00,127
2025-07-25,00:00,403
2025-07-28,00:00,434
2025-07-29,00:00,74
2025-07-30,00:00,102
2025-07-31,00:00,181
2025-08-01,00:00,383
2025-08-04,00:00,130
2025-08-05,00:00,145
2025-08-06,00:00,305
2025-08-07,00:00,169
2025-08-08,00:00,259
2025-08-11,00:00,179
2025-08-12,00:00,131
2025-08-13,00:00,137
2025-08-14,00:00,223
2025-08-18,00:00,112
2025-08-19,00:00,58
2025-08-20,00:00,58
2025-08-21,00:00,85
2025-08-22,00:00,107
2025-08-25,00:00,140
2025-08-26,00:00,341
2025-08-28,00:00,235
2025-08-29,00:00,122
2025-09-01,00:00,69
2025-09-02,00:00,78
2025-09-03,00:00,58
2025-09-04,00:00,143
2025-09-05,00:00,84
2025-09-08,00:00,110
2025-09-09,00:00,109
2025-09-10,00:00,88
2025-09-11,00:00,92
2025-09-12,00:00,76
2025-09-15,00:00,64
2025-09-16,00:00,44
2025-09-17,00:00,55
2025-09-18,00:00,75
2025-09-19,00:00,96
2025-09-22,00:00,177
2025-09-23,00:00,106
2025-09-24,00:00,162
2025-09-25,00:00,198
2025-09-26,00:00,519
2025-09-29,00:00,216
2025-09-30,00:00,127
2025-10-01,00:00,42
2025-10-03,00:00,48
2025-10-06,00:00,169
2025-10-07,00:00,131
2025-10-08,00:00,115
2025-10-09,00:00,119
2025-10-10,00:00,84
2025-10-13,00:00,186
2025-10-14,00:00,296
2025-10-15,00:00,96
