date,time,group,% from 30w ema
2026-09-04,15:29,BANKNIFTY,0.7927
2026-09-04,15:29,CNXENERGY,-0.492
2026-09-04,15:29,CNXINFRA,-1.2098
2026-09-04,15:29,CNXIT,-0.0941
2026-09-04,15:29,CNXPHARMA,7.0672
2026-09-04,15:29,CNXREALTY,6.5854
2026-09-04,15:29,CNXSMALLCAP,7.9879
2026-09-04,15:29,INDIAVIX,-23.232
2026-09-04,15:29,NIFTY,-1.3975
2026-09-04,15:29,NIFTY100,-0.6737
2026-09-04,15:29,NIFTY200,0.0457
2026-09-04,15:29,NIFTY500,0.8115
2026-09-04,15:29,NIFTYAUTO,1.6398
2026-09-04,15:29,NIFTYCHEMICALS,2.7399
2026-09-04,15:29,NIFTYCOMMODITIES,0.099
2026-09-04,15:29,NIFTYCONSUMPTION,-0.6872
2026-09-04,15:29,NIFTYFINSERVICE,-0.9042
2026-09-04,15:29,NIFTYFMCG,-7.3244
2026-09-04,15:29,NIFTYHEALTHCARE,4.4574
2026-09-04,15:29,NIFTYHOUSING,0
2026-09-04,15:29,NIFTYINDDEFENCE,7.1569
2026-09-04,15:29,NIFTYLARGEMID250,1.1959
2026-09-04,15:29,NIFTYMEDIA,4.0238
2026-09-04,15:29,NIFTYMETAL,6.5714
2026-09-04,15:29,NIFTYMICROCAP250,9.1882
2026-09-04,15:29,NIFTYMIDCAP150,2.9584
2026-09-04,15:29,NIFTYMIDCAP50,3.6602
2026-09-04,15:29,NIFTYMIDSELECT,3.3003
2026-09-04,15:29,NIFTYMIDSMALLCAP400,4.1999
2026-09-04,15:29,NIFTYOILANDGAS,-0.9465
2026-09-04,15:29,NIFTYPSUBANK,0.5269
2026-09-04,15:29,NIFTYPVTBANK,1.5035
2026-09-04,15:29,NIFTYSMALLCAP250,6.6269
2026-09-04,15:29,NIFTYSMALLCAP50,9.0722
2026-09-04,15:29,NIFTYTOTALMKT,1.2282
2026-09-07,15:29,BANKNIFTY,0.2791
2026-09-07,15:29,CNXENERGY,-0.6917
2026-09-07,15:29,CNXINFRA,-1.2242
2026-09-07,15:29,CNXIT,-2.2226
2026-09-07,15:29,CNXPHARMA,7.3208
2026-09-07,15:29,CNXREALTY,4.4556
2026-09-07,15:29,CNXSMALLCAP,7.4579
2026-09-07,15:29,INDIAVIX,-18.7448
2026-09-07,15:29,NIFTY,-1.7671
2026-09-07,15:29,NIFTY100,-1.0787
2026-09-07,15:29,NIFTY200,-0.4049
2026-09-07,15:29,NIFTY500,0.3618
2026-09-07,15:29,NIFTYAUTO,1.4908
2026-09-07,15:29,NIFTYCHEMICALS,2.1134
2026-09-07,15:29,NIFTYCOMMODITIES,-0.8798
2026-09-07,15:29,NIFTYCONSUMPTION,-0.9395
2026-09-07,15:29,NIFTYFINSERVICE,-1.2576
2026-09-07,15:29,NIFTYFMCG,-7.4579
2026-09-07,15:29,NIFTYHEALTHCARE,4.8222
2026-09-07,15:29,NIFTYHOUSING,0
2026-09-07,15:29,NIFTYINDDEFENCE,7.1318
2026-09-07,15:29,NIFTYLARGEMID250,0.6737
2026-09-07,15:29,NIFTYMEDIA,0.9787
2026-09-07,15:29,NIFTYMETAL,4.899
2026-09-07,15:29,NIFTYMICROCAP250,8.9657
2026-09-07,15:29,NIFTYMIDCAP150,2.3227
2026-09-07,15:29,NIFTYMIDCAP50,3.0104
2026-09-07,15:29,NIFTYMIDSELECT,2.669
2026-09-07,15:29,NIFTYMIDSMALLCAP400,3.6327
2026-09-07,15:29,NIFTYOILANDGAS,-1.4567
2026-09-07,15:29,NIFTYPSUBANK,-0.5035
2026-09-07,15:29,NIFTYPVTBANK,1.1369
2026-09-07,15:29,NIFTYSMALLCAP250,6.1877
2026-09-07,15:29,NIFTYSMALLCAP50,8.5095
2026-09-07,15:29,NIFTYTOTALMKT,0.7862
2026-09-08,15:29,BANKNIFTY,-0.2316
2026-09-08,15:29,CNXENERGY,-0.3977
2026-09-08,15:29,CNXINFRA,-1.6737
2026-09-08,15:29,CNXIT,-2.5638
2026-09-08,15:29,CNXPHARMA,8.0891
2026-09-08,15:29,CNXREALTY,4.4064
2026-09-08,15:29,CNXSMALLCAP,7.6248
2026-09-08,15:29,INDIAVIX,-18.262
2026-09-08,15:29,NIFTY,-2.3247
2026-09-08,15:29,NIFTY100,-1.4458
2026-09-08,15:29,NIFTY200,-0.6601
2026-09-08,15:29,NIFTY500,0.1587
2026-09-08,15:29,NIFTYAUTO,1.7531
2026-09-08,15:29,NIFTYCHEMICALS,2.7664
2026-09-08,15:29,NIFTYCOMMODITIES,-1.1275
2026-09-08,15:29,NIFTYCONSUMPTION,-0.8705
2026-09-08,15:29,NIFTYFINSERVICE,-2.1138
2026-09-08,15:29,NIFTYFMCG,-7.157
2026-09-08,15:29,NIFTYHEALTHCARE,5.439
2026-09-08,15:29,NIFTYHOUSING,0
