date,time,group,ltp,vwap
2026-09-04,15:29,ABCAPITAL,404.9,404.54
2026-09-04,15:29,ABSLAMC,1062.3,1053.06
2026-09-04,15:29,ACMESOLAR,418,417.45
2026-09-04,15:29,AMBER,7474,7470.86
2026-09-04,15:29,ANANDRATHI,2215.8999,2214.1
2026-09-04,15:29,APLAPOLLO,2250,2221.61
2026-09-04,15:29,AUROPHARMA,1653.1,1650.33
2026-09-04,15:29,BAJFINANCE,1060.5,1056.05
2026-09-04,15:29,CGCL,279.9,276.37
2026-09-04,15:29,CRAFTSMAN,11398,11379.79
2026-09-04,15:29,DIXON,14240,14232.49
2026-09-04,15:29,EMCURE,1927.6,1914.94
2026-09-04,15:29,GAIL,173.4,173.08
2026-09-04,15:29,GLAND,2932.3999,2902.86
2026-09-04,15:29,GLAXO,2958.1001,2951.22
2026-09-04,15:29,GLENMARK,2437.2,2435.99
2026-09-04,15:29,GRASIM,3322,3317.24
2026-09-04,15:29,HATSUN,1168.8,1158.89
2026-09-04,15:29,HFCL,231.44,230.42
2026-09-04,15:29,HINDZINC,601,597.38
2026-09-04,15:29,HYUNDAI,2205,2191.74
2026-09-04,15:29,IDEA,15.02,14.96
2026-09-04,15:29,INDOMIM,971.5,965.57
2026-09-04,15:29,INDUSINDBK,1008.5,1002.42
2026-09-04,15:29,IPCALAB,1965.3,1961.37
2026-09-04,15:29,JINDALSTEL,1165,1158.07
2026-09-04,15:29,JSWSTEEL,1325,1321.4
2026-09-04,15:29,KALYANKJIL,598.8,598.65
2026-09-04,15:29,KOTAKBANK,424.5,424.06
2026-09-04,15:29,KPRMILL,1186.3,1186.23
2026-09-04,15:29,LALPATHLAB,1877.5,1874.59
2026-09-04,15:29,MCX,3275.3999,3233.59
2026-09-04,15:29,MOTILALOFS,1037,1032.8
2026-09-04,15:29,NIACL,229.91,223.07
2026-09-04,15:29,PPLPHARMA,214.22,213.21
2026-09-04,15:29,RADICO,4494,4479.6
2026-09-04,15:29,RBLBANK,414.35,413.83
2026-09-04,15:29,REDINGTON,371.3,370.85
2026-09-04,15:29,SUNDRMFAST,1212.3,1205.4
2026-09-04,15:29,TATACAP,375.05,374.6
2026-09-04,15:29,TATACOMM,1756.1,1745.77
2026-09-04,15:29,TITAN,5020,5001.78
2026-09-04,15:29,UNOMINDA,1249.7,1242.67
2026-09-04,15:29,URBANCO,181.09,179.33
2026-09-04,15:29,WOCKPHARMA,2088.7,2059.14
2026-09-07,15:29,ABB,7434,7400.04
2026-09-07,15:29,ABCAPITAL,403.25,401.94
2026-09-07,15:29,AEGISVOPAK,285.35,283.75
2026-09-07,15:29,AJANTPHARM,3513.6001,3513.3
2026-09-07,15:29,APARINDS,17728,17518.09
2026-09-07,15:29,APOLLOHOSP,8760,8746.23
2026-09-07,15:29,ASHOKLEY,170,169.96
2026-09-07,15:29,ASTERDM,795.65,790.93
2026-09-07,15:29,ATHERENERG,1599.3,1595.56
2026-09-07,15:29,AUROPHARMA,1660,1657.16
2026-09-07,15:29,AXISBANK,1266,1265.92
2026-09-07,15:29,BAJAJ-AUTO,11800,11782.89
2026-09-07,15:29,BAJFINANCE,1060,1059.15
2026-09-07,15:29,BOSCHLTD,48025,47894.11
2026-09-07,15:29,CHOLAFIN,1848.2,1826.7
2026-09-07,15:29,CRAFTSMAN,11297,11250.39
2026-09-07,15:29,DIVISLAB,9315,9258.48
2026-09-07,15:29,DIXON,14180,14157.21
2026-09-07,15:29,FLUOROCHEM,4530.5,4519.78
2026-09-07,15:29,GAIL,176,175.67
2026-09-07,15:29,HATSUN,1132.8,1130.53
2026-09-07,15:29,HFCL,243.01,242.02
2026-09-07,15:29,HYUNDAI,2210,2207.92
2026-09-07,15:29,ICICIBANK,1427.5,1426.82
2026-09-07,15:29,IDEA,15.6,15.51
2026-09-07,15:29,IDFCFIRSTB,86.44,86.3
2026-09-07,15:29,IIFL,654.05,652.33
2026-09-07,15:29,IKS,1788,1786.23
2026-09-07,15:29,IPCALAB,1959.1,1956.11
2026-09-07,15:29,JINDALSTEL,1147.9,1141.24
2026-09-07,15:29,LALPATHLAB,1901.9,1896.62
2026-09-07,15:29,LAURUSLABS,1876.7,1859.41
2026-09-07,15:29,M&MFIN,372.35,369.11
2026-09-07,15:29,MANIPALHOS,727.25,724.77
2026-09-07,15:29,MEESHO,210.3,209.66
2026-09-07,15:29,MOTILALOFS,1055,1050.92
2026-09-07,15:29,NAM-INDIA,1195,1177.21
2026-09-07,15:29,NAUKRI,1302.5,1291.29
2026-09-07,15:29,NAVINFLUOR,8603.5,8599.71
2026-09-07,15:29,NEULANDLAB,22870,22712.98
2026-09-07,15:29,NH,1911.8,1908.16
2026-09-07,15:29,NIACL,231.2,230.29
2026-09-07,15:29,OFSS,11847,11795.41
2026-09-07,15:29,OIL,487,484.67
2026-09-07,15:29,PAYTM,1664,1656.39
2026-09-07,15:29,PNBHOUSING,1182.1,1178.08
2026-09-07,15:29,PPLPHARMA,219.66,218.88
2026-09-07,15:29,PWL,129.67,128.81
2026-09-07,15:29,RBLBANK,415,413.62
2026-09-07,15:29,SHYAMMETL,1082.3,1076.79
2026-09-07,15:29,SOLARINDS,21950,21913.95
2026-09-07,15:29,SONACOMS,788,785.88
2026-09-07,15:29,SYRMA,1634.8,1592.19
2026-09-07,15:29,TATACAP,369.95,368.6
2026-09-07,15:29,TITAN,4995,4982.26
2026-09-07,15:29,TMCV,459.65,457.77
2026-09-07,15:29,TORNTPHARM,4914,4883.71
2026-09-07,15:29,TVSMOTOR,4132,4130.6
2026-09-07,15:29,UNIONBANK,186.04,184.32
2026-09-07,15:29,UNOMINDA,1241.7,1232.41
2026-09-07,15:29,WOCKPHARMA,2208,2179.98
2026-09-07,15:29,ZYDUSLIFE,1156.9,1148.32
2026-09-08,15:29,ACMESOLAR,412.6,412.16
2026-09-08,15:29,AEGISLOG,1268.1,1253.12
2026-09-08,15:29,AEGISVOPAK,290.65,288.23
2026-09-08,15:29,AJANTPHARM,3579.3,3552.57
2026-09-08,15:29,ANANDRATHI,2229.5,2224.6
2026-09-08,15:29,ANTHEM,957.8,945.58
2026-09-08,15:29,APARINDS,17635,17510.8
2026-09-08,15:29,APLAPOLLO,2185,2180.46
2026-09-08,15:29,APOLLOHOSP,8837.5,8810.27
2026-09-08,15:29,ASTERDM,790.35,789.09
2026-09-08,15:29,AUBANK,1073.7,1066.51
2026-09-08,15:29,AUROPHARMA,1692,1681.92
2026-09-08,15:29,BAJAJ-AUTO,11880,11810.78
2026-09-08,15:29,BOSCHLTD,48785,48666.16
2026-09-08,15:29,CGPOWER,910.7,908.3
2026-09-08,15:29,CHOLAFIN,1823.4,1822.16
2026-09-08,15:29,COFORGE,1950,1934.46
2026-09-08,15:29,CPPLUS,3828.8,3805.2
2026-09-08,15:29,DATAPATTNS,4932.2998,4858.47
2026-09-08,15:29,DIVISLAB,9575,9473.73
2026-09-08,15:29,DLF,675.1,673.19
2026-09-08,15:29,FEDERALBNK,344.15,344.06
2026-09-08,15:29,FLUOROCHEM,4676.6001,4601.64
2026-09-08,15:29,GAIL,175.09,174.67
2026-09-08,15:29,GLAND,2959.3,2941.69
2026-09-08,15:29,GLENMARK,2474.5,2471.49
2026-09-08,15:29,GRASIM,3306.8,3297.12
2026-09-08,15:29,GVT&D,4750,4706.45
2026-09-08,15:29,HAL,5031.1001,5023.53
2026-09-08,15:29,HATSUN,1198,1187.09
2026-09-08,15:29,HINDCOPPER,532.85,530.49
2026-09-08,15:29,HYUNDAI,2220,2211.27
2026-09-08,15:29,INDUSINDBK,997.7,997.07
2026-09-08,15:29,KALYANKJIL,612.6,608.78
2026-09-08,15:29,KARURVYSYA,341.15,339.34
2026-09-08,15:29,KIRLOSENG,2272.8,2248.01
2026-09-08,15:29,KPRMILL,1135,1133.47
2026-09-08,15:29,LALPATHLAB,1912.5,1905
2026-09-08,15:29,LAURUSLABS,1946.9,1926.73
2026-09-08,15:29,LENSKART,695.75,692.21
2026-09-08,15:29,LGEINDIA,1672.2,1659.6
2026-09-08,15:29,LODHA,1212,1202.36
2026-09-08,15:29,M&MFIN,374.35,373.63
2026-09-08,15:29,MCX,3342,3324.73
2026-09-08,15:29,MEDANTA,1428.6,1418.3
2026-09-08,15:29,MOTHERSON,163.85,162.87
2026-09-08,15:29,MOTILALOFS,1051.5,1048.86
2026-09-08,15:29,NAM-INDIA,1188.9,1187.93
2026-09-08,15:29,NAUKRI,1292,1285.67
2026-09-08,15:29,NAVINFLUOR,8731,8679.17
2026-09-08,15:29,NEULANDLAB,23995,23703.45
2026-09-08,15:29,NUVAMA,1836.4,1824.06
2026-09-08,15:29,NYKAA,341,339.19
2026-09-08,15:29,OFSS,11780,11729.5
2026-09-08,15:29,OIL,495.4,493.78
2026-09-08,15:29,PAYTM,1670,1663.09
2026-09-08,15:29,POLICYBZR,1826,1819.12
2026-09-08,15:29,PPLPHARMA,226.62,226.2
2026-09-08,15:29,RADICO,4485,4455.08
2026-09-08,15:29,RBLBANK,418.5,417.28
2026-09-08,15:29,RUBICON,1860.6,1827.37
2026-09-08,15:29,SAILIFE,1647.1,1635.04
2026-09-08,15:29,SOLARINDS,22455,22349.32
2026-09-08,15:29,SONACOMS,804,792.82
2026-09-08,15:29,STARHEALTH,572.1,567.11
2026-09-08,15:29,SUNDRMFAST,1255,1253.95
2026-09-08,15:29,SYRMA,1639.2,1629.76
2026-09-08,15:29,TATACAP,368.05,367.85
2026-09-08,15:29,TATATECH,798.5,796.24
2026-09-08,15:29,TORNTPHARM,4960,4938.97
2026-09-08,15:29,TVSMOTOR,4133.2002,4111.64
2026-09-08,15:29,UNIONBANK,183.22,183.04
2026-09-08,15:29,UNOMINDA,1237,1233.58
2026-09-08,15:29,WOCKPHARMA,2224,2206.42
2026-09-09,15:29,ABCAPITAL,400,398.98
2026-09-09,15:29,ABSLAMC,1066.5,1041.76
2026-09-09,15:29,ACUTAAS,3241.8,3228.76
2026-09-09,15:29,ADANIENT,3104.7,3083.62
2026-09-09,15:29,ADANIPORTS,1775,1756.54
2026-09-09,15:29,ADANIPOWER,214.9,213.16
2026-09-09,15:29,AEGISLOG,1343.4,1334.26
2026-09-09,15:29,AEGISVOPAK,297.65,295.63
2026-09-09,15:29,APOLLOHOSP,8967,8936.45
2026-09-09,15:29,AUROPHARMA,1698.9,1683.13
2026-09-09,15:29,BAJAJHLDNG,11078,11076.16
