date,time,up 4.5%+ today,down 4.5%+ today,up 20%+ in 5d,down 20%+ in 5d,above 20dma,below 20dma,above 50dma,below 50dma,above 200dma,below 200dma
2025-02-28,00:00,21,403,1,12,119,1802,134,1788,223,1698
2025-03-03,00:00,61,282,1,25,129,1787,121,1796,208,1709
2025-03-04,00:00,149,46,4,17,188,1729,152,1766,222,1696
2025-03-05,00:00,465,8,4,7,370,1551,195,1727,273,1649
2025-03-06,00:00,245,8,11,2,578,1340,269,1650,305,1614
2025-03-07,00:00,166,18,31,2,717,1206,292,1632,329,1595
2025-03-10,00:00,31,370,27,1,447,1464,238,1674,285,1627
2025-03-11,00:00,43,118,22,2,404,1506,227,1684,276,1635
2025-03-12,00:00,35,67,9,3,379,1530,227,1683,264,1646
2025-03-13,00:00,34,55,4,5,349,1560,221,1689,255,1655
2025-03-17,00:00,56,123,4,12,399,1509,234,1675,258,1651
2025-03-18,00:00,312,18,11,2,701,1209,324,1586,303,1608
2025-03-19,00:00,341,7,17,2,1039,871,470,1441,353,1558
2025-03-20,00:00,132,19,23,1,1134,778,561,1352,399,1514
2025-03-21,00:00,232,12,59,0,1377,536,692,1222,464,1450
2025-03-24,00:00,172,15,132,1,1457,456,808,1105,531,1383
2025-03-25,00:00,40,208,44,0,1160,755,676,1238,481,1434
2025-03-26,00:00,24,177,18,3,940,976,582,1334,444,1472
2025-03-27,00:00,120,81,12,3,973,944,631,1286,481,1436
2025-03-28,00:00,52,57,8,2,881,1036,617,1300,467,1450
2025-04-01,00:00,290,31,7,3,1040,882,637,1285,436,1486
2025-04-02,00:00,148,10,11,1,1227,693,737,1183,492,1428
2025-04-03,00:00,190,18,29,2,1379,543,864,1058,541,1381
2025-04-04,00:00,26,459,21,7,775,1146,547,1374,436,1485
2025-04-07,00:00,6,807,13,15,293,1630,288,1635,294,1629
2025-04-08,00:00,253,11,5,7,555,1368,430,1493,366,1557
2025-04-09,00:00,36,87,5,17,497,1425,387,1535,351,1571
2025-04-11,00:00,306,2,4,2,898,1026,567,1357,436,1488
2025-04-15,00:00,438,5,15,0,1468,458,888,1038,553,1373
2025-04-16,00:00,145,12,68,0,1594,332,1031,895,605,1321
2025-04-17,00:00,85,9,43,0,1596,330,1095,831,644,1282
2025-04-21,00:00,178,9,103,0,1721,208,1278,651,726,1203
2025-04-22,00:00,125,13,70,0,1731,197,1359,569,751,1177
2025-04-23,00:00,93,14,42,0,1731,197,1366,562,767,1161
2025-04-24,00:00,82,25,28,1,1711,216,1384,543,760,1167
2025-04-25,00:00,18,354,16,0,1266,660,1024,902,641,1285
2025-04-28,00:00,62,36,17,1,1253,677,1055,875,661,1269
2025-04-29,00:00,52,24,10,1,1209,718,1031,896,649,1278
2025-04-30,00:00,17,100,7,4,848,1079,815,1112,592,1335
2025-05-02,00:00,39,27,7,3,798,1131,808,1121,588,1341
2025-05-05,00:00,128,22,12,1,1044,886,918,1012,632,1298
2025-05-06,00:00,12,305,5,1,657,1271,689,1239,520,1408
2025-05-07,00:00,85,22,4,3,768,1161,786,1143,567,1362
2025-05-08,00:00,46,39,5,2,620,1309,671,1258,520,1408
2025-05-09,00:00,44,41,8,4,532,1397,637,1293,507,1423
2025-05-12,00:00,949,8,14,1,1424,507,1142,790,718,1214
2025-05-13,00:00,157,17,33,1,1551,377,1269,660,760,1169
2025-05-14,00:00,198,10,43,1,1659,269,1448,481,844,1085
2025-05-15,00:00,149,25,84,0,1669,260,1514,416,912,1018
2025-05-16,00:00,189,23,155,0,1714,214,1607,322,978,951
2025-05-19,00:00,175,28,79,0,1727,206,1652,282,1032,902
2025-05-20,00:00,56,72,53,1,1608,321,1549,381,965,965
2025-05-21,00:00,82,34,31,1,1635,294,1568,362,1002,928
2025-05-22,00:00,70,33,27,1,1578,352,1540,391,995,936
2025-05-23,00:00,81,29,23,1,1597,332,1571,359,1034,896
2025-05-26,00:00,114,36,19,0,1589,346,1577,359,1052,884
2025-05-27,00:00,78,25,27,0,1550,381,1545,387,1073,859
2025-05-28,00:00,100,29,24,0,1508,424,1517,415,1065,868
2025-05-29,00:00,100,43,33,0,1473,460,1504,429,1087,847
2025-05-30,00:00,91,57,28,0,1405,529,1484,450,1049,886
2025-06-02,00:00,123,47,26,0,1391,547,1476,462,1053,886
2025-06-03,00:00,67,22,16,0,1287,650,1446,491,1056,882
2025-06-04,00:00,96,20,13,0,1340,599,1458,481,1078,862
2025-06-05,00:00,115,4,16,0,1420,520,1477,463,1109,832
