date,time,group,sector,market cap,1 week %,vol > yr avg
2026-09-04,15:29,ACMESOLAR,realty,largecap,6.1722,3.7411
2026-09-04,15:29,ADOR,industrials,smallcap,2.3722,0.7516
2026-09-04,15:29,AEROENTER,metals & mining,smallcap,-3.0624,0.8899
2026-09-04,15:29,AEROFLEX,metals & mining,midcap,-0.8578,0.52
2026-09-04,15:29,AETHER,chemicals,largecap,-4.1961,0.627
2026-09-04,15:29,AKUMS,healthcare,midcap,-0.8866,1.3011
2026-09-04,15:29,AMANTA,healthcare,smallcap,4.8244,1.7e+308
2026-09-04,15:29,ANTELOPUS,energy,smallcap,21.5737,11.2621
2026-09-04,15:29,APARINDS,industrials,largecap,-2.1457,0.7825
2026-09-04,15:29,APCOTEXIND,chemicals,smallcap,1.6393,1.519
2026-09-04,15:29,APOLLOPIPE,plastic products,smallcap,-4.1046,0.1141
2026-09-04,15:29,ARROWGREEN,plastic products,smallcap,17.6445,0.7212
2026-09-04,15:29,ARVIND,textiles,midcap,1.7668,0.4629
2026-09-04,15:29,ASAHISONG,chemicals,smallcap,1.6226,0.7525
2026-09-04,15:29,ASIANENE,energy,smallcap,7.6227,1.5478
2026-09-04,15:29,ATHERENERG,auto,largecap,-1.9984,1.3795
2026-09-04,15:29,AVADHSUGAR,fmcg,smallcap,-2.4758,0.871
2026-09-04,15:29,AVALON,consumer discretionary,midcap,-1.5728,1.8332
2026-09-04,15:29,AYMSYNTEX,textiles,smallcap,22.1305,2.8214
2026-09-04,15:29,AZAD,aerospace & defence,midcap,-2.568,0.6225
2026-09-04,15:29,BAFNAPH,healthcare,smallcap,1.6317,0.3763
2026-09-04,15:29,BALAMINES,chemicals,midcap,5.6348,1.9824
2026-09-04,15:29,BHAGERIA,chemicals,smallcap,27.6021,1.0464
2026-09-04,15:29,BHEL,industrials,largecap,0.058,0.4579
2026-09-04,15:29,BIRLACABLE,industrials,smallcap,27.5965,2.3454
2026-09-04,15:29,BLISSGVS,healthcare,midcap,14.0962,0.1447
2026-09-04,15:29,BLSE,i.t,smallcap,-1.9004,0.2475
2026-09-04,15:29,BLUESTONE,consumer discretionary,midcap,6.0463,0.6688
2026-09-04,15:29,BLUSPRING,miscellaneous,smallcap,9.0481,1.1244
2026-09-04,15:29,BODALCHEM,chemicals,smallcap,57.065,9.6604
2026-09-04,15:29,CALSOFT,i.t,smallcap,15.4366,1.2469
2026-09-04,15:29,CAPLIPOINT,healthcare,largecap,11.6638,1.7729
2026-09-04,15:29,CENTUM,aerospace & defence,midcap,9.4255,0.4808
2026-09-04,15:29,CGCL,financials,largecap,8.4968,2.6944
2026-09-04,15:29,CHEMBONDCH,chemicals,smallcap,-4.8749,0.2767
2026-09-04,15:29,CHENNPETRO,energy,largecap,8.2842,0.4058
2026-09-04,15:29,COMSYN,industrials,smallcap,6.844,0.345
2026-09-04,15:29,CONFIPET,miscellaneous,smallcap,3.2678,0.9792
2026-09-04,15:29,CONSOFINVT,financials,smallcap,7.1747,1.1584
2026-09-04,15:29,CORDSCABLE,industrials,smallcap,26.1792,4.6462
2026-09-04,15:29,CPPLUS,consumer discretionary,largecap,3.5788,0.738
2026-09-04,15:29,CRAFTSMAN,auto,largecap,2.5184,0.4078
2026-09-04,15:29,CUPID,fmcg,largecap,0.2904,0.2815
2026-09-04,15:29,CYIENTDLM,aerospace & defence,midcap,4.6209,1.8952
2026-09-04,15:29,DATAPATTNS,aerospace & defence,largecap,-0.8606,0.4366
2026-09-04,15:29,DBOL,fmcg,smallcap,-0.3428,1.3711
2026-09-04,15:29,DCBBANK,bank,midcap,3.6484,0.2295
2026-09-04,15:29,DCMNVL,textiles,smallcap,-4.0913,1.0277
2026-09-04,15:29,DEEPINDS,energy,midcap,16.6061,3.5562
2026-09-04,15:29,DIACABS,industrials,midcap,-5.0372,0.349
2026-09-04,15:29,DIFFNKG,industrials,smallcap,15.5474,9.8455
2026-09-04,15:29,DIVGIITTS,auto,smallcap,5.161,0.9915
2026-09-04,15:29,DOLPHIN,energy,smallcap,10.0318,1.4516
2026-09-04,15:29,DREDGECORP,miscellaneous,smallcap,-2.9186,0.2813
2026-09-04,15:29,DYCL,industrials,smallcap,0.0615,3.2051
2026-09-04,15:29,E2E,i.t,midcap,-2.4092,0.4223
2026-09-04,15:29,EBGNG,services,midcap,-5.3299,2.1934
2026-09-04,15:29,EMAMIPAP,building materials,smallcap,1.4706,0.6411
2026-09-04,15:29,EMIL,consumer discretionary,midcap,-2.0355,0.6135
2026-09-04,15:29,ENTERO,healthcare,midcap,1.0505,0.6328
2026-09-04,15:29,ESAFSFB,bank,smallcap,-7.3809,0.2309
2026-09-04,15:29,EXICOM,industrials,smallcap,5.9072,2.5782
2026-09-04,15:29,FCL,chemicals,midcap,2.9582,1.7209
2026-09-04,15:29,FILATEX,textiles,smallcap,-1.4831,0.6006
2026-09-04,15:29,GANDHAR,energy,smallcap,4.3397,0.6208
2026-09-04,15:29,GANESHBE,miscellaneous,smallcap,2.7516,0.2541
2026-09-04,15:29,GAYAPROJ,realty,smallcap,-1.7607,1.0036
2026-09-04,15:29,GCSL,financials,smallcap,9.9483,1.7e+308
2026-09-04,15:29,GHCLTEXTIL,textiles,smallcap,4.534,0.9879
2026-09-04,15:29,GLAND,healthcare,largecap,1.5374,8.1999
2026-09-04,15:29,GLOBAL,services,smallcap,10.5147,5.0302
2026-09-04,15:29,GNA,auto,smallcap,1.548,1.1579
2026-09-04,15:29,GOCLCORP,miscellaneous,smallcap,10.0966,1.6361
2026-09-04,15:29,GRWRHITECH,industrials,midcap,-1.9102,0.4276
2026-09-04,15:29,GULFPETRO,chemicals,smallcap,-2.7302,0.5414
2026-09-04,15:29,HAPPYFORGE,industrials,largecap,-2.9692,0.8918
2026-09-04,15:29,HESTERBIO,healthcare,smallcap,4.4781,6.9074
2026-09-04,15:29,HFCL,telecom,largecap,-7.9652,0.1503
2026-09-04,15:29,HITECHCORP,industrials,smallcap,1.2012,0.4089
2026-09-04,15:29,HONASA,services,midcap,0.085,0.6544
2026-09-04,15:29,ICIL,textiles,midcap,3.4142,0.7629
2026-09-04,15:29,IFCI,financials,largecap,12.6945,11.6414
2026-09-04,15:29,IGPL,chemicals,smallcap,6.574,4.8139
2026-09-04,15:29,INDOBORAX,chemicals,smallcap,3.9992,0.5708
2026-09-04,15:29,INDOTECH,industrials,smallcap,-2.5019,0.1973
2026-09-04,15:29,INDSWFTLAB,healthcare,smallcap,-1.9205,0.855
2026-09-04,15:29,INNOVACAP,healthcare,midcap,11.4018,4.7268
2026-09-04,15:29,INOXINDIA,industrials,largecap,5.7191,4.8172
2026-09-04,15:29,IOLCP,healthcare,midcap,2.5648,1.5329
