date,time,oversold,overbought
2019-07-01,00:00,160,28
2019-07-08,00:00,190,19
2019-07-15,00:00,299,21
2019-07-22,00:00,337,14
2019-07-29,00:00,469,15
2019-08-05,00:00,341,19
2019-08-13,00:00,364,16
2019-08-19,00:00,484,15
2019-08-26,00:00,316,22
2019-09-03,00:00,248,19
2019-09-09,00:00,107,18
2019-09-16,00:00,116,20
2019-09-23,00:00,119,39
2019-09-30,00:00,175,30
2019-10-07,00:00,195,37
2019-10-14,00:00,156,42
2019-10-22,00:00,135,56
2019-10-29,00:00,94,60
2019-11-04,00:00,75,47
2019-11-11,00:00,93,45
2019-11-18,00:00,87,34
2019-11-25,00:00,80,54
2019-12-02,00:00,82,31
2019-12-09,00:00,90,38
2019-12-16,00:00,75,37
2019-12-23,00:00,69,41
2019-12-30,00:00,39,69
2020-01-06,00:00,34,79
2020-01-13,00:00,26,108
2020-01-20,00:00,25,121
2020-01-27,00:00,40,89
2020-02-03,00:00,34,113
2020-02-10,00:00,54,121
2020-02-17,00:00,68,134
2020-02-24,00:00,133,58
2020-03-02,00:00,222,44
2020-03-09,00:00,514,6
2020-03-16,00:00,787,1
2020-03-23,00:00,872,1
2020-03-30,00:00,740,6
2020-04-07,00:00,355,14
2020-04-13,00:00,179,16
2020-04-20,00:00,191,18
2020-04-27,00:00,124,20
2020-05-04,00:00,169,13
2020-05-11,00:00,158,16
2020-05-18,00:00,195,20
2020-05-26,00:00,122,18
2020-06-01,00:00,17,30
2020-06-08,00:00,12,39
2020-06-15,00:00,5,65
2020-06-22,00:00,3,96
2020-06-29,00:00,2,98
2020-07-06,00:00,6,92
2020-07-13,00:00,3,82
2020-07-20,00:00,6,90
2020-07-27,00:00,6,101
2020-08-03,00:00,5,149
2020-08-10,00:00,3,139
2020-08-17,00:00,3,198
2020-08-24,00:00,2,198
2020-08-31,00:00,2,108
2020-09-07,00:00,2,119
2020-09-14,00:00,5,166
2020-09-21,00:00,8,95
2020-09-28,00:00,6,113
2020-10-05,00:00,7,121
2020-10-12,00:00,12,99
2020-10-19,00:00,8,105
2020-10-26,00:00,10,75
2020-11-02,00:00,9,92
2020-11-09,00:00,11,137
2020-11-17,00:00,5,178
2020-11-23,00:00,7,219
2020-12-01,00:00,5,308
2020-12-07,00:00,3,366
2020-12-14,00:00,3,409
2020-12-21,00:00,5,324
2020-12-28,00:00,6,442
2021-01-04,00:00,3,561
2021-01-11,00:00,3,411
2021-01-18,00:00,4,300
2021-01-25,00:00,5,193
2021-02-01,00:00,4,329
2021-02-08,00:00,4,361
2021-02-15,00:00,8,358
2021-02-22,00:00,7,340
2021-03-01,00:00,16,407
2021-03-08,00:00,14,399
2021-03-15,00:00,11,227
2021-03-22,00:00,20,164
2021-03-30,00:00,16,222
2021-04-05,00:00,11,259
2021-04-12,00:00,12,159
2021-04-19,00:00,14,147
2021-04-26,00:00,16,205
2021-05-03,00:00,12,275
2021-05-10,00:00,12,271
2021-05-17,00:00,7,347
2021-05-24,00:00,8,379
2021-05-31,00:00,7,475
2021-06-07,00:00,7,616
2021-06-14,00:00,8,472
2021-06-21,00:00,7,518
2021-06-28,00:00,8,562
2021-07-05,00:00,9,587
2021-07-12,00:00,11,648
2021-07-19,00:00,11,572
2021-07-26,00:00,11,568
2021-08-02,00:00,12,500
2021-08-09,00:00,13,375
2021-08-16,00:00,21,228
2021-08-23,00:00,15,236
2021-08-30,00:00,12,290
2021-09-06,00:00,13,314
2021-09-13,00:00,11,310
2021-09-20,00:00,11,298
2021-09-27,00:00,10,297
2021-10-04,00:00,7,367
2021-10-11,00:00,8,416
2021-10-18,00:00,10,219
2021-10-25,00:00,11,141
2021-11-01,00:00,11,229
2021-11-08,00:00,12,248
2021-11-15,00:00,20,165
2021-11-22,00:00,23,152
2021-11-29,00:00,27,154
2021-12-06,00:00,18,193
2021-12-13,00:00,21,169
2021-12-20,00:00,27,164
2021-12-27,00:00,18,233
2022-01-03,00:00,17,292
2022-01-10,00:00,16,341
2022-01-17,00:00,22,253
2022-01-24,00:00,30,150
2022-01-31,00:00,22,172
2022-02-07,00:00,31,97
2022-02-14,00:00,47,64
2022-02-21,00:00,104,36
2022-02-28,00:00,109,46
2022-03-07,00:00,79,62
2022-03-14,00:00,67,66
2022-03-21,00:00,72,76
2022-03-28,00:00,52,112
2022-04-04,00:00,18,148
2022-04-11,00:00,18,150
2022-04-18,00:00,21,157
2022-04-25,00:00,29,101
2022-05-02,00:00,47,49
2022-05-09,00:00,103,19
2022-05-16,00:00,64,32
2022-05-23,00:00,74,20
2022-05-30,00:00,48,24
2022-06-06,00:00,75,31
2022-06-13,00:00,142,23
2022-06-20,00:00,110,21
2022-06-27,00:00,90,24
2022-07-04,00:00,56,29
2022-07-11,00:00,62,35
2022-07-18,00:00,28,48
2022-07-25,00:00,32,62
2022-08-01,00:00,20,73
2022-08-08,00:00,17,85
2022-08-16,00:00,18,100
2022-08-22,00:00,18,133
2022-08-29,00:00,19,175
2022-09-05,00:00,17,202
2022-09-12,00:00,19,177
2022-09-19,00:00,22,143
2022-09-26,00:00,28,104
2022-10-03,00:00,18,131
2022-10-10,00:00,24,91
2022-10-17,00:00,29,94
2022-10-24,00:00,32,112
2022-10-31,00:00,22,133
2022-11-07,00:00,23,131
2022-11-14,00:00,33,122
2022-11-21,00:00,30,149
2022-11-28,00:00,19,178
2022-12-05,00:00,18,152
2022-12-12,00:00,24,164
2022-12-19,00:00,66,28
2022-12-26,00:00,26,63
2023-01-02,00:00,23,68
2023-01-09,00:00,22,72
2023-01-16,00:00,26,71
2023-01-23,00:00,52,41
2023-01-30,00:00,77,50
2023-02-06,00:00,68,51
2023-02-13,00:00,96,47
2023-02-20,00:00,136,45
2023-02-27,00:00,111,50
2023-03-06,00:00,105,54
2023-03-13,00:00,184,40
2023-03-20,00:00,212,50
2023-03-27,00:00,248,53
2023-04-03,00:00,55,70
2023-04-10,00:00,34,75
2023-04-17,00:00,31,72
2023-04-24,00:00,26,93
2023-05-02,00:00,22,112
2023-05-08,00:00,19,132
2023-05-15,00:00,24,147
2023-05-22,00:00,19,160
2023-05-29,00:00,17,228
2023-06-05,00:00,14,256
2023-06-12,00:00,10,333
2023-06-19,00:00,14,254
2023-06-26,00:00,12,355
2023-07-03,00:00,11,402
2023-07-10,00:00,16,455
2023-07-17,00:00,15,479
2023-07-24,00:00,15,479
2023-07-31,00:00,13,463
2023-08-07,00:00,11,430
2023-08-14,00:00,14,398
2023-08-21,00:00,17,432
2023-08-28,00:00,9,534
2023-09-04,00:00,8,635
2023-09-11,00:00,7,513
2023-09-18,00:00,9,342
2023-09-25,00:00,15,375
2023-10-03,00:00,15,372
2023-10-09,00:00,9,407
2023-10-16,00:00,10,374
2023-10-23,00:00,14,191
2023-10-30,00:00,14,235
2023-11-06,00:00,13,328
2023-11-13,00:00,11,393
2023-11-20,00:00,10,405
2023-11-28,00:00,8,454
2023-12-04,00:00,11,510
2023-12-11,00:00,11,588
2023-12-18,00:00,12,525
2023-12-26,00:00,4,543
