date,time,group,percentage
2021-12-27,00:00,largecap,67.6471
2021-12-27,00:00,midcap,67.7116
2021-12-27,00:00,smallcap,75.794
2022-01-03,00:00,largecap,71.987
2022-01-03,00:00,midcap,71.0692
2022-01-03,00:00,smallcap,82.7234
2022-01-10,00:00,largecap,75.4153
2022-01-10,00:00,midcap,74.1214
2022-01-10,00:00,smallcap,86.6891
2022-01-17,00:00,largecap,67.4419
2022-01-17,00:00,midcap,69.0096
2022-01-17,00:00,smallcap,81.8944
2022-01-24,00:00,largecap,56.8106
2022-01-24,00:00,midcap,63.8978
2022-01-24,00:00,smallcap,74.9161
2022-01-31,00:00,largecap,66.4452
2022-01-31,00:00,midcap,66.1342
2022-01-31,00:00,smallcap,78.2245
2022-02-07,00:00,largecap,59.1362
2022-02-07,00:00,midcap,56.3694
2022-02-07,00:00,smallcap,70.5342
2022-02-14,00:00,largecap,51.6556
2022-02-14,00:00,midcap,48.7261
2022-02-14,00:00,smallcap,61.8849
2022-02-21,00:00,largecap,38.4106
2022-02-21,00:00,midcap,36.5079
2022-02-21,00:00,smallcap,42.3686
2022-02-28,00:00,largecap,36.4238
2022-02-28,00:00,midcap,35.1266
2022-02-28,00:00,smallcap,43.547
2022-03-07,00:00,largecap,42.3841
2022-03-07,00:00,midcap,44.3038
2022-03-07,00:00,smallcap,52.9412
2022-03-14,00:00,largecap,49.6689
2022-03-14,00:00,midcap,48.1013
2022-03-14,00:00,smallcap,58.6921
2022-03-21,00:00,largecap,47.0199
2022-03-21,00:00,midcap,47.4684
2022-03-21,00:00,smallcap,54.703
2022-03-28,00:00,largecap,54.1254
2022-03-28,00:00,midcap,51.1041
2022-03-28,00:00,smallcap,59.6535
2022-04-04,00:00,largecap,64.6865
2022-04-04,00:00,midcap,62.8931
2022-04-04,00:00,smallcap,74.6502
2022-04-11,00:00,largecap,61.3861
2022-04-11,00:00,midcap,60.3774
2022-04-11,00:00,smallcap,74.1619
2022-04-18,00:00,largecap,58.0858
2022-04-18,00:00,midcap,59.2476
2022-04-18,00:00,smallcap,70.5642
2022-04-25,00:00,largecap,55.1155
