date,time,group,% change
2026-09-04,15:29,20MICRONS,12.7902
2026-09-04,15:29,3BBLACKBIO,27.1421
2026-09-04,15:29,63MOONS,12.3358
2026-09-04,15:29,AADHARHFC,-0.8408
2026-09-04,15:29,AARTIDRUGS,5.0883
2026-09-04,15:29,AARTIPHARM,-0.3655
2026-09-04,15:29,ABCAPITAL,1.555
2026-09-04,15:29,ABDL,-0.1146
2026-09-04,15:29,ABSLAMC,4.2493
2026-09-04,15:29,ACCELYA,-0.2909
2026-09-04,15:29,ACE,1.0506
2026-09-04,15:29,ACMESOLAR,14.5519
2026-09-04,15:29,ACUTAAS,-0.9286
2026-09-04,15:29,ADANIPORTS,0.9639
2026-09-04,15:29,ADANIPOWER,1.7882
2026-09-04,15:29,ADFFOODS,0.7419
2026-09-04,15:29,ADOR,9.7751
2026-09-04,15:29,ADVAIT,3.4677
2026-09-04,15:29,ADVANCE,0.3161
2026-09-04,15:29,ADVENTHTL,-0.2446
2026-09-04,15:29,AEGISLOG,-1.3207
2026-09-04,15:29,AEGISVOPAK,5.5659
2026-09-04,15:29,AEROENTER,12.7893
2026-09-04,15:29,AEROFLEX,17.9006
2026-09-04,15:29,AETHER,1.2393
2026-09-04,15:29,AFCONS,7.7659
2026-09-04,15:29,AFSL,0.4324
2026-09-04,15:29,AGARWALEYE,2.492
2026-09-04,15:29,AGI,2.6169
2026-09-04,15:29,AJAXENGG,2.6796
2026-09-04,15:29,AJMERA,-0.7919
2026-09-04,15:29,AKCAPIT,-0.6293
2026-09-04,15:29,AKUMS,2.9234
2026-09-04,15:29,ALEMBICLTD,23.5829
2026-09-04,15:29,ALKYLAMINE,5.2497
2026-09-04,15:29,ALLDIGI,-0.4201
2026-09-04,15:29,AMANTA,18.2173
2026-09-04,15:29,AMBER,2.9618
2026-09-04,15:29,AMBIKCO,1.4357
2026-09-04,15:29,AMRUTANJAN,2.7651
2026-09-04,15:29,ANANDRATHI,1.8336
2026-09-04,15:29,ANANTRAJ,-0.3346
2026-09-04,15:29,ANDHRAPAP,7.4883
2026-09-04,15:29,ANGELONE,2.1465
2026-09-04,15:29,ANTELOPUS,19.5093
2026-09-04,15:29,ANTHEM,4.0145
2026-09-04,15:29,ANUHPHR,7.1051
2026-09-04,15:29,ANURAS,3.4923
2026-09-04,15:29,APARINDS,5.4285
2026-09-04,15:29,APCOTEXIND,4.9632
2026-09-04,15:29,APLAPOLLO,8.1055
2026-09-04,15:29,APLLTD,-1.7326
2026-09-04,15:29,APOLLO,0.478
2026-09-04,15:29,APOLLOPIPE,10.9664
2026-09-04,15:29,APOLLOTYRE,-1.6373
2026-09-04,15:29,APTUS,1.4303
2026-09-04,15:29,AQYLON,3.0748
2026-09-04,15:29,ARFIN,4.2418
2026-09-04,15:29,ARIES,15.0581
2026-09-04,15:29,ARIHANTCAP,8.466
2026-09-04,15:29,ARMANFIN,5.4206
2026-09-04,15:29,ARROWGREEN,5.913
2026-09-04,15:29,ARSSBL,1.1489
2026-09-04,15:29,ARTEMISMED,5.8524
2026-09-04,15:29,ARVIND,0.1177
2026-09-04,15:29,ARVINDFASN,0.5291
2026-09-04,15:29,ASAHIINDIA,2.6525
2026-09-04,15:29,ASHIANA,-1.4932
2026-09-04,15:29,ASHOKA,2.0129
2026-09-04,15:29,ASIANENE,21.6814
2026-09-04,15:29,ASIANHOTNR,28.25
2026-09-04,15:29,ASIANTILES,4.7738
2026-09-04,15:29,ASTAR,-0.6032
2026-09-04,15:29,ASTRAMICRO,1.2829
2026-09-04,15:29,ATHERENERG,6.6523
2026-09-04,15:29,ATL,5.8553
