date,time,group,high
2026-09-04,15:29,aerospace & defence,45.4545
2026-09-04,15:29,auto,32.4324
2026-09-04,15:29,bank,50
2026-09-04,15:29,building materials,6.25
2026-09-04,15:29,chemicals,28
2026-09-04,15:29,co-working,1.7e+308
2026-09-04,15:29,consumer discretionary,24.1379
2026-09-04,15:29,energy,21.4286
2026-09-04,15:29,financials,33.8028
2026-09-04,15:29,fmcg,23.0769
2026-09-04,15:29,healthcare,56.25
2026-09-04,15:29,i.t,30.7692
2026-09-04,15:29,industrials,45.2381
2026-09-04,15:29,media,25
2026-09-04,15:29,metals & mining,22.7273
2026-09-04,15:29,miscellaneous,0
2026-09-04,15:29,plastic products,0
2026-09-04,15:29,power & utilities,0
2026-09-04,15:29,realty,26.087
2026-09-04,15:29,services,38.4615
2026-09-04,15:29,telecom,66.6667
2026-09-04,15:29,telecom-service,0
2026-09-04,15:29,textiles,50
2026-09-04,15:29,transportation,33.3333
2026-09-07,15:29,aerospace & defence,36.3636
2026-09-07,15:29,auto,29.7297
2026-09-07,15:29,bank,50
2026-09-07,15:29,building materials,6.25
2026-09-07,15:29,chemicals,20
2026-09-07,15:29,co-working,1.7e+308
2026-09-07,15:29,consumer discretionary,20.6897
2026-09-07,15:29,energy,28.5714
2026-09-07,15:29,financials,30.9859
2026-09-07,15:29,fmcg,26.9231
2026-09-07,15:29,healthcare,56.25
2026-09-07,15:29,i.t,25.641
2026-09-07,15:29,industrials,40.4762
2026-09-07,15:29,media,25
2026-09-07,15:29,metals & mining,18.1818
2026-09-07,15:29,miscellaneous,0
2026-09-07,15:29,plastic products,0
2026-09-07,15:29,power & utilities,0
2026-09-07,15:29,realty,26.087
2026-09-07,15:29,services,38.4615
2026-09-07,15:29,telecom,66.6667
2026-09-07,15:29,telecom-service,0
2026-09-07,15:29,textiles,50
2026-09-07,15:29,transportation,16.6667
2026-09-08,15:29,aerospace & defence,45.4545
2026-09-08,15:29,auto,27.027
2026-09-08,15:29,bank,45.8333
2026-09-08,15:29,building materials,6.25
2026-09-08,15:29,chemicals,20
2026-09-08,15:29,co-working,1.7e+308
2026-09-08,15:29,consumer discretionary,24.1379
2026-09-08,15:29,energy,28.5714
2026-09-08,15:29,financials,29.5775
2026-09-08,15:29,fmcg,30.7692
2026-09-08,15:29,healthcare,56.25
2026-09-08,15:29,i.t,28.2051
2026-09-08,15:29,industrials,40.4762
2026-09-08,15:29,media,25
2026-09-08,15:29,metals & mining,18.1818
2026-09-08,15:29,miscellaneous,0
2026-09-08,15:29,plastic products,0
2026-09-08,15:29,power & utilities,0
2026-09-08,15:29,realty,21.7391
2026-09-08,15:29,services,38.4615
2026-09-08,15:29,telecom,66.6667
2026-09-08,15:29,telecom-service,0
2026-09-08,15:29,textiles,50
2026-09-08,15:29,transportation,25
2026-09-09,15:29,aerospace & defence,36.3636
2026-09-09,15:29,auto,27.027
2026-09-09,15:29,bank,45.8333
2026-09-09,15:29,building materials,12.5
2026-09-09,15:29,chemicals,20
2026-09-09,15:29,co-working,1.7e+308
2026-09-09,15:29,consumer discretionary,24.1379
2026-09-09,15:29,energy,28.5714
2026-09-09,15:29,financials,21.1268
2026-09-09,15:29,fmcg,26.9231
2026-09-09,15:29,healthcare,54.1667
2026-09-09,15:29,i.t,20.5128
2026-09-09,15:29,industrials,40.4762
2026-09-09,15:29,media,25
2026-09-09,15:29,metals & mining,27.2727
2026-09-09,15:29,miscellaneous,0
2026-09-09,15:29,plastic products,0
2026-09-09,15:29,power & utilities,0
2026-09-09,15:29,realty,21.7391
2026-09-09,15:29,services,46.1538
2026-09-09,15:29,telecom,66.6667
2026-09-09,15:29,telecom-service,0
2026-09-09,15:29,textiles,50
2026-09-09,15:29,transportation,33.3333
