date,time,%,50/50
2026-01-29,00:00,19.1115,50
2026-01-30,00:00,21.8008,50
2026-02-01,00:00,16.1315,50
2026-02-02,00:00,16.4571,50
2026-02-03,00:00,33.3461,50
2026-02-04,00:00,38.3556,50
2026-02-05,00:00,35.0306,50
2026-02-06,00:00,35.0172,50
2026-02-09,00:00,48.134,50
2026-02-10,00:00,51.9923,50
2026-02-11,00:00,51.2821,50
2026-02-12,00:00,46.8989,50
2026-02-13,00:00,35.8483,50
2026-02-16,00:00,35.8935,50
2026-02-17,00:00,39.7402,50
2026-02-18,00:00,42.2299,50
2026-02-19,00:00,34.1091,50
2026-02-20,00:00,34.8589,50
2026-02-23,00:00,36.1153,50
2026-02-24,00:00,30.6987,50
2026-02-25,00:00,33.7019,50
2026-02-26,00:00,34.718,50
2026-02-27,00:00,30.5757,50
2026-03-02,00:00,22.1172,50
2026-03-04,00:00,17.8259,50
2026-03-05,00:00,20.9046,50
2026-03-06,00:00,20.2051,50
2026-03-09,00:00,14.8944,50
2026-03-10,00:00,19.514,50
2026-03-11,00:00,19.3548,50
2026-03-12,00:00,19.0512,50
2026-03-13,00:00,13.7277,50
2026-03-16,00:00,11.8599,50
2026-03-17,00:00,13.2777,50
2026-03-18,00:00,17.5958,50
2026-03-19,00:00,11.5239,50
2026-03-20,00:00,14.4537,50
2026-03-23,00:00,7.8977,50
2026-03-24,00:00,10.5303,50
2026-03-25,00:00,13.9341,50
2026-03-27,00:00,10.775,50
2026-03-30,00:00,9.1557,50
2026-04-01,00:00,14.1616,50
2026-04-02,00:00,15.8688,50
2026-04-06,00:00,20.1048,50
2026-04-07,00:00,23.7199,50
2026-04-08,00:00,47.1741,50
2026-04-09,00:00,47.1009,50
2026-04-10,00:00,62.5189,50
2026-04-13,00:00,57.5383,50
2026-04-15,00:00,77.271,50
2026-04-16,00:00,80.3167,50
2026-04-17,00:00,85.5526,50
2026-04-20,00:00,80.9683,50
2026-04-21,00:00,80.7483,50
2026-04-22,00:00,82.6734,50
2026-04-23,00:00,78.032,50
2026-04-24,00:00,68.75,50
2026-04-27,00:00,76.2351,50
2026-04-28,00:00,73.4835,50
2026-04-29,00:00,73.9099,50
2026-04-30,00:00,70.0836,50
2026-05-04,00:00,72.3902,50
2026-05-05,00:00,71.2886,50
2026-05-06,00:00,80.0363,50
2026-05-07,00:00,83.4603,50
2026-05-08,00:00,80.8989,50
2026-05-11,00:00,71.7266,50
2026-05-12,00:00,56.1321,50
2026-05-13,00:00,57.8012,50
2026-05-14,00:00,58.0283,50
2026-05-15,00:00,55.8621,50
2026-05-18,00:00,45.8739,50
2026-05-19,00:00,50.9612,50
2026-05-20,00:00,51.4327,50
2026-05-21,00:00,54.2847,50
2026-05-22,00:00,54.5685,50
2026-05-25,00:00,62.1272,50
2026-05-26,00:00,61.5552,50
2026-05-27,00:00,62.4683,50
2026-05-29,00:00,56.1664,50
2026-06-01,00:00,48.9759,50
2026-06-02,00:00,51.9841,50
2026-06-03,00:00,49.693,50
2026-06-04,00:00,50.1443,50
2026-06-05,00:00,51.0654,50
2026-06-08,00:00,39.0147,50
2026-06-09,00:00,48.4629,50
2026-06-10,00:00,40.6939,50
2026-06-11,00:00,35.9725,50
2026-06-12,00:00,49.6208,50
2026-06-15,00:00,60.7104,50
2026-06-16,00:00,64.0101,50
2026-06-17,00:00,65.8607,50
2026-06-18,00:00,67.2439,50
2026-06-19,00:00,67.1836,50
2026-06-22,00:00,69.5419,50
2026-06-23,00:00,64.2831,50
2026-06-24,00:00,64.2857,50
2026-06-25,00:00,61.5579,50
2026-06-29,00:00,56.4424,50
2026-06-30,00:00,57.6937,50
2026-07-01,00:00,59.7986,50
2026-07-02,00:00,63.79,50
2026-07-03,00:00,64.2498,50
2026-07-06,00:00,63.0791,50
2026-07-07,00:00,59.6195,50
2026-07-08,00:00,47.1095,50
2026-07-09,00:00,53.7661,50
2026-07-10,00:00,60.4092,50
2026-07-13,00:00,61.5686,50
2026-07-14,00:00,56.687,50
2026-07-15,00:00,58.038,50
2026-07-16,00:00,56.8109,50
2026-07-17,00:00,54.3696,50
2026-07-20,00:00,56.5977,50
2026-07-21,00:00,56.5248,50
2026-07-22,00:00,51.0905,50
2026-07-23,00:00,44.8461,50
2026-07-24,00:00,45.3767,50
2026-07-27,00:00,51.5969,50
2026-07-28,00:00,47.3609,50
2026-07-29,00:00,52.1056,50
2026-07-30,00:00,48.8596,50
2026-07-31,00:00,51.8162,50
2026-08-03,00:00,58.9046,50
2026-08-04,00:00,58.2948,50
2026-08-05,00:00,61.5957,50
2026-08-06,00:00,61.7157,50
2026-08-07,00:00,60.7864,50
2026-08-10,00:00,60.7961,50
2026-08-11,00:00,58.5987,50
2026-08-12,00:00,56.6926,50
2026-08-13,00:00,56.5417,50
2026-08-14,00:00,54.3847,50
2026-08-17,00:00,52.6297,50
2026-08-18,00:00,50.168,50
2026-08-19,00:00,48.755,50
2026-08-20,00:00,53.4454,50
2026-08-21,00:00,54.4448,50
2026-08-24,00:00,53.4178,50
2026-08-25,00:00,53.6373,50
2026-08-26,00:00,56.0094,50
2026-08-27,00:00,52.2803,50
2026-08-28,00:00,53.8307,50
2026-08-31,00:00,50.3827,50
2026-09-01,00:00,45.4606,50
2026-09-02,00:00,41.5749,50
2026-09-03,00:00,46.3154,50
2026-09-04,00:00,49.0503,50
2026-09-07,00:00,44.9934,50
2026-09-08,00:00,45.3577,50
2026-09-09,00:00,44.4555,50
2026-09-10,00:00,42.8143,50
2026-09-11,00:00,40.3532,50
2026-09-15,00:00,29.3338,50
