date,time,% below rsi 50,% above rsi 50
2019-07-01,00:00,0.7129,0.2756
2019-07-08,00:00,0.7563,0.2316
2019-07-15,00:00,0.8185,0.1686
2019-07-22,00:00,0.8364,0.15
2019-07-29,00:00,0.882,0.1038
2019-08-05,00:00,0.843,0.1422
2019-08-13,00:00,0.861,0.1275
2019-08-19,00:00,0.8738,0.1074
2019-08-26,00:00,0.8449,0.1344
2019-09-03,00:00,0.827,0.153
2019-09-09,00:00,0.7338,0.2462
2019-09-16,00:00,0.7009,0.279
2019-09-23,00:00,0.6678,0.3116
2019-09-30,00:00,0.7758,0.2043
2019-10-07,00:00,0.7647,0.2167
2019-10-14,00:00,0.6889,0.2918
2019-10-22,00:00,0.6755,0.3073
2019-10-29,00:00,0.5905,0.3928
2019-11-04,00:00,0.6157,0.3644
2019-11-11,00:00,0.6495,0.3307
2019-11-18,00:00,0.6442,0.3353
2019-11-25,00:00,0.6175,0.3693
2019-12-02,00:00,0.6741,0.3102
2019-12-09,00:00,0.6816,0.302
2019-12-16,00:00,0.6621,0.3215
2019-12-23,00:00,0.61,0.3756
2019-12-30,00:00,0.4997,0.4839
2020-01-06,00:00,0.4728,0.5095
2020-01-13,00:00,0.3344,0.6479
2020-01-20,00:00,0.3756,0.6074
2020-01-27,00:00,0.5765,0.4059
2020-02-03,00:00,0.4964,0.4899
2020-02-10,00:00,0.5785,0.4078
2020-02-17,00:00,0.5927,0.393
2020-02-24,00:00,0.7668,0.2195
2020-03-02,00:00,0.8082,0.1801
2020-03-09,00:00,0.9031,0.0845
2020-03-16,00:00,0.9466,0.041
2020-03-23,00:00,0.9583,0.0292
2020-03-30,00:00,0.9467,0.0403
2020-04-07,00:00,0.9012,0.0871
2020-04-13,00:00,0.8587,0.1309
2020-04-20,00:00,0.8562,0.1347
2020-04-27,00:00,0.8138,0.1785
2020-05-04,00:00,0.8532,0.1403
2020-05-11,00:00,0.8408,0.1527
2020-05-18,00:00,0.8338,0.161
2020-05-26,00:00,0.7857,0.2091
2020-06-01,00:00,0.5859,0.4083
2020-06-08,00:00,0.5625,0.4323
2020-06-15,00:00,0.4398,0.5557
2020-06-22,00:00,0.3314,0.6641
2020-06-29,00:00,0.3659,0.629
2020-07-06,00:00,0.3537,0.6418
2020-07-13,00:00,0.4026,0.5916
2020-07-20,00:00,0.4077,0.5859
2020-07-27,00:00,0.4764,0.5165
2020-08-03,00:00,0.3482,0.6441
2020-08-10,00:00,0.2662,0.7249
2020-08-17,00:00,0.1557,0.836
2020-08-24,00:00,0.1117,0.8774
2020-08-31,00:00,0.2285,0.7601
2020-09-07,00:00,0.2865,0.7013
2020-09-14,00:00,0.2647,0.7232
2020-09-21,00:00,0.4442,0.5417
2020-09-28,00:00,0.3713,0.6146
2020-10-05,00:00,0.3692,0.6118
2020-10-12,00:00,0.4305,0.5481
2020-10-19,00:00,0.3779,0.6013
2020-10-26,00:00,0.4345,0.5428
2020-11-02,00:00,0.379,0.5971
2020-11-09,00:00,0.2914,0.6842
2020-11-17,00:00,0.2368,0.7377
2020-11-23,00:00,0.1676,0.8093
2020-12-01,00:00,0.0965,0.8811
2020-12-07,00:00,0.0608,0.9156
2020-12-14,00:00,0.0465,0.9281
2020-12-21,00:00,0.0644,0.9084
2020-12-28,00:00,0.0481,0.9254
2021-01-04,00:00,0.0387,0.936
2021-01-11,00:00,0.0549,0.9242
2021-01-18,00:00,0.1108,0.87
2021-01-25,00:00,0.1805,0.8022
2021-02-01,00:00,0.1279,0.8554
2021-02-08,00:00,0.1301,0.8534
2021-02-15,00:00,0.1631,0.8216
2021-02-22,00:00,0.1834,0.7988
2021-03-01,00:00,0.1385,0.8433
2021-03-08,00:00,0.156,0.8241
2021-03-15,00:00,0.2632,0.7169
2021-03-22,00:00,0.3275,0.6544
2021-03-30,00:00,0.2613,0.7188
2021-04-05,00:00,0.2142,0.7659
2021-04-12,00:00,0.3187,0.6608
2021-04-19,00:00,0.341,0.6386
2021-04-26,00:00,0.265,0.7128
2021-05-03,00:00,0.2227,0.7557
2021-05-10,00:00,0.1775,0.8016
2021-05-17,00:00,0.1183,0.8596
2021-05-24,00:00,0.0954,0.8837
2021-05-31,00:00,0.0666,0.9155
2021-06-07,00:00,0.0434,0.9405
2021-06-14,00:00,0.0739,0.9106
2021-06-21,00:00,0.0702,0.9144
2021-06-28,00:00,0.073,0.9127
2021-07-05,00:00,0.0651,0.9207
2021-07-12,00:00,0.0591,0.9261
2021-07-19,00:00,0.0815,0.902
2021-07-26,00:00,0.1045,0.8807
2021-08-02,00:00,0.1205,0.8618
2021-08-09,00:00,0.1751,0.8055
2021-08-16,00:00,0.3109,0.6669
2021-08-23,00:00,0.2756,0.6998
2021-08-30,00:00,0.208,0.7669
2021-09-06,00:00,0.2141,0.7597
2021-09-13,00:00,0.1945,0.7793
2021-09-20,00:00,0.2342,0.738
2021-09-27,00:00,0.2097,0.7626
2021-10-04,00:00,0.1537,0.8186
2021-10-11,00:00,0.1336,0.8399
2021-10-18,00:00,0.2575,0.7144
2021-10-25,00:00,0.332,0.6399
2021-11-01,00:00,0.2431,0.7299
2021-11-08,00:00,0.2393,0.7344
2021-11-15,00:00,0.3504,0.6212
2021-11-22,00:00,0.4382,0.5367
2021-11-29,00:00,0.4345,0.5373
2021-12-06,00:00,0.3033,0.6691
2021-12-13,00:00,0.4062,0.5635
2021-12-20,00:00,0.4293,0.541
2021-12-27,00:00,0.319,0.6486
2022-01-03,00:00,0.2378,0.7272
2022-01-10,00:00,0.1895,0.776
2022-01-17,00:00,0.2611,0.7051
2022-01-24,00:00,0.3659,0.602
2022-01-31,00:00,0.294,0.6728
2022-02-07,00:00,0.4006,0.5652
2022-02-14,00:00,0.5033,0.4641
2022-02-21,00:00,0.6895,0.2785
