date,time,group,column1
2026-09-04,15:29,aerospace & defence,16
2026-09-04,15:29,auto,21
2026-09-04,15:29,bank,14
2026-09-04,15:29,building materials,44
2026-09-04,15:29,chemicals,69
2026-09-04,15:29,co-working,1
2026-09-04,15:29,consumer discretionary,54
2026-09-04,15:29,energy,20
2026-09-04,15:29,financials,85
2026-09-04,15:29,fmcg,64
2026-09-04,15:29,healthcare,63
2026-09-04,15:29,i.t,66
2026-09-04,15:29,indices,62
2026-09-04,15:29,industrials,79
2026-09-04,15:29,media,23
2026-09-04,15:29,metals & mining,48
2026-09-04,15:29,miscellaneous,35
2026-09-04,15:29,n/a,11
2026-09-04,15:29,plastic products,15
2026-09-04,15:29,power & utilities,14
2026-09-04,15:29,realty,83
2026-09-04,15:29,services,54
2026-09-04,15:29,telecom,4
2026-09-04,15:29,telecom-service,4
2026-09-04,15:29,textiles,59
2026-09-04,15:29,transportation,19
