date,time,10% + 10ema,10% - 10ema
2026-06-12,00:00,1.6401,0.4316
2026-06-15,00:00,2.1888,0.3433
2026-06-16,00:00,2.2394,0.1292
2026-06-17,00:00,2.3276,0.2155
2026-06-18,00:00,2.7993,0.2153
2026-06-19,00:00,3.3161,0.0861
2026-06-22,00:00,4.1988,0.1714
2026-06-23,00:00,2.8029,0.0862
2026-06-24,00:00,2.113,0.2587
2026-06-25,00:00,1.6372,0.4308
2026-06-29,00:00,1.371,0.6427
2026-06-30,00:00,1.508,0.3447
2026-07-01,00:00,1.5471,0.5587
2026-07-02,00:00,1.7612,0.5155
2026-07-03,00:00,1.8884,0.3863
2026-07-06,00:00,1.8353,0.2988
2026-07-07,00:00,1.1159,0.4292
2026-07-08,00:00,0.8155,0.4721
2026-07-09,00:00,1.2859,0.3
2026-07-10,00:00,1.7153,0.3431
2026-07-13,00:00,2.0904,0.4693
2026-07-14,00:00,1.2853,0.3856
2026-07-15,00:00,1.2842,0.4709
2026-07-16,00:00,0.9833,0.4703
2026-07-17,00:00,0.8994,0.5567
2026-07-20,00:00,1.1116,0.6841
2026-07-21,00:00,1.4549,0.4279
2026-07-22,00:00,1.4555,0.5993
2026-07-23,00:00,1.243,0.6429
2026-07-24,00:00,1.0693,0.556
2026-07-27,00:00,1.1087,0.6397
2026-07-28,00:00,0.9837,0.556
2026-07-29,00:00,1.3687,0.5133
2026-07-30,00:00,1.1966,0.5556
2026-07-31,00:00,1.4518,0.427
2026-08-03,00:00,2.2099,0.425
2026-08-04,00:00,2.5991,0.4687
2026-08-05,00:00,2.8511,0.5532
2026-08-06,00:00,2.2998,0.4259
2026-08-07,00:00,2.3404,0.4681
2026-08-10,00:00,2.8438,0.4669
2026-08-11,00:00,3.0174,0.425
2026-08-12,00:00,2.6786,0.5102
2026-08-13,00:00,2.292,0.5093
2026-08-14,00:00,2.4204,0.4671
2026-08-17,00:00,3.0841,1.0562
2026-08-18,00:00,2.3669,0.8876
2026-08-19,00:00,1.9865,0.634
2026-08-20,00:00,2.4122,0.4232
2026-08-21,00:00,1.9467,0.4232
2026-08-24,00:00,2.8656,0.4214
2026-08-25,00:00,1.8995,0.5488
2026-08-26,00:00,2.3599,0.5057
2026-08-27,00:00,1.393,0.4643
2026-08-28,00:00,1.8979,0.4218
2026-08-31,00:00,1.8526,0.6737
2026-09-01,00:00,1.9352,0.7573
2026-09-02,00:00,1.6421,0.7158
2026-09-03,00:00,2.1026,0.6308
2026-09-04,00:00,2.3119,0.5044
2026-09-07,00:00,3.2272,0.6706
2026-09-08,00:00,3.0201,0.4614
2026-09-09,00:00,2.6029,0.5458
2026-09-10,00:00,2.5221,0.5044
2026-09-11,00:00,2.394,0.588
2026-09-15,00:00,1.2139,1.0465
2026-09-16,00:00,1.176,0.924
