date,time,+15% in 5d,-10% in 5d
2026-06-12,00:00,1.4674,1.3811
2026-06-15,00:00,2.7897,0.8155
2026-06-16,00:00,2.1533,0.646
2026-06-17,00:00,3.6638,0.6897
2026-06-18,00:00,7.1059,0.3445
2026-06-19,00:00,5.1249,0.3445
2026-06-22,00:00,4.7558,0.5141
2026-06-23,00:00,3.6223,0.6037
2026-06-24,00:00,3.2342,0.8624
2026-06-25,00:00,2.1542,1.5941
2026-06-29,00:00,1.5866,3.0017
2026-06-30,00:00,1.4224,3.1897
2026-07-01,00:00,1.7197,2.3646
2026-07-02,00:00,1.8049,1.59
2026-07-03,00:00,2.4903,1.5457
2026-07-06,00:00,2.7327,1.281
2026-07-07,00:00,1.8033,1.4169
2026-07-08,00:00,0.9875,2.5762
2026-07-09,00:00,1.3293,1.6295
2026-07-10,00:00,1.6302,1.2012
2026-07-13,00:00,1.8353,1.4511
2026-07-14,00:00,1.5002,1.2859
2026-07-15,00:00,2.7409,0.7281
2026-07-16,00:00,1.7964,1.1121
2026-07-17,00:00,1.0711,1.3282
2026-07-20,00:00,1.2404,2.5663
2026-07-21,00:00,1.7551,1.8408
2026-07-22,00:00,1.4561,2.4411
2026-07-23,00:00,1.5866,2.53
2026-07-24,00:00,1.7116,1.7972
2026-07-27,00:00,1.5358,1.8345
2026-07-28,00:00,1.027,2.439
2026-07-29,00:00,1.4121,1.6688
2026-07-30,00:00,1.4536,2.0522
2026-07-31,00:00,1.8795,1.3669
2026-08-03,00:00,2.0833,1.6156
2026-08-04,00:00,3.0691,1.4919
2026-08-05,00:00,3.576,1.6177
2026-08-06,00:00,4.4312,1.2356
2026-08-07,00:00,3.7888,1.6177
2026-08-10,00:00,3.1847,2.4628
2026-08-11,00:00,3.1463,2.7211
2026-08-12,00:00,2.5096,3.4453
2026-08-13,00:00,2.7601,3.0573
2026-08-14,00:00,2.7188,3.6534
2026-08-17,00:00,3.1276,4.3533
2026-08-18,00:00,3.0444,3.9746
2026-08-19,00:00,2.8753,3.2558
2026-08-20,00:00,2.8789,3.0483
2026-08-21,00:00,3.0059,2.1169
2026-08-24,00:00,3.0776,1.3912
2026-08-25,00:00,2.576,1.3091
2026-08-26,00:00,3.2884,0.8853
2026-08-27,00:00,2.7872,1.3514
2026-08-28,00:00,2.3629,1.308
2026-08-31,00:00,1.9798,1.7692
2026-09-01,00:00,2.2306,1.5993
2026-09-02,00:00,1.8955,2.2325
2026-09-03,00:00,2.398,1.5145
2026-09-04,00:00,2.397,1.64
2026-09-07,00:00,2.935,1.4256
2026-09-08,00:00,3.9866,1.0911
2026-09-09,00:00,3.4439,1.386
2026-09-10,00:00,3.0698,1.64
2026-09-11,00:00,2.8571,2.0168
2026-09-15,00:00,1.5494,6.1558
2026-09-16,00:00,1.3025,6.5546
2026-09-17,00:00,1.178,4.1649
2026-09-18,00:00,1.3866,2.7311
2026-09-21,00:00,1.8418,2.7208
2026-09-22,00:00,3.0265,1.1349
2026-09-23,00:00,4.1632,0.6728
