date,time,4% advance,4% decline
2026-06-12,00:00,479,22
2026-06-15,00:00,325,41
2026-06-16,00:00,173,47
2026-06-17,00:00,178,45
2026-06-18,00:00,181,42
2026-06-19,00:00,187,42
2026-06-22,00:00,245,50
2026-06-23,00:00,88,105
2026-06-24,00:00,123,73
2026-06-25,00:00,85,123
2026-06-29,00:00,115,150
2026-06-30,00:00,173,56
2026-07-01,00:00,162,68
2026-07-02,00:00,188,47
2026-07-03,00:00,123,74
2026-07-06,00:00,137,75
2026-07-07,00:00,66,113
2026-07-08,00:00,45,305
2026-07-09,00:00,245,29
2026-07-10,00:00,191,29
2026-07-13,00:00,175,46
2026-07-14,00:00,68,86
2026-07-15,00:00,122,53
2026-07-16,00:00,91,61
2026-07-17,00:00,55,106
2026-07-20,00:00,128,62
2026-07-21,00:00,133,47
2026-07-22,00:00,80,124
2026-07-23,00:00,87,84
2026-07-24,00:00,101,54
2026-07-27,00:00,199,63
2026-07-28,00:00,69,148
2026-07-29,00:00,172,55
2026-07-30,00:00,67,102
2026-07-31,00:00,184,57
2026-08-03,00:00,302,50
2026-08-04,00:00,157,70
2026-08-05,00:00,182,54
2026-08-06,00:00,140,81
2026-08-07,00:00,134,109
2026-08-10,00:00,180,131
2026-08-11,00:00,153,107
2026-08-12,00:00,136,131
2026-08-13,00:00,175,105
2026-08-14,00:00,121,113
2026-08-17,00:00,181,129
2026-08-18,00:00,154,69
2026-08-19,00:00,120,88
2026-08-20,00:00,173,54
2026-08-21,00:00,158,42
2026-08-24,00:00,173,71
2026-08-25,00:00,103,73
2026-08-26,00:00,176,40
2026-08-27,00:00,90,97
2026-08-28,00:00,180,44
2026-08-31,00:00,142,127
2026-09-01,00:00,103,112
2026-09-02,00:00,122,52
2026-09-03,00:00,185,42
2026-09-04,00:00,194,54
2026-09-07,00:00,172,92
2026-09-08,00:00,160,75
2026-09-09,00:00,147,94
2026-09-10,00:00,145,85
2026-09-11,00:00,106,83
2026-09-15,00:00,67,561
2026-09-16,00:00,114,132
2026-09-17,00:00,190,56
2026-09-18,00:00,256,45
2026-09-21,00:00,208,64
2026-09-22,00:00,156,52
2026-09-23,00:00,234,31
