date,time,new 52-wk high,new 52-wk low
2026-06-12,00:00,1.6601,0.5052
2026-06-15,00:00,3.3333,0.3584
2026-06-16,00:00,2.3423,0.3604
2026-06-17,00:00,2.5243,0.4327
2026-06-18,00:00,4.036,0.1802
2026-06-19,00:00,3.6023,0.6484
2026-06-22,00:00,4.5455,0.3579
2026-06-23,00:00,3.7559,0.325
2026-06-24,00:00,2.5613,0.5772
2026-06-25,00:00,2.5604,0.3967
2026-06-29,00:00,2.9349,1.2169
2026-06-30,00:00,3.6036,1.4414
2026-07-01,00:00,3.5239,1.1507
2026-07-02,00:00,3.452,0.5394
2026-07-03,00:00,4.3431,0.3589
2026-07-06,00:00,4.3835,0.5702
2026-07-07,00:00,3.0869,0.3948
2026-07-08,00:00,1.9031,0.9695
2026-07-09,00:00,1.9369,0.7532
2026-07-10,00:00,3.1587,0.5025
2026-07-13,00:00,3.3868,0.713
2026-07-14,00:00,2.1872,0.7888
2026-07-15,00:00,2.5421,0.6803
2026-07-16,00:00,2.1452,0.6078
2026-07-17,00:00,0.8596,1.0387
2026-07-20,00:00,1.8188,1.0342
2026-07-21,00:00,2.1809,0.8223
2026-07-22,00:00,1.8591,0.8938
2026-07-23,00:00,1.2527,0.9664
2026-07-24,00:00,1.2853,1.4638
2026-07-27,00:00,2.4485,0.8162
2026-07-28,00:00,1.8902,0.6419
2026-07-29,00:00,2.1056,0.6067
2026-07-30,00:00,2.3521,0.6415
2026-07-31,00:00,2.5641,0.5342
2026-08-03,00:00,4.4523,0.424
2026-08-04,00:00,4.0853,0.3908
2026-08-05,00:00,4.539,0.4965
2026-08-06,00:00,4.3602,0.6735
2026-08-07,00:00,3.6486,0.8856
2026-08-10,00:00,5.2131,1.1624
2026-08-11,00:00,3.8217,1.1323
2026-08-12,00:00,3.3286,1.204
2026-08-13,00:00,3.5007,1.1315
2026-08-14,00:00,3.0764,1.2376
2026-08-17,00:00,2.9804,1.7882
2026-08-18,00:00,3.0914,1.1761
2026-08-19,00:00,2.4226,1.6487
2026-08-20,00:00,2.7563,1.1092
2026-08-21,00:00,2.4488,0.6709
2026-08-24,00:00,3.101,1.2337
2026-08-25,00:00,2.2125,1.2404
2026-08-26,00:00,2.9126,0.77
2026-08-27,00:00,2.7163,0.9725
2026-08-28,00:00,2.8772,0.9702
2026-08-31,00:00,3.3278,2.3295
2026-09-01,00:00,2.7036,1.6355
2026-09-02,00:00,2.0687,2.1021
2026-09-03,00:00,2.8009,1.1004
2026-09-04,00:00,3.1323,0.9997
2026-09-07,00:00,3.7467,1.5252
2026-09-08,00:00,3.3943,1.2313
2026-09-09,00:00,3.0636,2.0979
2026-09-10,00:00,2.2674,2.1674
2026-09-11,00:00,1.5661,3.2656
2026-09-15,00:00,1.8893,3.6792
2026-09-16,00:00,0.8672,4.3029
2026-09-17,00:00,1.2692,1.8036
2026-09-18,00:00,2.3675,1.7673
2026-09-21,00:00,2.8532,1.6701
2026-09-22,00:00,2.486,1.5056
2026-09-23,00:00,2.7661,0.8053
2026-09-24,00:00,1.8207,2.2059
