date,time,%
2026-01-29,00:00,23.9755
2026-01-30,00:00,29.2337
2026-02-01,00:00,19.763
2026-02-02,00:00,20.1905
2026-02-03,00:00,51.7017
2026-02-04,00:00,60.8795
2026-02-05,00:00,53.3665
2026-02-06,00:00,51.5488
2026-02-09,00:00,68.3409
2026-02-10,00:00,71.8606
2026-02-11,00:00,68.6424
2026-02-12,00:00,60.8263
2026-02-13,00:00,44.2786
2026-02-16,00:00,43.1447
2026-02-17,00:00,47.5754
2026-02-18,00:00,50.6295
2026-02-19,00:00,36.3324
2026-02-20,00:00,38.1479
2026-02-23,00:00,39.6362
2026-02-24,00:00,32.1633
2026-02-25,00:00,36
2026-02-26,00:00,38.0807
2026-02-27,00:00,31.0857
2026-03-02,00:00,20.3172
2026-03-04,00:00,13.4827
2026-03-05,00:00,18.7239
2026-03-06,00:00,17.9507
2026-03-09,00:00,12.806
2026-03-10,00:00,19.7648
2026-03-11,00:00,20.2124
2026-03-12,00:00,19.9469
2026-03-13,00:00,10.5722
2026-03-16,00:00,9.4396
2026-03-17,00:00,11.6376
2026-03-18,00:00,22.0538
2026-03-19,00:00,12.197
2026-03-20,00:00,16.3002
2026-03-23,00:00,6.9899
2026-03-24,00:00,11.8849
2026-03-25,00:00,20.4692
2026-03-27,00:00,12.3914
2026-03-30,00:00,8.8831
2026-04-01,00:00,20.5361
2026-04-02,00:00,28.1356
2026-04-06,00:00,41.5856
2026-04-07,00:00,49.4733
2026-04-08,00:00,87.1988
2026-04-09,00:00,83.9353
2026-04-10,00:00,89.789
2026-04-13,00:00,86.3178
2026-04-15,00:00,94.2728
2026-04-16,00:00,94.4214
2026-04-17,00:00,96.003
2026-04-20,00:00,93.0804
2026-04-21,00:00,90.2722
2026-04-22,00:00,90.4174
2026-04-23,00:00,86.5022
2026-04-24,00:00,76.4706
2026-04-27,00:00,84.9478
2026-04-28,00:00,78.9474
2026-04-29,00:00,78.8671
2026-04-30,00:00,73.5198
2026-05-04,00:00,75.7369
2026-05-05,00:00,73.0504
2026-05-06,00:00,84.0044
2026-05-07,00:00,86.6981
2026-05-08,00:00,82.7599
2026-05-11,00:00,67.0977
2026-05-12,00:00,39.1951
2026-05-13,00:00,44.4888
2026-05-14,00:00,47.0844
2026-05-15,00:00,41.712
2026-05-18,00:00,30.5865
2026-05-19,00:00,39.2171
2026-05-20,00:00,42.1167
2026-05-21,00:00,46.553
2026-05-22,00:00,48.5145
2026-05-25,00:00,60.7104
2026-05-26,00:00,60.1735
2026-05-27,00:00,61.1212
2026-05-29,00:00,49.6928
2026-06-01,00:00,37.5673
2026-06-02,00:00,42.7387
2026-06-03,00:00,39.2496
2026-06-04,00:00,43.8198
2026-06-05,00:00,43.4704
2026-06-08,00:00,30.2083
2026-06-09,00:00,40.4263
2026-06-10,00:00,32.6472
2026-06-11,00:00,27.276
2026-06-12,00:00,49.0076
2026-06-15,00:00,64.6953
2026-06-16,00:00,67.3874
2026-06-17,00:00,68.6982
2026-06-18,00:00,71.027
2026-06-19,00:00,69.2003
2026-06-22,00:00,72.4446
2026-06-23,00:00,64.2367
2026-06-24,00:00,63.4595
2026-06-25,00:00,56.5405
2026-06-29,00:00,48.5347
2026-06-30,00:00,53.0429
2026-07-01,00:00,56.2859
2026-07-02,00:00,62.6796
2026-07-03,00:00,61.7426
2026-07-06,00:00,58.989
2026-07-07,00:00,53.802
2026-07-08,00:00,32.1019
2026-07-09,00:00,44.2852
2026-07-10,00:00,56.7587
2026-07-13,00:00,58.099
2026-07-14,00:00,49.8567
2026-07-15,00:00,52.432
2026-07-16,00:00,49.6786
2026-07-17,00:00,45.9392
2026-07-20,00:00,49.2165
2026-07-21,00:00,50.5
2026-07-22,00:00,40.3929
2026-07-23,00:00,32.8924
2026-07-24,00:00,31.5264
2026-07-27,00:00,45.6221
2026-07-28,00:00,37.3485
2026-07-29,00:00,45.1854
2026-07-30,00:00,40.8832
2026-07-31,00:00,46.5646
2026-08-03,00:00,59.6045
2026-08-04,00:00,58.4517
2026-08-05,00:00,63.1206
2026-08-06,00:00,62.6374
2026-08-07,00:00,60.1842
2026-08-10,00:00,57.7817
2026-08-11,00:00,55.0248
2026-08-12,00:00,52.3017
2026-08-13,00:00,52.5106
2026-08-14,00:00,49.7527
2026-08-17,00:00,47.4719
2026-08-18,00:00,42.1938
2026-08-19,00:00,40.2562
2026-08-20,00:00,46.0424
2026-08-21,00:00,47.2269
2026-08-24,00:00,45.7038
2026-08-25,00:00,47.8466
2026-08-26,00:00,51.3613
2026-08-27,00:00,46.1435
2026-08-28,00:00,48.0996
2026-08-31,00:00,43.6935
2026-09-01,00:00,37.2312
2026-09-02,00:00,33.2213
2026-09-03,00:00,39.8048
2026-09-04,00:00,43.2896
