date,time,abv 10ma,abv 20ma,abv 50ma,abv 200ma
2025-02-28,00:00,6.6998,5.2605,4.7643,9.4789
2025-03-03,00:00,7.2628,5.2866,4.1008,8.5968
2025-03-04,00:00,12.568,7.62,5.6408,9.0549
2025-03-05,00:00,35.7072,17.2601,7.7646,11.6716
2025-03-06,00:00,59.3472,27.547,11.4738,13.5509
2025-03-07,00:00,69.0594,36.8812,13.0693,15.0495
2025-03-10,00:00,36.0356,22.1453,10.2818,12.8522
2025-03-11,00:00,30.6739,19.6729,9.7126,12.4381
2025-03-12,00:00,26.3497,17.8306,9.5592,11.6394
2025-03-13,00:00,21.7154,16.6088,9.5191,11.3039
2025-03-17,00:00,23.0845,18.3391,9.8369,11.4681
2025-03-18,00:00,44.45,29.4846,13.3796,13.4787
2025-03-19,00:00,71.0253,47.0035,20.0594,15.899
2025-03-20,00:00,74.3933,51.5602,22.9817,17.4839
2025-03-21,00:00,82.318,65.2303,29.2719,20.3071
2025-03-24,00:00,82.9714,69.5459,34.9457,22.7048
2025-03-25,00:00,58.3869,52.3008,28.2039,20.2375
2025-03-26,00:00,38.6746,40.3561,23.0959,18.4965
2025-03-27,00:00,43.4933,41.7615,25.5319,19.9901
2025-03-28,00:00,36.3816,37.1231,25.0618,19.2289
2025-04-01,00:00,54.0701,47.0646,27.035,19.3389
2025-04-02,00:00,68.5955,57.27,31.454,21.6123
2025-04-03,00:00,79.5747,68.4471,38.3284,24.184
2025-04-04,00:00,41.0979,40.7023,25.5687,19.7329
2025-04-07,00:00,12.5988,15.3656,12.8458,13.4387
2025-04-08,00:00,31.8497,29.6736,19.6835,16.7161
2025-04-09,00:00,27.6101,26.2741,17.714,15.6358
2025-04-11,00:00,54.1008,45.6522,26.4822,19.7628
2025-04-15,00:00,85.6087,73.4845,39.9211,24.5934
2025-04-16,00:00,87.6482,80.0889,47.332,26.2846
2025-04-17,00:00,87.4136,80.849,50.5923,27.3939
2025-04-21,00:00,90.8329,87.4815,59.9803,30.7541
2025-04-22,00:00,91.2549,88.7846,65.3162,32.4111
2025-04-23,00:00,88.1364,87.741,65.5462,33.218
2025-04-24,00:00,84.9159,86.3996,66.9139,32.6904
2025-04-25,00:00,41.8317,60.297,45.8416,26.9307
2025-04-28,00:00,45.0517,59.3304,47.5135,27.3264
2025-04-29,00:00,42.8996,56.4077,45.7694,26.67
2025-04-30,00:00,24.6413,37.5557,34.9332,23.998
2025-05-02,00:00,24.3083,34.2885,34.2391,23.7648
2025-05-05,00:00,40.0591,47.4902,40.3051,25.7382
2025-05-06,00:00,17.5889,26.3834,27.8656,20.751
2025-05-07,00:00,26.4822,31.67,32.5099,22.8261
2025-05-08,00:00,20.5242,25.6182,27.4975,20.9199
2025-05-09,00:00,18.0514,22.0079,25.4204,20.3264
2025-05-12,00:00,79.2323,68.4055,50.4429,29.0354
2025-05-13,00:00,83.4817,76.2117,57.27,31.6024
2025-05-14,00:00,88.4711,83.2261,67.9861,35.8733
2025-05-15,00:00,88.8669,85.4033,73.33,39.2875
2025-05-16,00:00,89.6637,88.3778,78.7339,42.4827
2025-05-19,00:00,89.2277,88.785,80.8165,45.0566
2025-05-20,00:00,78.1791,82.5829,75.4577,42.0089
2025-05-21,00:00,78.7834,82.0969,75.8655,43.6202
2025-05-22,00:00,72.2057,78.635,74.3323,43.3729
2025-05-23,00:00,73.9733,79.8615,76.5463,45.3736
2025-05-26,00:00,72.6021,78.7506,76.7339,45.942
2025-05-27,00:00,69.5996,76.7672,75.4325,47.1577
2025-05-28,00:00,66.4854,74.5428,73.7519,47.0094
2025-05-29,00:00,63.9012,72.5432,72.8889,47.8025
2025-05-30,00:00,57.679,68.9877,72,46.5679
2025-06-02,00:00,58.0471,67.7625,71.05,46.2218
2025-06-03,00:00,53.0482,64.6018,69.9115,46.3127
2025-06-04,00:00,55.3808,65.5528,69.9754,47.027
2025-06-05,00:00,58.6241,68.4029,70.4177,48.5995
2025-06-06,00:00,62.7027,70.5651,74.1523,50.9091
2025-06-09,00:00,74.105,77.9794,79.1564,54.8798
2025-06-10,00:00,74.8155,78.7014,80.2263,56.3699
2025-06-11,00:00,74.4963,79.1646,81.2285,57.4939
2025-06-12,00:00,51.0827,68.5039,76.3287,53.7402
2025-06-13,00:00,41.6339,59.2028,72.1457,50.935
2025-06-16,00:00,42.6125,57.6321,70.8904,52.0548
2025-06-17,00:00,34.7762,47.8603,65.5681,49.6311
2025-06-18,00:00,30.8903,43.7777,62.7152,48.2538
2025-06-19,00:00,18.222,28.7328,50.2947,42.1906
2025-06-20,00:00,26.791,36.6536,55.6428,44.1609
2025-06-23,00:00,29.5266,36.7984,53.5871,44.8511
2025-06-24,00:00,45.7536,47.1772,61.8066,47.3736
2025-06-25,00:00,67.7958,63.1811,70.2013,52.1355
2025-06-26,00:00,64.9804,63.4086,70.4813,52.5049
2025-06-27,00:00,66.6176,66.8139,71.7722,54.0992
2025-06-30,00:00,70.0342,69.9854,73.8409,55.0512
2025-07-01,00:00,65.1322,68.0215,73.5064,54.5544
2025-07-02,00:00,57.066,62.1027,71.687,53.9364
2025-07-03,00:00,57.6942,63.0679,72.1544,55.2027
2025-07-04,00:00,59.5994,64.5335,73.8642,56.0332
2025-07-07,00:00,51.8482,59.2899,71.0117,55.0097
2025-07-08,00:00,48.1663,56.3814,69.7311,54.7677
2025-07-09,00:00,51.1742,57.5832,70.0587,54.9413
2025-07-10,00:00,51.444,57.3666,70.0441,55.5556
2025-07-11,00:00,40.2737,48.7292,65.2493,53.4702
2025-07-14,00:00,40.9995,47.9864,62.8336,53.4692
2025-07-15,00:00,55.7129,58.8867,69.5801,57.1777
2025-07-16,00:00,60.0781,62.5183,72.7184,58.858
2025-07-17,00:00,59.8732,63.2374,72.6475,59.4832
2025-07-18,00:00,49.4393,56.0215,68.4544,58.2155
2025-07-21,00:00,46.3698,52.7106,65.3921,56.728
2025-07-22,00:00,42.6206,48.8066,62.4452,56.3566
2025-07-23,00:00,42.718,48.904,61.2762,56.1617
2025-07-24,00:00,38.851,44.6933,59.2502,55.6475
2025-07-25,00:00,22.4927,30.2337,46.2999,49.3184
2025-07-28,00:00,18.0368,23.1141,38.0561,44.5841
2025-07-29,00:00,25.9494,29.1626,43.6222,47.7118
2025-07-30,00:00,30.9489,32.2628,44.7689,47.8345
2025-07-31,00:00,25.7657,28.0992,40.6903,46.2324
2025-08-01,00:00,19.2252,21.937,33.8983,41.4528
2025-08-04,00:00,26.0974,26.3869,36.5654,43.5118
2025-08-05,00:00,26.2446,26.3412,34.1711,42.291
2025-08-06,00:00,19.1304,21.0628,30.2899,39.7585
2025-08-07,00:00,20.2415,20.4831,29.8068,39.0338
2025-08-08,00:00,17.2947,17.343,25.7488,35.5556
2025-08-11,00:00,23.4841,20.3561,27.719,36.1405
2025-08-12,00:00,27.343,23.3816,28.5507,36.8116
2025-08-13,00:00,33.1078,27.0179,31.1261,37.9894
2025-08-14,00:00,28.4887,24.4809,28.9715,36.0695
2025-08-18,00:00,41.9308,32.9491,34.2459,39.1451
2025-08-19,00:00,55.8128,41.4858,38.0125,41.3893
2025-08-20,00:00,61.8313,45.8313,41.1084,41.7349
2025-08-21,00:00,58.6988,46.1687,41.5422,41.7349
2025-08-22,00:00,49.8795,41.253,38.6988,41.3494
2025-08-25,00:00,48.8249,41.9664,38.1775,41.8705
2025-08-26,00:00,29.0524,28.4271,31.0726,37.1332
2025-08-28,00:00,22.607,24.6753,27.2727,34.3434
2025-08-29,00:00,23.6285,24.0616,26.9009,34.0231
2025-09-01,00:00,40.0478,33.7799,32.3923,37.3684
2025-09-02,00:00,50.3362,40.8742,36.2152,39.097
2025-09-03,00:00,62.476,49.1363,41.5547,41.2668
2025-09-04,00:00,48.4427,42.9804,38.9075,40.2492
2025-09-05,00:00,49.3531,42.2137,39.195,39.4825
2025-09-08,00:00,52.4332,46.6126,40.458,41.5553
2025-09-09,00:00,50.8385,46.1907,40.3929,41.1116
2025-09-10,00:00,59.4633,53.5218,45.5678,43.6512
2025-09-11,00:00,57.7384,53.953,45.999,43.4595
2025-09-12,00:00,55.6301,52.9947,46.2865,43.8428
2025-09-15,00:00,60.6581,58.1784,49.3085,45.6366
2025-09-16,00:00,66.443,62.6079,54.3145,48.1304
2025-09-17,00:00,68.0861,65.7895,57.0335,49.378
2025-09-18,00:00,65.7266,65.5832,57.457,49.4264
2025-09-19,00:00,62.5717,63.2887,57.1224,49.7132
2025-09-22,00:00,49.192,53.9449,52.519,48.2414
2025-09-23,00:00,42.9527,48.8772,50.0239,46.345
2025-09-24,00:00,34.9403,42.0525,46.1098,44.821
2025-09-25,00:00,26.3484,34.9403,40.0955,41.957
2025-09-26,00:00,13.918,20.5434,27.9314,36.0343
2025-09-29,00:00,16.7061,20.8235,28.2537,35.5892
2025-09-30,00:00,20.19,21.9002,27.7435,35.6295
2025-10-01,00:00,33.0649,31.2174,34.6281,39.5547
2025-10-03,00:00,48.3917,41.1542,40.4447,42.2422
2025-10-06,00:00,42.3928,38.8601,39.2369,40.65
2025-10-07,00:00,38.7158,37.0161,38.1964,40.6516
2025-10-08,00:00,34.434,34.9057,36.7453,40.1415
2025-10-09,00:00,37.4057,36.9811,37.2642,40.8491
2025-10-10,00:00,45.5146,41.3598,39.4712,41.9736
2025-10-13,00:00,33.5054,34.2093,36.6025,39.9343
2025-10-14,00:00,23.7871,26.0951,30.7113,36.6934
2025-10-15,00:00,34.1337,32.0151,34.275,38.2768
2025-10-16,00:00,41.1765,37.0353,36.5176,39.8118
2025-10-17,00:00,33.9765,33.3176,33.6941,38.1176
2025-10-20,00:00,42.3293,37.7923,36.1085,39.71
2025-10-21,00:00,59.9529,47.9529,42.1176,42.0706
2025-10-23,00:00,52.7033,45.3691,41.1848,41.7489
2025-10-24,00:00,44.8778,41.9643,39.3327,40.5545
2025-10-27,00:00,46.6355,43.5047,40.5607,41.7757
2025-10-28,00:00,44.2669,42.7162,40.7425,40.9774
2025-10-29,00:00,55.0636,50.8714,44.8893,42.9581
2025-10-30,00:00,51.578,48.9402,44.9364,42.3457
2025-10-31,00:00,42.911,42.5341,41.4979,41.2153
2025-11-03,00:00,48.1533,47.2651,44.4133,42.6367
2025-11-04,00:00,37.1241,39.0977,39.2857,40.6015
2025-11-06,00:00,23.1203,27.5376,31.532,35.6203
2025-11-07,00:00,26.8201,29.8732,31.9399,36.0733
2025-11-10,00:00,27.5782,29.1647,31.1713,36.2109
2025-11-11,00:00,28.2027,27.9212,30.2675,35.8517
2025-11-12,00:00,37.7111,34.7092,34.7092,37.5235
2025-11-13,00:00,34.7867,33.0989,33.6615,36.8495
2025-11-14,00:00,34.8783,33.8951,33.427,35.9082
2025-11-17,00:00,39.1527,36.9646,34.8696,37.1974
2025-11-18,00:00,31.478,30.3555,31.1974,35.0327
2025-11-19,00:00,29.9205,29.9205,30.949,34.4554
2025-11-20,00:00,28.5047,29.2523,30.2804,33.6916
2025-11-21,00:00,21.1682,23.5981,25.4206,31.8224
2025-11-24,00:00,16.8216,20.0743,22.4907,29.2286
2025-11-25,00:00,19.972,21.4652,23.3784,29.8647
2025-11-26,00:00,34.1418,28.0317,27.7985,32.3694
2025-11-27,00:00,32.5874,28.0186,27.6457,31.655
2025-11-28,00:00,33.6597,28.6247,28.5315,32.028
2025-12-01,00:00,32.0519,27.3275,27.6054,31.8666
2025-12-02,00:00,26.2791,24.3721,25.7674,30.6047
2025-12-03,00:00,21.9433,21.153,23.0126,29.7071
2025-12-04,00:00,22.2222,20.5486,22.5941,28.7773
2025-12-05,00:00,22.7336,19.8977,21.6643,28.4519
2025-12-08,00:00,10.1852,11.6204,16.1111,24.6759
2025-12-09,00:00,20.195,17.2702,18.7094,25.7196
2025-12-10,00:00,20.8063,16.6358,17.5626,25.7183
2025-12-11,00:00,28.2075,21.2598,20.7503,26.2622
2025-12-12,00:00,39.6847,27.1674,23.6903,27.5382
2025-12-15,00:00,43.9778,29.4878,24.4578,28.611
2025-12-16,00:00,35.863,27.7186,22.4433,27.6261
2025-12-17,00:00,25.5201,21.6828,20.8969,26.2598
2025-12-18,00:00,24.2368,21.3228,19.5652,25.9019
2025-12-19,00:00,40.2495,29.2052,23.4288,27.7264
2025-12-22,00:00,59.0428,40.8652,27.6116,29.4984
2025-12-23,00:00,62.4654,46.5374,30.8403,29.9169
2025-12-24,00:00,55.6787,44.783,30.4709,29.9631
2025-12-26,00:00,45.614,38.5042,28.9474,29.0397
2025-12-29,00:00,35.0643,32.4908,26.7923,27.8952
2025-12-30,00:00,34.3793,33.0411,25.6576,27.6419
2025-12-31,00:00,53.0688,43.1934,30.4107,29.8108
2026-01-01,00:00,50.9677,44.0553,31.4747,29.8618
2026-01-02,00:00,67.1587,55.8579,37.2232,32.0111
2026-01-05,00:00,51.3315,47.5666,36.4555,31.9559
2026-01-06,00:00,41.3364,41.3825,32.9493,30.8295
2026-01-07,00:00,44.2396,42.6267,34.8387,31.5207
2026-01-08,00:00,24.1697,27.3985,26.0148,27.8137
2026-01-09,00:00,13.4225,17.6199,20.3413,23.893
2026-01-12,00:00,14.0431,16.7508,18.5865,23.2676
2026-01-13,00:00,17.6877,18.8392,19.5302,23.3533
2026-01-14,00:00,21.7051,20.9677,21.106,23.9631
2026-01-16,00:00,22.0276,21.0599,20.3226,23.5484
2026-01-19,00:00,16.6743,16.9033,17.4989,21.1177
2026-01-20,00:00,7.4057,9.2916,11.0856,17.3413
