date,time,breakouts,breakdowns,up close %,down close %,new 52-wk high,new 52-wk low,net nh-nl,15% 52wh,15% 52wl,net 15% h-l,30% 52wh,30% 52 wl,net 30% h-l
2025-02-28,00:00,7.8412,65.1117,20.2532,49.6951,0.1489,29.0819,-28.933,2.7792,54.6898,-51.9107,17.3697,68.8337,-51.464
2025-03-03,00:00,18.6265,61.6601,21.4854,37.5,0.2964,33.7451,-33.4486,2.8656,55.7806,-52.915,16.6008,69.8123,-53.2115
2025-03-04,00:00,34.5868,19.0995,31.9027,21.5026,0.3464,15.6853,-15.3389,3.3152,54.9728,-51.6576,17.714,68.7284,-51.0143
2025-03-05,00:00,56.4787,5.2423,58.669,14.1509,0.3462,2.7695,-2.4233,4.2038,48.9614,-44.7577,19.9308,66.4688,-46.5381
2025-03-06,00:00,43.7191,4.1048,42.6471,24.0964,0.4451,0.8902,-0.4451,4.6489,41.3452,-36.6963,21.7112,64.4906,-42.7794
2025-03-07,00:00,31.0396,5.396,44.1786,34.8624,0.495,0.6931,-0.198,4.8515,37.5248,-32.6733,22.7228,63.2673,-40.5446
2025-03-10,00:00,16.263,45.3782,17.9331,63.7255,0.5437,2.0267,-1.4829,4.7454,45.7242,-40.9787,20.6624,65.8428,-45.1804
2025-03-11,00:00,10.6541,32.6561,30.2326,32.17,0.3469,5.7483,-5.4014,4.6085,47.7701,-43.1615,19.9207,66.8484,-46.9277
2025-03-12,00:00,14.1724,18.1863,20.2797,37.3297,0.446,7.1358,-6.6898,4.4103,50.0991,-45.6888,19.7721,67.5917,-47.8196
2025-03-13,00:00,14.4274,15.0719,17.8694,36.5132,0.1983,8.4779,-8.2796,4.2638,51.2147,-46.9509,18.9886,68.1706,-49.182
2025-03-17,00:00,17.4407,23.5672,24.0793,49.2662,0.5435,13.6858,-13.1423,4.5949,53.0138,-48.419,19.0217,68.083,-49.0613
2025-03-18,00:00,43.685,6.7855,49.8866,34.3066,0.5448,4.7548,-4.21,5.0025,48.6379,-43.6355,21.3472,66.0723,-44.7251
2025-03-19,00:00,48.8614,4.2574,50.8612,13.9535,0.8416,1.6337,-0.7921,5.6436,42.0297,-36.3861,24.4059,63.7129,-39.3069
2025-03-20,00:00,29.7525,6.4851,32.6123,30.5344,0.6436,0.9901,-0.3465,6.4356,40.4455,-34.0099,25.0495,63.6139,-38.5644
2025-03-21,00:00,36.1881,5.6931,44.5964,25.2174,0.7426,0.7921,-0.0495,6.8317,33.9109,-27.0792,27.2772,60.8416,-33.5644
2025-03-24,00:00,35.8165,5.6734,33.3333,32.1739,1.2333,0.7893,0.444,7.6468,30.9324,-23.2856,28.5644,59.0528,-30.4884
2025-03-25,00:00,13.0564,36.3501,23.4848,53.6054,0.544,2.1266,-1.5826,6.726,37.8833,-31.1573,26.36,61.8694,-35.5094
2025-03-26,00:00,10.4301,30.7958,18.9573,59.5506,0.346,5.042,-4.696,6.3767,43.0054,-36.6288,24.6663,64.8542,-40.1878
2025-03-27,00:00,22.8981,21.2166,34.7732,47.5524,0.2473,9.5945,-9.3472,6.7755,43.9169,-37.1414,25.0742,64.3422,-39.2681
2025-03-28,00:00,27.6186,18.2806,14.8479,37.5676,0.3953,9.0415,-8.6462,6.9664,44.5652,-37.5988,24.9012,65.168,-40.2668
2025-04-01,00:00,42.3077,7.3471,54.0793,39.5973,0.3945,3.2544,-2.86,7.1499,40.5325,-33.3826,25.9369,63.6095,-37.6726
2025-04-02,00:00,23.3811,5.4375,55.3911,16.3636,0.3955,1.1864,-0.7909,7.7608,36.0356,-28.2748,27.6817,62.1849,-34.5032
2025-04-03,00:00,30.3015,5.9318,50.0816,25.8333,0.4449,0.5437,-0.0989,7.6619,30.351,-22.6891,28.868,60.3559,-31.4879
2025-04-04,00:00,9.392,54.4736,30.5263,55.5354,0.3955,2.4716,-2.0761,5.6846,38.9521,-33.2674,24.6169,64.607,-39.9901
2025-04-07,00:00,3.5062,94.8642,28.169,57.418,0.1975,23.8519,-23.6543,3.7531,48.5926,-44.8395,19.8025,69.9259,-50.1235
2025-04-08,00:00,58.1315,4.7949,34.6939,24.7423,0.346,0.5932,-0.2472,4.7949,41.7696,-36.9748,22.2442,66.782,-44.5378
