date,time,net breadth
2026-06-12,00:00,19.7238
2026-06-15,00:00,12.1888
2026-06-16,00:00,5.4264
2026-06-17,00:00,5.7328
2026-06-18,00:00,5.9862
2026-06-19,00:00,6.2446
2026-06-22,00:00,8.3512
2026-06-23,00:00,-0.7331
2026-06-24,00:00,2.1552
2026-06-25,00:00,-1.6372
2026-06-29,00:00,-1.4989
2026-06-30,00:00,5.0409
2026-07-01,00:00,4.0378
2026-07-02,00:00,6.0541
2026-07-03,00:00,2.1021
2026-07-06,00:00,2.6462
2026-07-07,00:00,-2.0172
2026-07-08,00:00,-11.154
2026-07-09,00:00,9.2545
2026-07-10,00:00,6.9438
2026-07-13,00:00,5.5011
2026-07-14,00:00,-0.7709
2026-07-15,00:00,2.9525
2026-07-16,00:00,1.2821
2026-07-17,00:00,-2.1832
2026-07-20,00:00,2.8205
2026-07-21,00:00,3.6356
2026-07-22,00:00,-1.8828
2026-07-23,00:00,0.1285
2026-07-24,00:00,1.9667
2026-07-27,00:00,5.7971
2026-07-28,00:00,-3.4203
2026-07-29,00:00,5.0021
2026-07-30,00:00,-1.4951
2026-07-31,00:00,5.4227
2026-08-03,00:00,10.7097
2026-08-04,00:00,3.7069
2026-08-05,00:00,5.3617
2026-08-06,00:00,2.4702
2026-08-07,00:00,1.0638
2026-08-10,00:00,2.0798
2026-08-11,00:00,1.955
2026-08-12,00:00,0.2126
2026-08-13,00:00,2.9711
2026-08-14,00:00,0.3397
2026-08-17,00:00,2.3719
2026-08-18,00:00,3.4746
2026-08-19,00:00,1.3559
2026-08-20,00:00,5.0064
2026-08-21,00:00,4.7942
2026-08-24,00:00,4.186
2026-08-25,00:00,1.1022
2026-08-26,00:00,5.7155
2026-08-27,00:00,-0.1272
2026-08-28,00:00,5.6828
2026-08-31,00:00,0.5927
2026-09-01,00:00,-0.3814
2026-09-02,00:00,2.6305
2026-09-03,00:00,6.0195
2026-09-04,00:00,5.9372
