date,time,net nh-nl
2026-06-12,00:00,1.1221
2026-06-15,00:00,3.176
2026-06-16,00:00,2.0672
2026-06-17,00:00,2.0259
2026-06-18,00:00,3.6176
2026-06-19,00:00,3.1438
2026-06-22,00:00,3.6418
2026-06-23,00:00,2.7598
2026-06-24,00:00,1.768
2026-06-25,00:00,1.8526
2026-06-29,00:00,1.114
2026-06-30,00:00,2.3697
2026-07-01,00:00,2.5784
2026-07-02,00:00,2.7921
2026-07-03,00:00,3.6052
2026-07-06,00:00,3.6705
2026-07-07,00:00,2.0601
2026-07-08,00:00,0.9013
2026-07-09,00:00,1.4145
2026-07-10,00:00,2.6587
2026-07-13,00:00,2.8157
2026-07-14,00:00,1.4996
2026-07-15,00:00,1.7123
2026-07-16,00:00,1.5819
2026-07-17,00:00,-0.1285
2026-07-20,00:00,1.0688
2026-07-21,00:00,1.5832
2026-07-22,00:00,0.9846
2026-07-23,00:00,0.3
2026-07-24,00:00,-0.1711
2026-07-27,00:00,1.919
2026-07-28,00:00,1.4115
2026-07-29,00:00,1.4115
2026-07-30,00:00,1.6667
2026-07-31,00:00,1.9214
2026-08-03,00:00,3.3149
2026-08-04,00:00,3.0677
2026-08-05,00:00,3.3191
2026-08-06,00:00,3.2368
2026-08-07,00:00,2.2553
2026-08-10,00:00,3.3956
2026-08-11,00:00,2.4224
2026-08-12,00:00,1.4881
2026-08-13,00:00,1.8251
2026-08-14,00:00,1.5287
2026-08-17,00:00,1.0984
2026-08-18,00:00,2.2823
2026-08-19,00:00,0.8453
2026-08-20,00:00,2.116
2026-08-21,00:00,1.9467
2026-08-24,00:00,2.1492
2026-08-25,00:00,1.0975
2026-08-26,00:00,1.9385
2026-08-27,00:00,1.393
2026-08-28,00:00,2.1932
2026-08-31,00:00,1.1368
2026-09-01,00:00,1.22
2026-09-02,00:00,-0.1263
2026-09-03,00:00,2.2288
2026-09-04,00:00,2.6061
2026-09-07,00:00,2.6404
2026-09-08,00:00,2.349
2026-09-09,00:00,0.8816
2026-09-10,00:00,0.1261
2026-09-11,00:00,-1.974
2026-09-15,00:00,-2.0929
2026-09-16,00:00,-4.2419
